City,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitation,Pressure,Temperature,Visibility,Wind_Speed,Consumption_type,Car_Electricity_KW_SQFT,Day_of_week,Weekdays,HolidayName,School_Day
Power City,Scenario,1,1,22,1,-3.9,0.9211,0.3,986.6,-2.8,2.012,4.1,ELECTRIC_CAR,0,3,Tue,New Year's Day,0
Power City,Scenario,1,1,23,1,-4.4,0.887,0.3,986.9,-2.8,2.816,5.1,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,1,24,1,-5,0.8799,0.3,987.3,-3.3,1.609,5.7,ELECTRIC_CAR,22597.669011,3,Tue,New Year's Day,0
Power City,Scenario,1,2,1,1,-5.6,0.8793,0,988.2,-3.9,4.023,6.7,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,2,2,1,-6.7,0.8083,0,988.8,-3.9,4,4.6,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,2,3,1,-6.1,0.8788,0,989.6,-4.4,4.023,4.6,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,2,4,1,-6.7,0.8393,0,990.2,-4.4,4.023,4.1,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,2,5,1,-6.7,0.8393,0,991.2,-4.4,4.023,3.1,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,2,6,1,-7.2,0.845,0,992.2,-5,4.023,4.1,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,7,1,-8.3,0.8437,0,992.9,-6.1,4.023,3.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,8,1,-8.3,0.8437,0,994.4,-6.1,4,4.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,9,1,-8.3,0.8834,0,995.5,-6.7,2.012,4.1,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,10,1,-8.3,0.8834,0,996.5,-6.7,2.012,3.1,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,11,0.9,-10,0.8033,0,997.8,-7.2,4.023,3.1,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,12,0.9,-10,0.7729,0,998.8,-6.7,4.828,2.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,13,0.9,-10.6,0.737,0,999.5,-6.7,16.093,3.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,14,0.5,-12.2,0.6737,0,1000.3,-7.2,16,4.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,15,0.25,-11.7,0.7014,0,1000.1,-7.2,16.093,3.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,16,0,-12.2,0.6483,0,1000.8,-6.7,16.093,3.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,17,0.25,-13.3,0.6162,0,1001.4,-7.2,16.093,2.6,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,18,0.25,-15,0.5614,0,1002.1,-7.8,16.093,0,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,19,0.25,-14.4,0.6685,0,1002.8,-9.4,16.093,0,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,20,0.25,-15.6,0.7269,0,1003.6,-11.7,16,0,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,21,0,-16.1,0.7936,0,1003.8,-13.3,16.093,1.5,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,22,0,-16.7,0.8259,0,1004.1,-14.4,16.093,0,ELECTRIC_CAR,0,4,Wed,NULL,0
Power City,Scenario,1,2,23,0,-17.8,0.8666,0,1004.1,-16.1,16.093,0,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,2,24,0.9,-16.7,0.8259,0,1004.4,-14.4,16.093,0,ELECTRIC_CAR,22597.669011,4,Wed,NULL,0
Power City,Scenario,1,3,1,0.9,-14.4,0.8774,0,1004.7,-12.8,12.875,0,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,3,2,0.5,-15,0.8697,0,1005,-13.3,12,0,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,3,3,0.25,-15.6,0.869,0,1004.7,-13.9,12.875,0,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,3,4,0.25,-16.1,0.8685,0,1005.1,-14.4,12.875,0,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,3,5,0.25,-17.2,0.832,0,1005.4,-15,12.875,0,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,3,6,0.5,-17.2,0.832,0,1005.4,-15,12.875,0,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,7,0.25,-17.8,0.8312,0,1005.7,-15.6,12.875,0,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,8,0.25,-18.3,0.8305,0,1006.6,-16.1,12,1.5,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,9,0.9,-16.7,0.9121,0,1006.1,-15.6,4.023,2.1,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,10,1,-16.1,0.9126,0,1006.1,-15,6.437,2.1,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,11,0.9,-15,0.8697,0,1006.1,-13.3,6.437,2.6,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,12,0.5,-12.8,0.915,0,1005.7,-11.7,6.437,3.6,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,13,0.5,-11.7,0.8328,0,1005.1,-9.4,12.875,5.1,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,14,0.25,-10.6,0.8024,0,1004,-7.8,16,5.1,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,15,0.5,-11.1,0.771,0,1003.4,-7.8,16.093,8.2,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,16,0.9,-11.7,0.7014,0,1001.4,-7.2,16.093,8.2,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,17,0.9,-13.9,0.6146,0,1001.1,-7.8,16.093,7.7,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,18,0.9,-15.6,0.582,0,1000.8,-8.9,16.093,7.2,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,19,0.9,-16.1,0.5806,0,1000.5,-9.4,16.093,6.7,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,20,0.75,-15.6,0.6347,0,1000,-10,16,6.2,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,21,0.9,-14.4,0.6685,0,999.1,-9.4,16.093,7.2,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,22,0.5,-13.9,0.6966,0,998.5,-9.4,16.093,5.7,ELECTRIC_CAR,0,5,Thu,NULL,0
Power City,Scenario,1,3,23,0,-13.9,0.6966,0,997.8,-9.4,16.093,7.2,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,3,24,0,-13.3,0.7316,0,996.8,-9.4,16.093,7.2,ELECTRIC_CAR,22597.669011,5,Thu,NULL,0
Power City,Scenario,1,4,1,0,-12.8,0.7326,0,996.2,-8.9,16.093,8.2,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,4,2,0.25,-12.2,0.7338,0,996.4,-8.3,16,8.2,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,4,3,0.25,-12.2,0.7338,0,996.2,-8.3,16.093,5.7,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,4,4,0,-12.2,0.7058,0,996.2,-7.8,16.093,5.7,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,4,5,0.9,-11.7,0.7014,0,995.5,-7.2,16.093,5.7,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,4,6,1,-10.6,0.737,0,995.2,-6.7,16.093,4.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,7,0.9,-10.6,0.7038,0,995.5,-6.1,16.093,6.7,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,8,0.25,-11.1,0.7082,0,995.4,-6.7,16,5.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,9,0.9,-11.1,0.7082,0,994.8,-6.7,16.093,5.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,10,0.9,-11.1,0.6763,0,994.8,-6.1,16.093,5.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,11,0.9,-10,0.6788,0,994.5,-5,16.093,6.2,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,12,0.9,-9.4,0.6551,0,994.5,-3.9,16.093,6.7,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,13,1,-9.4,0.6263,0,993.9,-3.3,16.093,6.7,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,14,1,-8.9,0.6275,0,993.1,-2.8,16,6.2,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,15,1,-8.9,0.6002,0,991.9,-2.2,16.093,6.2,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,16,0.9,-10,0.5504,0,991.9,-2.2,16.093,5.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,17,0.9,-9.4,0.5562,0,991.5,-1.7,16.093,5.7,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,18,0.9,-9.4,0.5771,0,991.5,-2.2,16.093,7.2,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,19,0.9,-9.4,0.6263,0,991.2,-3.3,16.093,5.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,20,0.5,-10,0.5973,0,991.1,-3.3,16,4.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,21,0.5,-9.4,0.6551,0,990.6,-3.9,16.093,4.6,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,22,0.5,-9.4,0.6263,0,989.9,-3.3,16.093,4.1,ELECTRIC_CAR,0,6,Fri,NULL,0
Power City,Scenario,1,4,23,0.9,-8.9,0.6275,0,989.6,-2.8,16.093,4.1,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,4,24,0.9,-8.3,0.6062,0,988.9,-1.7,16.093,4.6,ELECTRIC_CAR,22597.669011,6,Fri,NULL,0
Power City,Scenario,1,5,1,1,-8.3,0.5592,0,988.2,-0.6,16.093,5.1,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,5,2,1,-8.3,0.5592,0,987.5,-0.6,16,6.2,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,5,3,1,-8.3,0.5592,0,986.6,-0.6,16.093,4.6,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,5,4,1,-7.8,0.5566,0,986.6,0,16.093,5.7,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,5,5,1,-7.8,0.5566,0,985.9,0,16.093,4.6,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,5,6,1,-7.2,0.583,0,985.6,0,16.093,5.7,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,7,1,-6.7,0.5802,0,985.3,0.6,16.093,5.1,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,8,1,-5.6,0.6088,0,985.5,1.1,16,5.7,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,9,1,-4.4,0.6668,0,984.6,1.1,16.093,5.7,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,10,1,-3.9,0.6632,0,984.3,1.7,16.093,5.1,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,11,1,-2.2,0.7528,0.3,984.3,1.7,16.093,4.6,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,12,1,-0.6,0.8468,0,983.9,1.7,14.484,5.1,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,13,1,-0.6,0.817,0,983.3,2.2,14.484,6.7,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,14,1,0.6,0.8915,0,982.8,2.2,3.2,6.2,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,15,1,1.1,0.9242,0,982,2.2,3.219,6.2,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,16,1,1.7,0.9246,0,981.6,2.8,3.219,5.7,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,17,1,1.7,0.9246,0,981.6,2.8,3.219,7.2,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,18,1,1.7,0.9246,0,981.6,2.8,2.816,6.2,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,19,1,2.2,0.9582,0,981.6,2.8,2.012,6.2,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,20,1,2.2,0.9582,0,982.5,2.8,2.4,5.7,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,21,1,2.2,0.9582,0,982.6,2.8,2.816,5.1,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,22,1,2.2,0.9249,0,982.6,3.3,4.023,5.1,ELECTRIC_CAR,0,7,Sat,NULL,0
Power City,Scenario,1,5,23,1,2.2,0.9249,0,982.6,3.3,6.437,4.1,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,5,24,1,2.2,0.9249,0,982.6,3.3,6.437,4.1,ELECTRIC_CAR,22597.669011,7,Sat,NULL,0
Power City,Scenario,1,6,1,1,2.2,0.9582,0,982,2.8,1.609,4.6,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,6,2,1,2.2,0.9582,0,982.2,2.8,1.2,5.1,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,6,3,1,2.8,1,0,982,2.8,0.805,4.1,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,6,4,1,2.8,1,0,982.3,2.8,0.805,4.1,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,6,5,1,2.8,0.9652,0,982.6,3.3,0.805,4.6,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,6,6,1,2.8,0.9652,0,982.3,3.3,0.805,3.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,7,1,2.8,0.9652,0,981.6,3.3,0.805,4.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,8,1,3.3,0.9586,0,982.2,3.9,0.8,4.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,9,1,3.3,0.9586,0,981.6,3.9,0.805,4.6,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,10,1,3.3,1,0,981.6,3.3,0.402,4.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,11,1,3.9,1,0,981.6,3.9,1.609,3.6,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,12,1,5,0.9591,0,981.6,5.6,1.207,4.6,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,13,1,6.1,1,0.3,981,6.1,0.805,5.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,14,1,6.1,0.9595,0,979.9,6.7,1.6,5.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,15,1,6.1,0.9595,0,978.7,6.7,2.414,4.6,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,16,1,7.2,0.9599,0,978.3,7.8,1.207,5.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,17,1,7.8,0.9666,0.3,977.3,8.3,2.012,6.7,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,18,1,8.3,0.9602,0,977.7,8.9,2.012,6.2,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,19,1,8.3,0.9284,0.3,978,9.4,2.012,6.7,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,20,1,8.9,0.9669,0,978.5,9.4,4,6.7,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,21,1,8.9,0.9669,0.3,978.3,9.4,4.023,6.2,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,22,1,9.4,0.9228,0,978,10.6,6.437,5.1,ELECTRIC_CAR,0,1,Sun,NULL,0
Power City,Scenario,1,6,23,1,10,0.9293,0.3,978.3,11.1,8.047,4.6,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,6,24,1,10,0.8932,0,978.3,11.7,9.656,5.1,ELECTRIC_CAR,22597.669011,1,Sun,NULL,0
Power City,Scenario,1,7,1,1,10.6,0.8996,0.3,978.3,12.2,11.265,6.2,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,7,2,1,11.1,0.8941,0,978.9,12.8,12,8.7,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,7,3,1,11.1,0.8653,0,979,13.3,14.484,5.1,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,7,4,1,11.1,0.8653,0,979.7,13.3,14.484,4.6,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,7,5,1,11.7,0.9004,0.3,980,13.3,14.484,5.7,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,7,6,1,11.7,0.9004,0,980.3,13.3,12.875,4.6,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,7,1,11.7,0.9004,0,980.6,13.3,9.656,5.1,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,8,1,11.7,0.9303,0,981.5,12.8,4.8,5.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,9,1,12.2,0.9305,0,981.6,13.3,8.047,5.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,10,1,12.2,0.9305,0,982,13.3,6.437,3.1,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,11,1,11.7,0.9004,0,982,13.3,8.047,3.6,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,12,1,12.2,0.8664,0,981.3,14.4,12.875,5.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,13,1,12.8,0.867,0,980.6,15,14.484,7.2,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,14,1,12.8,0.867,0,979.9,15,14,6.2,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,15,1,12.8,0.8343,0,978.7,15.6,16.093,6.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,16,1,12.8,0.8081,0,978.7,16.1,16.093,6.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,17,1,12.8,0.8081,0,978.7,16.1,16.093,6.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,18,1,12.8,0.8081,0,979.3,16.1,16.093,7.2,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,19,1,12.8,0.8081,0,979,16.1,16.093,6.2,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,20,1,12.8,0.8081,0,979.2,16.1,16,7.2,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,21,1,12.8,0.8343,0.5,979.3,15.6,16.093,7.2,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,22,1,12.8,0.8081,0,979,16.1,16.093,7.7,ELECTRIC_CAR,0,2,Mon,NULL,1
Power City,Scenario,1,7,23,1,11.7,0.8659,6.4,980.3,13.9,8.047,6.2,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,7,24,1,10.6,0.8648,4.3,979.3,12.8,8.047,6.2,ELECTRIC_CAR,22597.669011,2,Mon,NULL,1
Power City,Scenario,1,8,1,1,10.6,0.9297,0.3,979.7,11.7,16.093,5.7,ELECTRIC_CAR,22597.669011,3,Tue,NULL,1
Power City,Scenario,1,8,2,1,10,0.8932,0,978.5,11.7,16,10.3,ELECTRIC_CAR,22597.669011,3,Tue,NULL,1
Power City,Scenario,1,8,3,0.9,9.4,0.8579,0,979.3,11.7,16.093,6.2,ELECTRIC_CAR,22597.669011,3,Tue,NULL,1
Power City,Scenario,1,8,4,1,9.4,0.8579,0,979.7,11.7,16.093,5.1,ELECTRIC_CAR,22597.669011,3,Tue,NULL,1
Power City,Scenario,1,8,5,1,10,0.8932,0,979.7,11.7,16.093,4.6,ELECTRIC_CAR,22597.669011,3,Tue,NULL,1
Power City,Scenario,1,8,6,1,10,0.8932,0,979.3,11.7,16.093,5.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,7,1,10,0.8932,1,979,11.7,9.656,8.2,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,8,1,10,0.9293,1.5,978.2,11.1,16,6.2,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,9,1,9.4,0.8927,1.3,977,11.1,12.875,5.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,10,1,10,0.9607,4.3,977.3,10.6,8.047,5.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,11,1,9.4,0.9228,2.8,976,10.6,9.656,3.6,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,12,1,10,0.9293,1,974.4,11.1,16.093,3.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,13,1,10,0.9293,0.3,972.4,11.1,16.093,4.6,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,14,1,10.6,0.8996,0,971.6,12.2,16,5.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,15,1,10.6,0.8648,0,971.4,12.8,16.093,7.2,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,16,1,10.6,0.8648,0,971.4,12.8,8.047,6.7,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,17,1,10.6,0.8996,0,971.4,12.2,4.023,4.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,18,1,11.1,0.9299,0.5,971.4,12.2,16.093,4.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,19,1,10.6,0.8996,0,971.1,12.2,16.093,3.1,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,20,1,10.6,0.8648,0,970.3,12.8,16,3.6,ELECTRIC_CAR,0,3,Tue,NULL,1
Power City,Scenario,1,8,21,1,10.6,0.8648,0,968.8,12.8,16.093,5.1,ELECTRIC_CAR,0,3,Tue,NULL,1
