Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility,Day_of_week,Weekdays,HolidayName,School_Day,Solar_Elevation,FOOD_SERVICE,GROCERY,HEALTH_CARE,K12_SCHOOLS,LODGING,OFFICE,RESIDENTIAL,STAND_ALONE_RETAIL
Consumption,1,1,19,0.7,-15,0.73,5,-11.1,16.1,1,Sun,New Year's Day,0,-8.205368552,10854.85628,2184.982669,2366.309355,1999.327071,2066.868492,20513.51514,103982.7336,1324.500033
Consumption,1,1,20,1,-14.4,0.73,5,-10.6,16.1,1,Sun,New Year's Day,0,-18.59686311,10909.4192,1943.624987,2350.452793,1967.653014,2023.121812,17429.22896,101560.4655,467.5990304
Consumption,1,1,21,1,-13.9,0.74,5,-10,16.1,1,Sun,New Year's Day,0,-29.43493063,8969.969118,1837.706233,2258.231552,2007.77292,2087.52289,20747.60085,100411.7784,482.3886918
Consumption,1,1,22,1,-14.4,0.7,5,-10,16.1,1,Sun,New Year's Day,0,-40.43243989,8945.535374,1668.851006,2275.590526,1978.450122,2029.445855,17375.6464,86754.13254,491.0368185
Consumption,1,1,23,1,-13.3,0.77,5,-10,16.1,1,Sun,New Year's Day,0,-51.21957736,8905.388969,918.0426861,2239.05748,2006.62107,1647.65667,20732.07627,69674.32869,497.582592
Consumption,1,1,24,1,-12.8,0.8,5,-10,8,1,Sun,New Year's Day,0,-61.10563897,9371.359338,1454.696655,2234.40428,2000.163721,1260.32885,17442.22961,55243.33932,499.1503663
Consumption,1,2,1,1,-13.9,0.8,5,-11.1,16.1,2,Mon,Regular,0,-68.41787332,5317.223465,1209.213464,2182.561074,2011.76084,1153.993069,21556.99012,46414.53736,506.3498813
Consumption,1,2,2,1,-14.4,0.77,5,-11.1,16.1,2,Mon,Regular,0,-69.8811671,3661.207819,1141.652268,2158.946184,1973.851458,1156.349198,18385.97327,45190.97667,515.6789644
Consumption,1,2,3,1,-15,0.77,5,-11.7,16.1,2,Mon,Regular,0,-64.44317567,3668.180624,1072.259079,2144.904332,2014.723329,1147.503658,21864.22987,44634.73869,518.2317247
Consumption,1,2,4,1,-15,0.8,5,-12.2,16.1,2,Mon,Regular,0,-55.27785651,3673.046957,1138.932006,2128.227491,1973.144139,1174.94245,18664.74679,44446.45617,523.8643402
Consumption,1,2,5,0.8,-17.2,0.83,4,-15,16.1,2,Mon,Regular,0,-44.7277555,3730.824302,1231.616794,2420.52439,2025.841946,1262.527525,22708.3112,50059.97598,538.5608876
Consumption,1,2,6,0.7,-17.2,0.83,4,-15,16.1,2,Mon,Regular,0,-33.75530473,5296.14676,1163.73593,2391.710187,1985.31973,1440.938283,19966.14584,61544.20017,551.6015038
Consumption,1,2,7,0.7,-17.2,0.8,4,-14.4,16.1,2,Mon,Regular,0,-22.81335099,10899.76684,1653.421154,3310.936214,2178.390376,1927.566645,60621.09911,74520.28997,1066.706816
Consumption,1,2,8,0.7,-17.2,0.83,4,-15,16.1,2,Mon,Regular,0,-12.20563029,10879.89755,1762.748215,3795.267974,4300.650203,2249.927819,56168.33568,82060.9467,1366.917901
Consumption,1,2,9,0.4,-16.7,0.83,4,-14.4,16.1,2,Mon,Regular,0,-2.219228015,7965.928371,2515.971439,3899.328952,5517.212054,1961.011498,53872.91832,69163.88687,1675.139215
Consumption,1,2,10,0.4,-15.6,0.8,5,-12.8,16.1,2,Mon,Regular,0,6.811511096,7969.972764,2804.031817,4069.46787,5464.28907,1856.48695,45138.01289,59107.12188,2289.666785
Consumption,1,2,11,0,-14.4,0.73,5,-10.6,16.1,2,Mon,Regular,0,14.4683987,9903.262502,2686.358484,4162.456294,5591.363342,1474.94647,40186.14986,50918.99111,2271.835369
Consumption,1,2,12,0,-13.9,0.68,5,-8.9,16.1,2,Mon,Regular,0,20.24696318,10351.27683,3058.45904,4279.214647,5614.914029,1416.858074,38077.62248,50575.34604,2257.99201
Consumption,1,2,13,0,-15.6,0.52,5,-7.2,16.1,2,Mon,Regular,0,23.62288724,9989.185047,2816.074692,4234.359785,5588.848538,1357.084615,37491.39422,49177.63441,2249.944361
Consumption,1,2,14,0,-15,0.52,5,-6.7,16.1,2,Mon,Regular,0,24.20909143,9910.430656,2774.922569,4450.856942,5457.784647,1320.541243,35094.45659,48102.99818,2246.209403
Consumption,1,2,15,0,-14.4,0.52,5,-6.1,16.1,2,Mon,Regular,0,21.93093844,7975.518903,2729.193404,4496.448674,5457.463624,1294.835563,32744.06271,47449.14542,2246.020551
Consumption,1,2,16,0,-13.9,0.52,5,-5.6,16.1,2,Mon,Regular,0,17.06578215,7970.053361,2688.42969,4538.860463,5390.896785,1268.440939,30881.40173,50606.54409,2249.122178
Consumption,1,2,17,0,-13.9,0.52,5,-5.6,16.1,2,Mon,Regular,0,10.10543319,7938.95498,2688.71075,4588.326145,5388.048825,1344.153932,31166.62707,69192.32816,2259.735515
Consumption,1,2,18,0,-13.9,0.57,5,-6.7,16.1,2,Mon,Regular,0,1.575743011,10854.87302,2851.477042,4613.389482,4251.47249,1716.426699,35353.88362,97035.39964,2595.577745
Consumption,1,2,19,0,-13.3,0.6,5,-6.7,16.1,2,Mon,Regular,0,-8.06736243,10855.98484,2845.36316,3525.08867,4252.15603,1830.298106,31278.64306,102082.1125,2108.002082
Consumption,1,2,20,0,-13.3,0.6,5,-6.7,16.1,2,Mon,Regular,0,-18.45831721,10911.10043,2651.129846,3495.862349,4259.686853,1859.060125,31748.45644,99736.71132,2111.452741
Consumption,1,2,21,0.5,-12.2,0.65,5,-6.7,16.1,2,Mon,Regular,0,-29.29628155,8971.061491,2351.338432,2951.38555,4259.602897,2003.114548,30856.82539,98762.75199,1917.676617
Consumption,1,2,22,0.8,-14.4,0.54,5,-6.7,16.1,2,Mon,Regular,0,-40.29363781,8946.209858,1669.774536,2809.829628,1818.20053,1883.045638,31029.84974,85220.68649,805.7605557
Consumption,1,2,23,1,-12.8,0.6,5,-6.1,16.1,2,Mon,Regular,0,-51.08056982,8905.475372,949.2615323,2572.319458,1814.911194,1432.814834,7760.028616,68146.96448,489.4339564
Consumption,1,2,24,1,-11.7,0.68,6,-6.7,16.1,2,Mon,Regular,0,-60.9684537,9371.392138,1380.702827,2550.510301,1863.299573,1091.185246,7785.21894,53769.92281,493.5537134
Consumption,1,3,1,0.3,-12.8,0.68,5,-7.8,16.1,3,Tue,Regular,0,-68.29612352,5317.193858,1158.581324,2440.444309,1860.240267,1032.041603,8572.354802,45008.28401,502.8237985
Consumption,1,3,2,0.2,-12.8,0.68,5,-7.8,16.1,3,Tue,Regular,0,-69.8111952,3663.950266,1106.600474,2413.977994,1871.411781,1029.435,9366.831468,43809.74623,509.882865
Consumption,1,3,3,0,-12.8,0.68,5,-7.8,16.1,3,Tue,Regular,0,-64.43046269,3671.762717,1093.106238,2410.589144,1887.385784,1012.825612,9781.003346,43225.24509,512.0671546
Consumption,1,3,4,0,-12.8,0.71,5,-8.3,16.1,3,Tue,Regular,0,-55.29483897,3676.713905,1131.407909,2386.096536,1934.225341,1034.96572,11266.96044,43030.43965,516.8005111
Consumption,1,3,5,0,-12.8,0.71,5,-8.3,16.1,3,Tue,Regular,0,-44.75634717,3934.999283,1405.186921,2732.651814,1966.883578,1086.636122,10870.79108,48329.12042,517.8740428
Consumption,1,3,6,0,-12.2,0.74,5,-8.3,16.1,3,Tue,Regular,0,-33.78619985,5495.3751,1365.623422,2730.37633,1989.254267,1247.24211,13519.56295,59618.53069,521.6897702
Consumption,1,3,7,0,-12.2,0.74,5,-8.3,16.1,3,Tue,Regular,0,-22.84092162,10988.49211,1854.391002,3628.161973,2187.35355,1766.032228,44903.68618,72709.14057,1056.29176
Consumption,1,3,8,0,-12.2,0.74,5,-8.3,16.1,3,Tue,Regular,0,-12.22558382,10881.3933,1874.561457,4115.607452,4275.623003,2095.371098,39736.81493,80078.87814,1355.83744
Consumption,1,3,9,0,-12.2,0.71,5,-7.8,16.1,3,Tue,Regular,0,-2.22758128,7966.997716,2518.141839,4238.624905,5508.450278,1776.868802,41065.26225,67210.56496,1663.109827
Consumption,1,3,10,0,-12.2,0.62,5,-6.1,16.1,3,Tue,Regular,0,6.81886242,7971.309445,2806.486247,4457.136702,5459.03016,1680.423661,33868.7705,57214.18575,2278.21173
Consumption,1,3,11,0.5,-11.7,0.58,6,-4.4,16.1,3,Tue,Regular,0,14.49563956,9905.095734,2688.677649,4599.423219,5589.134863,1315.362769,30923.4846,49261.32967,2265.451524
Consumption,1,3,12,1,-11.7,0.51,6,-2.8,16.1,3,Tue,Regular,0,20.29768877,10352.92768,3059.455683,4723.737364,5613.692539,1296.220896,30446.44941,49291.8661,2261.510025
Consumption,1,3,13,1,-11.1,0.47,6,-1.1,16.1,3,Tue,Regular,0,23.69874432,9990.34186,2817.473459,4682.831076,5588.473404,1278.062669,31826.83534,48367.94409,2265.973273
Consumption,1,3,14,1,-11.1,0.51,6,-2.2,16.1,3,Tue,Regular,0,24.3084393,9913.061349,2777.578844,4837.195295,5457.92417,1276.387567,30571.56105,47687.70278,2269.901457
Consumption,1,3,15,1,-11.1,0.49,6,-1.7,16.1,3,Tue,Regular,0,22.04895794,7977.948829,2731.720084,4843.942972,5457.845795,1271.557428,29915.79966,47400.69429,2272.592333
Consumption,1,3,16,1,-11.1,0.47,6,-1.1,16.1,3,Tue,Regular,0,17.19634858,7971.641124,2690.849129,4891.504067,5391.484479,1250.910944,29682.78191,50687.03302,2272.430015
Consumption,1,3,17,1,-10,0.56,6,-2.2,16.1,3,Tue,Regular,0,10.24315543,7940.256055,2691.082185,4884.656378,5388.144186,1322.412068,30018.66289,69202.0574,2273.674029
Consumption,1,3,18,1,-10.6,0.53,6,-2.2,16.1,3,Tue,Regular,0,1.716857587,10856.63417,2854.03828,4919.447502,4204.181366,1672.706463,31744.81754,94389.63032,2544.330285
Consumption,1,3,19,1,-10,0.58,6,-2.8,16.1,3,Tue,Regular,0,-7.925068835,10857.58721,2846.860041,3826.3705,4251.451623,1781.776597,27465.81845,101549.7184,2107.042367
Consumption,1,3,20,1,-9.4,0.61,6,-2.8,16.1,3,Tue,Regular,0,-18.31590362,10858.196,2574.009581,3768.141536,4251.70155,1808.839957,27379.94875,99155.53526,2109.224032
Consumption,1,3,21,1,-10,0.58,6,-2.8,16.1,3,Tue,Regular,0,-29.1540049,8921.664361,2279.805459,3232.479376,4251.808073,1962.540598,26488.2757,98091.98545,1914.601233
Consumption,1,3,22,1,-10,0.56,6,-2.2,16.1,3,Tue,Regular,0,-40.15121229,8908.177762,1614.167713,3104.719618,1813.748425,1842.213672,26684.56443,84420.11469,805.7605557
Consumption,1,3,23,1,-10,0.56,6,-2.2,16.1,3,Tue,Regular,0,-50.93758925,8907.720397,952.6925184,2864.695903,1815.42488,1356.279375,7760.028616,67286.34619,489.4339564
Consumption,1,3,24,1,-8.9,0.63,6,-2.8,16.1,3,Tue,Regular,0,-60.82635037,9372.243492,1382.159912,2834.292309,1841.732291,1005.094168,7260.226037,52882.09316,489.5038405
Consumption,1,4,1,1,-7.2,0.72,7,-2.8,16.1,4,Wed,Regular,0,-68.16763052,5317.306192,1008.69423,2738.154351,1816.582796,927.5818613,7260.226037,43944.64938,492.8240618
Consumption,1,4,2,1,-6.7,0.75,7,-2.8,16.1,4,Wed,Regular,0,-69.73293207,3667.506816,1080.503673,2716.437194,1816.677186,912.6503683,7260.226037,42621.81985,498.3556904
Consumption,1,4,3,1,-7.2,0.75,7,-3.3,16.1,4,Wed,Regular,0,-64.41015583,3677.001367,1084.005504,2695.999158,1838.627367,892.4780152,8034.220253,42034.62981,502.9832002
Consumption,1,4,4,1,-7.2,0.75,7,-3.3,16.1,4,Wed,Regular,0,-55.30529958,3682.371895,1037.561351,2683.810922,1860.592107,905.1887653,8410.417151,41777.11443,505.2839308
Consumption,1,4,5,1,-10.6,0.63,6,-4.4,16.1,4,Wed,Regular,0,-44.77900232,3740.745546,1197.972191,3026.101562,1867.533295,957.2392539,8896.668093,47138.36094,509.1228881
Consumption,1,4,6,1,-11.7,0.65,6,-6.1,16.1,4,Wed,Regular,0,-33.81136505,5298.926942,1194.304855,2960.500904,1878.122697,1134.327251,9379.743121,58666.71875,512.7166194
Consumption,1,4,7,0.8,-12.8,0.68,5,-7.8,16.1,4,Wed,Regular,0,-22.86272739,10900.15986,1659.297552,3757.020231,2170.857126,1685.793948,37681.85011,72037.06774,1053.281206
Consumption,1,4,8,0.4,-15,0.62,5,-8.9,16.1,4,Wed,Regular,0,-12.23957616,10881.33805,1765.155559,4166.142479,4267.196566,2040.638864,35362.94838,79675.9415,1355.905769
Consumption,1,4,9,0.5,-15,0.67,5,-10,16.1,4,Wed,Regular,0,-2.22966482,7966.260824,2516.714237,4188.33682,5507.498612,1744.101997,38745.26055,67240.30405,1667.427962
Consumption,1,4,10,0.5,-13.9,0.74,5,-10,16.1,4,Wed,Regular,0,6.832861499,7969.92216,2804.293492,4274.504586,5459.645515,1694.442648,33942.91951,57890.38099,2291.634618
Consumption,1,4,11,1,-12.8,0.8,5,-10,0.8,4,Wed,Regular,0,14.52991895,9902.586372,2687.512586,4286.14893,5590.503155,1388.328372,32736.12992,50605.61951,2289.629947
Consumption,1,4,12,0.8,-15.6,0.67,5,-10.6,11.3,4,Wed,Regular,0,20.35576897,10350.57129,3058.829251,4276.43852,5615.207148,1406.930097,32411.96562,51025.81771,2286.728058
Consumption,1,4,13,1,-13.3,0.84,5,-11.1,0.8,4,Wed,Regular,0,23.78208116,9986.787341,2814.424132,4059.591125,5590.188926,1426.408945,34010.87169,50525.63952,2289.493678
Consumption,1,4,14,1,-13.9,0.8,5,-11.1,0.4,4,Wed,Regular,0,24.41510105,9910.134873,2774.937311,4170.847134,5459.46547,1438.295646,32641.40146,49916.61594,2290.13459
Consumption,1,4,15,0.9,-15.6,0.77,5,-12.2,0.4,4,Wed,Regular,0,22.17382347,7975.45427,2729.387149,4150.718694,5459.318911,1450.504052,31593.6176,49671.51022,2289.431084
Consumption,1,4,16,1,-14.4,0.88,5,-12.8,0.3,4,Wed,Regular,0,17.33308969,7969.978085,2688.113585,4120.149924,5393.234456,1465.868799,32047.68541,53351.28536,2292.065878
Consumption,1,4,17,0.8,-17.2,0.73,4,-13.3,4.8,4,Wed,Regular,0,10.38631858,7938.511257,2688.036745,4139.413389,5391.834134,1551.065807,32792.8034,71990.91533,2294.394601
Consumption,1,4,18,0.6,-16.7,0.8,4,-13.9,3.2,4,Wed,Regular,0,1.862728614,10853.16305,2850.215538,4185.783019,4209.507004,1913.360129,34576.3965,97272.37928,2566.606676
Consumption,1,4,19,0.8,-17.2,0.8,4,-14.4,8,4,Wed,Regular,0,-7.778589386,10853.74262,2844.422999,3093.278581,4257.429499,2021.336372,30382.97211,104491.1821,2130.201591
Consumption,1,4,20,1,-16.7,0.8,4,-13.9,4.8,4,Wed,Regular,0,-18.16972535,10908.38198,2648.709921,3069.788611,4265.060051,2040.730301,30465.4589,102122.4545,2132.326882
Consumption,1,4,21,1,-17.8,0.73,4,-13.9,1.6,4,Wed,Regular,0,-29.00820319,8969.212198,2349.346981,2544.90167,4265.022197,2163.73441,29795.50089,101100.994,1937.77387
Consumption,1,4,22,1,-17.2,0.8,4,-14.4,4.8,4,Wed,Regular,0,-40.00526474,8945.099489,1668.575238,2376.089755,1817.668403,2037.388945,30395.21078,87634.57406,807.6536456
Consumption,1,4,23,1,-17.2,0.8,4,-14.4,2.4,4,Wed,Regular,0,-50.79073732,8905.266573,968.6989086,2106.333671,1869.872665,1633.734521,7911.021561,70673.03949,511.2046358
Consumption,1,4,24,0.6,-18.9,0.73,4,-15,4.8,4,Wed,Regular,0,-60.67943624,9371.359144,1552.667913,2102.866529,1939.242573,1323.771703,9247.326677,56363.4918,524.2039436
Consumption,1,5,1,1,-18.9,0.79,4,-16.1,1.6,5,Thu,Regular,0,-68.03250671,5317.122259,1168.980551,2015.744298,1939.004293,1281.574794,10138.13076,47635.6721,530.5729173
Consumption,1,5,2,1,-21.1,0.69,4,-16.7,4.8,5,Thu,Regular,0,-69.64641364,3658.021844,1119.965655,1950.226372,1949.800188,1299.587673,12554.38187,46568.97534,550.3590451
Consumption,1,5,3,0.3,-21.7,0.72,4,-17.8,11.3,5,Thu,Regular,0,-64.38218834,3663.537989,1140.345838,1841.342867,1954.445926,1315.030076,13926.04104,46258.04665,562.4674528
Consumption,1,5,4,1,-21.1,0.75,4,-17.8,6.4,5,Thu,Regular,0,-55.30914691,3668.016235,1109.011058,1841.325394,1958.38289,1346.834746,14195.6578,46257.14753,577.6048821
Consumption,1,5,5,1,-21.1,0.79,4,-18.3,6.4,5,Thu,Regular,0,-44.79563322,3725.876693,1219.20387,2192.461566,1995.65605,1406.55541,15077.9191,51689.72204,580.92141
Consumption,1,5,6,0.4,-22.2,0.79,3,-19.4,11.3,5,Thu,Regular,0,-33.83072281,5294.956664,1241.626964,2203.97964,1986.206366,1591.213114,15765.08365,63377.69205,594.9242683
Consumption,1,5,7,0,-22.8,0.83,3,-20.6,16.1,5,Thu,Regular,0,-22.87870305,10899.67096,1656.871687,3118.102891,2179.529851,2098.398385,47552.99404,76984.66443,1074.868962
Consumption,1,5,8,0,-23.9,0.75,3,-20.6,16.1,5,Thu,Regular,0,-12.2475556,10879.70675,1761.597893,3617.795977,4303.40353,2414.548276,42610.25876,84761.80882,1387.067932
Consumption,1,5,9,0,-22.2,0.79,3,-19.4,16.1,5,Thu,Regular,0,-2.225441756,7965.676032,2515.569909,3716.216466,5520.735061,2125.452061,43800.17081,71574.56811,1689.873863
Consumption,1,5,10,0,-20.6,0.79,4,-17.8,16.1,5,Thu,Regular,0,6.853529186,7969.75874,2802.79445,3838.617045,5466.57991,2003.646037,36250.08556,60961.81962,2301.120868
Consumption,1,5,11,0.6,-20,0.76,4,-16.7,16.1,5,Thu,Regular,0,14.57124081,9901.748757,2685.014309,3860.244905,5593.994374,1658.274707,33560.93377,52816.09207,2289.509813
Consumption,1,5,12,1,-19.4,0.72,4,-15.6,16.1,5,Thu,Regular,0,20.42119046,10348.44701,3057.468336,4036.434885,5618.275674,1666.112393,34553.62911,53175.99779,2292.883589
Consumption,1,5,13,0.8,-18.9,0.73,4,-15,3.2,5,Thu,Regular,0,23.87286723,9984.023609,2814.669175,3902.966096,5592.120161,1637.339294,35614.93061,52032.18807,2294.675206
Consumption,1,5,14,0.8,-17.8,0.73,4,-13.9,8,5,Thu,Regular,0,24.52902876,9907.597839,2772.677976,4066.660851,5460.392386,1597.255769,33186.96181,50892.94184,2290.177356
Consumption,1,5,15,0.9,-17.8,0.73,4,-13.9,4.8,5,Thu,Regular,0,22.30547004,7974.461846,2727.429988,4079.144009,5460.195113,1588.960992,32415.44253,50523.93457,2291.453445
Consumption,1,5,16,0.9,-17.8,0.73,4,-13.9,4.8,5,Thu,Regular,0,17.47592527,7969.820954,2686.635116,4079.5569,5393.770465,1574.235092,32434.93701,53914.35162,2293.078079
Consumption,1,5,17,0.2,-18.9,0.69,4,-14.4,12.9,5,Thu,Regular,0,10.53483085,7938.302845,2686.719245,4100.815407,5392.153216,1631.284348,32128.78723,72230.00707,2291.507777
Consumption,1,5,18,0.4,-19.4,0.69,4,-15,12.9,5,Thu,Regular,0,2.013256982,10853.00147,2849.211281,4147.243443,4210.576839,1994.678984,34899.12684,97727.06667,2567.126772
Consumption,1,5,19,0.8,-18.9,0.69,4,-14.4,16.1,5,Thu,Regular,0,-7.62802674,10852.83776,2843.981996,3078.415871,4258.401061,2085.198978,31089.72113,104855.4053,2131.910397
Consumption,1,5,20,0.3,-19.4,0.76,4,-16.1,16.1,5,Thu,Regular,0,-18.01988574,10907.7788,2648.962956,3017.293874,4266.579512,2112.608718,31312.65415,102607.2457,2135.561765
Consumption,1,5,21,0,-20.6,0.76,4,-17.2,16.1,5,Thu,Regular,0,-28.85897865,8969.143598,2348.774169,2364.342502,4267.656869,2253.605034,30989.16183,101896.9939,1943.543824
Consumption,1,5,22,0.3,-18.9,0.83,4,-16.7,16.1,5,Thu,Regular,0,-39.85589559,8945.066979,1668.368695,2130.948206,1828.497056,2122.829536,31467.91998,88395.77084,811.4766627
Consumption,1,5,23,0.8,-19.4,0.83,4,-17.2,4.8,5,Thu,Regular,0,-50.64011412,8905.222549,992.7904361,1869.37222,1889.621785,1732.677136,8279.341671,71479.66769,520.4617937
Consumption,1,5,24,0.8,-18.9,0.83,4,-16.7,2,5,Thu,Regular,0,-60.52781695,9371.36137,1580.61604,1872.386505,1978.116967,1433.354144,9086.442997,57314.80328,530.7822778
Consumption,1,6,1,0.4,-20.6,0.79,4,-17.8,9.7,6,Fri,Regular,0,-67.89086536,5317.260329,1167.750258,1828.161646,1947.835224,1396.96385,12633.74674,48792.58704,553.5602983
Consumption,1,6,2,0,-21.1,0.83,4,-18.9,11.3,6,Fri,Regular,0,-69.55168317,3656.329585,1133.296871,1836.135059,1957.173533,1430.06642,13103.48113,48039.43152,569.0773758
Consumption,1,6,3,0,-21.7,0.83,4,-19.4,11.3,6,Fri,Regular,0,-64.3464997,3661.282225,1154.041649,1840.822241,1972.195385,1444.050303,15136.79652,47800.8572,586.7427804
Consumption,1,6,4,0,-22.2,0.83,3,-20,11.3,6,Fri,Regular,0,-55.30629338,3665.809719,1119.240244,1844.685669,1995.923448,1487.78255,14672.35,47861.79434,591.6126975
Consumption,1,6,5,0,-22.8,0.83,3,-20.6,11.3,6,Fri,Regular,0,-44.80615522,3924.031238,1434.509299,2211.855743,2014.877896,1566.828985,16825.68917,53449.96043,605.6281913
Consumption,1,6,6,0,-22.8,0.83,3,-20.6,11.3,6,Fri,Regular,0,-33.84419863,5491.825323,1444.711918,2217.606864,2036.501715,1737.067689,16425.90491,64920.97761,607.2146272
Consumption,1,6,7,0,-22.8,0.83,3,-20.6,11.3,6,Fri,Regular,0,-22.88878649,10988.12018,1854.553374,3121.765618,2190.702578,2188.869494,49517.65528,78070.42949,1074.868962
Consumption,1,6,8,0,-23.3,0.82,3,-21.1,11.3,6,Fri,Regular,0,-12.2494738,10879.66457,1870.943961,3614.829768,4304.614101,2490.675063,44058.13688,85736.21772,1389.476842
Consumption,1,6,9,0,-23.3,0.82,3,-21.1,11.3,6,Fri,Regular,0,-2.214878708,7965.679225,2516.540255,3719.259229,5525.597484,2235.998966,45586.39984,72941.67546,1695.742665
Consumption,1,6,10,0,-21.7,0.83,4,-19.4,11.3,6,Fri,Regular,0,6.88088275,7969.664209,2802.901313,3845.469851,5468.885308,2120.836734,38584.11688,62552.08038,2309.710385
Consumption,1,6,11,0,-20.6,0.79,4,-17.8,11.3,6,Fri,Regular,0,14.61960552,9901.573919,2684.860306,3865.43775,5595.677866,1761.233561,34784.53191,53924.52195,2292.751014
Consumption,1,6,12,0,-19.4,0.72,4,-15.6,11.3,6,Fri,Regular,0,20.4939365,10349.1214,3057.380211,3952.105289,5617.321097,1686.526933,33357.81423,53115.91737,2278.417397
Consumption,1,6,13,0,-18.9,0.69,4,-14.4,11.3,6,Fri,Regular,0,23.97106869,9985.854615,2814.700656,3914.094352,5590.292536,1603.76371,33317.50031,51228.24877,2269.571184
Consumption,1,6,14,0,-18.3,0.66,4,-13.3,11.3,6,Fri,Regular,0,24.65017146,9907.899524,2772.646009,4087.335114,5458.89549,1543.713984,31453.86935,49917.08247,2265.094912
Consumption,1,6,15,0,-18.3,0.64,4,-12.8,11.3,6,Fri,Regular,0,22.44382979,7974.401761,2727.315242,4111.576242,5458.441253,1504.657775,29774.44845,49192.41065,2264.814306
Consumption,1,6,16,0.2,-18.3,0.61,4,-12.2,11.3,6,Fri,Regular,0,17.62477252,7969.831694,2686.514269,4129.947121,5391.7907,1470.860303,28840.52853,52433.77601,2269.732919
