Year,Month,Day,Hour,Electricity_KW_HR,Wind_Speed
2011,3,31,24,24460,NULL
2011,4,1,1,29264,8.9
2011,4,1,2,32296,9.1
2011,4,1,3,34740,7.6
2011,4,1,4,21688,6.4
2011,4,1,5,12688,6.1
2011,4,1,6,11292,6.8
2011,4,1,7,15020,6.2
2011,4,1,8,11324,5.8
2011,4,1,9,9428,6
2011,4,1,10,9000,6
2011,4,1,11,8740,6.7
2011,4,1,12,11396,6.7
2011,4,1,13,0,7.9
2011,4,1,14,0,7.1
2011,4,1,15,16864,6.8
2011,4,1,16,14752,5.3
2011,4,1,17,7008,6.6
2011,4,1,18,14212,6
2011,4,1,19,9004,5.1
2011,4,1,20,5764,5.5
2011,4,1,21,7708,5.8
2011,4,1,22,8972,6.4
2011,4,1,23,13036,6.8
2011,4,1,24,15692,NULL
2011,4,2,1,13936,5.4
2011,4,2,2,8256,7
2011,4,2,3,17316,6.3
2011,4,2,4,13736,7.7
2011,4,2,5,24668,6.4
2011,4,2,6,13320,6.4
2011,4,2,7,14316,7.8
2011,4,2,8,24916,9.1
2011,4,2,9,36472,8.8
2011,4,2,10,32888,8.2
2011,4,2,11,25304,6.5
2011,4,2,12,12660,6.7
2011,4,2,13,13040,6.5
2011,4,2,14,6428,6
2011,4,2,15,1172,5.5
2011,4,2,16,0,5.8
2011,4,2,17,2140,7.3
2011,4,2,18,8520,5.9
2011,4,2,19,5636,4.8
2011,4,2,20,1164,4
2011,4,2,21,0,4.8
2011,4,2,22,0,3.7
2011,4,2,23,0,3.9
2011,4,2,24,0,NULL
2011,4,3,1,0,3.9
2011,4,3,2,0,3.1
2011,4,3,3,0,2.1
2011,4,3,4,0,0.8
2011,4,3,5,0,2.3
2011,4,3,6,0,3.4
2011,4,3,7,0,3.1
2011,4,3,8,0,3.3
2011,4,3,9,0,2.5
2011,4,3,10,0,3.1
2011,4,3,11,0,2.5
2011,4,3,12,0,2
2011,4,3,13,0,1.8
2011,4,3,14,0,3.5
2011,4,3,15,1764,2.5
2011,4,3,16,416,3.4
2011,4,3,17,1552,3.9
2011,4,3,18,2448,3
2011,4,3,19,964,3.4
2011,4,3,20,1504,2.9
2011,4,3,21,1068,2.3
2011,4,3,22,464,1.6
2011,4,3,23,8,3.8
2011,4,3,24,2964,NULL
2011,4,4,1,5324,5
2011,4,4,2,6152,4.7
2011,4,4,3,4968,5.3
2011,4,4,4,7352,5.8
2011,4,4,5,9816,5.6
2011,4,4,6,8384,4.2
2011,4,4,7,3664,4.7
2011,4,4,8,5304,5.6
2011,4,4,9,8712,4.5
2011,4,4,10,3740,6.8
2011,4,4,11,0,7.6
2011,4,4,12,0,6.2
2011,4,4,13,0,6
2011,4,4,14,0,8.1
2011,4,4,15,0,8.1
2011,4,4,16,0,8.3
2011,4,4,17,2648,7.5
2011,4,4,18,20540,6.9
2011,4,4,19,15980,6.9
2011,4,4,20,15604,6.1
2011,4,4,21,12132,4.8
2011,4,4,22,5808,5.3
2011,4,4,23,8152,6.4
2011,4,4,24,13500,NULL
2011,4,5,1,7016,6
2011,4,5,2,10588,6.7
2011,4,5,3,15852,7.1
2011,4,5,4,18580,7.3
2011,4,5,5,20612,7.2
2011,4,5,6,18272,7.9
2011,4,5,7,25796,7.9
2011,4,5,8,25896,8.3
2011,4,5,9,29436,8.1
2011,4,5,10,4948,10.1
2011,4,5,11,0,9.7
2011,4,5,12,0,11.1
2011,4,5,13,0,10.6
2011,4,5,14,0,9.9
2011,4,5,15,0,9.4
2011,4,5,16,0,9
2011,4,5,17,23088,7.1
2011,4,5,18,17772,6.8
2011,4,5,19,16476,7.3
2011,4,5,20,19884,6.7
2011,4,5,21,17100,4.5
2011,4,5,22,4936,5.4
2011,4,5,23,8868,6.9
2011,4,5,24,17100,NULL
2011,4,6,1,19072,7.8
2011,4,6,2,25868,7.3
2011,4,6,3,19896,7.3
2011,4,6,4,18976,7.1
2011,4,6,5,17480,7.4
2011,4,6,6,20676,7.7
2011,4,6,7,24008,6.9
2011,4,6,8,18036,6.1
2011,4,6,9,12380,5.8
2011,4,6,10,10164,2.6
2011,4,6,11,2076,0
2011,4,6,12,0,0
2011,4,6,13,0,2.3
2011,4,6,14,0,1.5
2011,4,6,15,216,0
2011,4,6,16,0,1.2
2011,4,6,17,0,3.6
2011,4,6,18,340,4
2011,4,6,19,2480,4
2011,4,6,20,2836,4.3
2011,4,6,21,3556,5.4
2011,4,6,22,7996,6.6
2011,4,6,23,12336,7.6
2011,4,6,24,21756,NULL
2011,4,7,1,23824,7.2
2011,4,7,2,19708,8.4
2011,4,7,3,30184,7.7
2011,4,7,4,24460,8
2011,4,7,5,27128,7.8
2011,4,7,6,25328,7.1
2011,4,7,7,19304,6.7
2011,4,7,8,15376,5.1
2011,4,7,9,6988,3.8
2011,4,7,10,1836,3.9
2011,4,7,11,0,4.6
2011,4,7,12,0,4.3
2011,4,7,13,1552,5
2011,4,7,14,5692,4.9
2011,4,7,15,5288,5.2
2011,4,7,16,6088,5.3
2011,4,7,17,6832,5.6
2011,4,7,18,7368,5.6
2011,4,7,19,7872,6
2011,4,7,20,10708,6.6
2011,4,7,21,14272,3.3
2011,4,7,22,1900,2.4
2011,4,7,23,504,2.1
2011,4,7,24,156,NULL
2011,4,8,1,52,1.7
2011,4,8,2,64,0.6
2011,4,8,3,0,1.3
2011,4,8,4,0,1.8
2011,4,8,5,4,1.2
2011,4,8,6,0,1.4
2011,4,8,7,0,1.7
2011,4,8,8,12,2.4
2011,4,8,9,452,2.4
2011,4,8,10,400,2.3
2011,4,8,11,220,3
2011,4,8,12,872,3.5
2011,4,8,13,1592,3.5
2011,4,8,14,1612,4.3
2011,4,8,15,3244,4.3
2011,4,8,16,3048,4.1
2011,4,8,17,2596,3.7
2011,4,8,18,1996,3.9
2011,4,8,19,2308,5
2011,4,8,20,4948,5.6
2011,4,8,21,8644,5.5
2011,4,8,22,8820,5.8
2011,4,8,23,10148,4.5
2011,4,8,24,5556,NULL
2011,4,9,1,3636,4.5
2011,4,9,2,4600,4
2011,4,9,3,3080,4.1
2011,4,9,4,3228,2.9
2011,4,9,5,1216,2.2
2011,4,9,6,268,2.5
2011,4,9,7,508,3.9
2011,4,9,8,2752,5
2011,4,9,9,6240,4.8
2011,4,9,10,5184,4.9
2011,4,9,11,5368,5.3
2011,4,9,12,6520,5.4
2011,4,9,13,7112,4.4
2011,4,9,14,3496,4.7
2011,4,9,15,5044,5.4
2011,4,9,16,6804,5.4
2011,4,9,17,7124,5.8
2011,4,9,18,8688,5.4
2011,4,9,19,7624,5.5
2011,4,9,20,7820,6.3
2011,4,9,21,11840,5.9
2011,4,9,22,10500,6.5
2011,4,9,23,13548,8.1
2011,4,9,24,27700,NULL
2011,4,10,1,30252,7.6
2011,4,10,2,24196,8.1
2011,4,10,3,28088,8
2011,4,10,4,26448,6
2011,4,10,5,11996,5.5
2011,4,10,6,8732,6.1
2011,4,10,7,10652,6.3
2011,4,10,8,12164,5.3
2011,4,10,9,7200,3.5
2011,4,10,10,2104,3.8
2011,4,10,11,2468,4.3
2011,4,10,12,3536,4.7
2011,4,10,13,4980,4.6
2011,4,10,14,4304,4
2011,4,10,15,2460,4.3
2011,4,10,16,3376,4.2
2011,4,10,17,3076,4.5
2011,4,10,18,4024,4.7
2011,4,10,19,4812,4.7
2011,4,10,20,4964,5.4
2011,4,10,21,6924,5.2
2011,4,10,22,6536,6
2011,4,10,23,11024,6.3
2011,4,10,24,12108,NULL
2011,4,11,1,19288,5.6
2011,4,11,2,8064,3.7
2011,4,11,3,2704,3.1
2011,4,11,4,1440,4.3
2011,4,11,5,4456,5
2011,4,11,6,6792,4.2
2011,4,11,7,3796,4.8
2011,4,11,8,5324,5.1
2011,4,11,9,6108,4.2
2011,4,11,10,3860,2.7
2011,4,11,11,644,2.7
2011,4,11,12,544,2.6
2011,4,11,13,472,3.3
2011,4,11,14,1208,4.9
2011,4,11,15,4864,5.2
2011,4,11,16,6200,4.7
2011,4,11,17,4104,6.1
2011,4,11,18,10160,7.6
2011,4,11,19,20148,7.2
2011,4,11,20,17716,6.8
2011,4,11,21,14756,7.8
2011,4,11,22,23176,7.8
2011,4,11,23,22476,7.4
2011,4,11,24,18640,NULL
2011,4,12,1,43152,6.3
2011,4,12,2,12912,4.6
2011,4,12,3,4768,5.8
2011,4,12,4,10072,6.9
2011,4,12,5,17424,7
2011,4,12,6,17928,7.3
2011,4,12,7,20232,7.5
2011,4,12,8,21864,6.6
2011,4,12,9,14460,6.4
2011,4,12,10,13232,6.8
2011,4,12,11,15560,7.2
2011,4,12,12,19924,8
2011,4,12,13,25044,7.6
2011,4,12,14,21188,8.2
2011,4,12,15,26468,9.2
2011,4,12,16,35604,8.3
2011,4,12,17,26984,8
2011,4,12,18,22100,7.6
2011,4,12,19,21952,7.4
2011,4,12,20,20772,5.5
2011,4,12,21,8540,4.6
2011,4,12,22,4936,3.6
2011,4,12,23,2348,2.9
2011,4,12,24,1144,NULL
2011,4,13,1,1028,4.4
2011,4,13,2,5436,5.9
2011,4,13,3,10224,4.8
2011,4,13,4,5840,5.1
2011,4,13,5,6644,4.7
2011,4,13,6,5268,4.6
2011,4,13,7,5044,4.6
2011,4,13,8,5108,3.6
2011,4,13,9,2532,3
2011,4,13,10,1032,3.1
2011,4,13,11,1204,3.8
2011,4,13,12,2300,5.4
2011,4,13,13,7560,5.7
2011,4,13,14,8316,5.2
2011,4,13,15,6596,4.5
2011,4,13,16,3972,3.6
2011,4,13,17,2104,3.2
2011,4,13,18,1292,4.2
2011,4,13,19,3684,3
2011,4,13,20,992,1.3
2011,4,13,21,0,2.4
2011,4,13,22,196,1.4
2011,4,13,23,0,1.1
2011,4,13,24,0,NULL
2011,4,14,1,0,2
2011,4,14,2,108,3.1
2011,4,14,3,1292,2.6
2011,4,14,4,620,1.9
2011,4,14,5,44,1.9
2011,4,14,6,24,2.1
2011,4,14,7,168,2.4
2011,4,14,8,508,2.9
2011,4,14,9,1104,2.3
2011,4,14,10,404,1.5
2011,4,14,11,0,1.6
2011,4,14,12,0,0.9
2011,4,14,13,0,1.2
2011,4,14,14,0,1.1
2011,4,14,15,0,1.4
2011,4,14,16,0,1.3
2011,4,14,17,0,2.6
2011,4,14,18,436,3
2011,4,14,19,968,2.8
2011,4,14,20,800,2.8
2011,4,14,21,844,2.5
2011,4,14,22,492,2.8
2011,4,14,23,860,3
2011,4,14,24,1108,NULL
2011,4,15,1,2472,4.3
2011,4,15,2,4128,3.7
2011,4,15,3,2336,3
2011,4,15,4,1028,3.2
2011,4,15,5,1436,4.1
2011,4,15,6,3192,3.9
2011,4,15,7,2640,4.1
2011,4,15,8,3232,3
2011,4,15,9,1232,2.2
2011,4,15,10,212,2.8
2011,4,15,11,724,3.7
2011,4,15,12,1848,4.1
2011,4,15,13,3024,3.8
2011,4,15,14,2200,3.4
2011,4,15,15,1544,3.9
2011,4,15,16,2668,3.2
2011,4,15,17,1472,3.1
2011,4,15,18,1056,3.1
2011,4,15,19,1216,3.3
2011,4,15,20,1468,3.3
2011,4,15,21,1548,4.1
2011,4,15,22,3220,5.1
2011,4,15,23,6636,5.2
2011,4,15,24,7304,NULL
2011,4,16,1,7628,5.1
2011,4,16,2,6792,3.5
2011,4,16,3,2288,3.7
2011,4,16,4,2752,4.1
2011,4,16,5,3612,3.3
2011,4,16,6,1828,3.8
2011,4,16,7,2900,4.2
2011,4,16,8,3840,4.8
2011,4,16,9,5540,3
2011,4,16,10,1108,2.6
2011,4,16,11,464,3
2011,4,16,12,804,2.6
2011,4,16,13,428,2.2
2011,4,16,14,232,1.3
2011,4,16,15,0,1.3
2011,4,16,16,0,1.6
2011,4,16,17,0,1.7
2011,4,16,18,0,1.2
2011,4,16,19,0,1.1
2011,4,16,20,0,0.8
2011,4,16,21,0,1.6
2011,4,16,22,0,1.7
2011,4,16,23,0,2.9
2011,4,16,24,0,NULL
2011,4,17,1,0,3
2011,4,17,2,0,3
2011,4,17,3,0,2.9
2011,4,17,4,0,3.4
2011,4,17,5,0,2.3
2011,4,17,6,0,1.4
2011,4,17,7,0,1.3
2011,4,17,8,0,1.3
2011,4,17,9,0,1.2
2011,4,17,10,0,1.1
2011,4,17,11,0,1.6
2011,4,17,12,0,2.8
2011,4,17,13,652,1.9
2011,4,17,14,608,1.3
2011,4,17,15,0,2.4
2011,4,17,16,0,5.2
2011,4,17,17,0,5.6
2011,4,17,18,8080,5.7
2011,4,17,19,9000,5.3
2011,4,17,20,7176,5.5
2011,4,17,21,8596,5.5
2011,4,17,22,8728,5.5
2011,4,17,23,8736,5.6
2011,4,17,24,9116,NULL
2011,4,18,1,3736,4.2
2011,4,18,2,3280,5.1
2011,4,18,3,6856,5.5
2011,4,18,4,7500,5.7
2011,4,18,5,9188,5.8
2011,4,18,6,10048,5.7
2011,4,18,7,9168,5.6
2011,4,18,8,8548,5.1
2011,4,18,9,6888,3.7
2011,4,18,10,2316,4.6
2011,4,18,11,3964,3.9
2011,4,18,12,1864,4.5
2011,4,18,13,3780,5.3
2011,4,18,14,7016,5.2
2011,4,18,15,6292,4.1
2011,4,18,16,2720,3.5
2011,4,18,17,1796,3.7
2011,4,18,18,1960,3.7
2011,4,18,19,1904,4.1
2011,4,18,20,2728,2.2
2011,4,18,21,180,0.4
2011,4,18,22,0,1.1
2011,4,18,23,0,2.6
2011,4,18,24,564,NULL
2011,4,19,1,2000,5.9
2011,4,19,2,9120,7.1
2011,4,19,3,18460,6.8
2011,4,19,4,16660,6.4
2011,4,19,5,13536,6.7
2011,4,19,6,15096,7.3
2011,4,19,7,19908,6.9
2011,4,19,8,17260,6.2
2011,4,19,9,12832,4.6
2011,4,19,10,5252,3.3
2011,4,19,11,1448,2.9
2011,4,19,12,772,3.2
2011,4,19,13,1060,3.3
2011,4,19,14,1136,2.1
2011,4,19,15,188,2.1
2011,4,19,16,0,2
2011,4,19,17,172,2.8
2011,4,19,18,692,2.4
2011,4,19,19,316,2.6
2011,4,19,20,584,3.8
2011,4,19,21,2888,4.6
2011,4,19,22,4328,5.1
2011,4,19,23,6532,5.7
2011,4,19,24,8144,NULL
2011,4,20,1,4568,4.4
2011,4,20,2,4056,5.1
2011,4,20,3,6796,4.9
2011,4,20,4,5620,5.6
2011,4,20,5,8548,5.7
2011,4,20,6,7172,4.8
2011,4,20,7,4996,4.2
2011,4,20,8,3732,4.3
2011,4,20,9,3768,2.8
2011,4,20,10,952,2.1
2011,4,20,11,80,2
2011,4,20,12,72,3.4
2011,4,20,13,1460,3.2
2011,4,20,14,1200,3
2011,4,20,15,1004,3.5
2011,4,20,16,1704,2.9
2011,4,20,17,788,2.1
2011,4,20,18,148,1.8
2011,4,20,19,40,2.3
2011,4,20,20,228,2.4
2011,4,20,21,448,2.4
2011,4,20,22,300,3.6
2011,4,20,23,1984,4
2011,4,20,24,2544,NULL
2011,4,21,1,1976,2.3
2011,4,21,2,284,1.6
2011,4,21,3,0,2
2011,4,21,4,480,3.2
2011,4,21,5,1436,3.5
2011,4,21,6,1544,3.6
2011,4,21,7,1812,3.9
2011,4,21,8,2356,5.2
2011,4,21,9,6628,4.3
2011,4,21,10,3904,3.4
2011,4,21,11,1652,3.4
2011,4,21,12,1356,3.7
2011,4,21,13,1452,4.9
2011,4,21,14,4728,4.2
2011,4,21,15,2876,4.2
2011,4,21,16,2936,3.8
2011,4,21,17,1972,4.1
2011,4,21,18,2740,3.5
2011,4,21,19,1488,2.7
2011,4,21,20,644,0.7
2011,4,21,21,0,0.8
2011,4,21,22,0,2
2011,4,21,23,192,4
2011,4,21,24,3164,NULL
2011,4,22,1,10172,6.5
2011,4,22,2,11232,5.7
2011,4,22,3,8956,6.3
2011,4,22,4,11700,7.4
2011,4,22,5,18048,5.9
2011,4,22,6,10504,5.8
2011,4,22,7,10156,5.7
2011,4,22,8,9012,5.2
2011,4,22,9,6772,4.9
2011,4,22,10,5176,3.1
2011,4,22,11,1392,2.6
2011,4,22,12,436,2.2
2011,4,22,13,260,3.5
2011,4,22,14,1616,3.7
2011,4,22,15,2004,3.6
2011,4,22,16,1676,2.5
2011,4,22,17,548,5.6
2011,4,22,18,8140,6
2011,4,22,19,9884,4.7
2011,4,22,20,6392,5.6
2011,4,22,21,9316,4.1
2011,4,22,22,2932,4.4
2011,4,22,23,3924,4.3
2011,4,22,24,3784,NULL
2011,4,23,1,9460,5.8
2011,4,23,2,8656,5.6
2011,4,23,3,8068,6.1
2011,4,23,4,10804,3.9
2011,4,23,5,2816,3.1
2011,4,23,6,1340,1.9
2011,4,23,7,96,1.3
2011,4,23,8,28,4.7
2011,4,23,9,5252,3.9
2011,4,23,10,2244,2.2
2011,4,23,11,308,1.4
2011,4,23,12,16,2.1
2011,4,23,13,88,3.9
2011,4,23,14,2532,4.4
2011,4,23,15,3388,4.4
2011,4,23,16,3472,4.5
2011,4,23,17,3752,4.4
2011,4,23,18,3432,4.7
2011,4,23,19,4756,10.3
2011,4,23,20,41904,9.2
2011,4,23,21,34536,6.7
2011,4,23,22,13604,4
2011,4,23,23,4276,1.4
2011,4,23,24,24,NULL
2011,4,24,1,36,2.7
2011,4,24,2,804,1.5
2011,4,24,3,44,4.4
2011,4,24,4,4840,5.3
2011,4,24,5,7136,2.9
2011,4,24,6,1200,2.5
2011,4,24,7,516,1.3
2011,4,24,8,0,2
2011,4,24,9,76,2
2011,4,24,10,168,2.5
2011,4,24,11,460,2.6
2011,4,24,12,444,2.5
2011,4,24,13,444,2.7
2011,4,24,14,532,3.4
2011,4,24,15,1308,3.3
2011,4,24,16,1132,3.6
2011,4,24,17,2020,4.6
2011,4,24,18,4200,5.1
2011,4,24,19,6132,4.8
2011,4,24,20,5368,4.6
2011,4,24,21,4976,5.6
2011,4,24,22,8924,6.7
2011,4,24,23,15948,5.9
2011,4,24,24,10788,NULL
2011,4,25,1,16132,6.6
2011,4,25,2,15496,6.1
2011,4,25,3,11228,5.5
2011,4,25,4,8516,4.5
2011,4,25,5,4500,4.6
2011,4,25,6,4256,3.9
2011,4,25,7,2280,4.1
2011,4,25,8,2656,3.7
2011,4,25,9,2224,2.4
2011,4,25,10,388,2.5
2011,4,25,11,412,4.1
2011,4,25,12,3232,5.2
2011,4,25,13,6308,5.6
2011,4,25,14,7548,5.2
2011,4,25,15,6124,4.7
2011,4,25,16,4360,4.8
2011,4,25,17,5240,5.4
2011,4,25,18,7188,5
2011,4,25,19,5644,4.8
2011,4,25,20,5300,4.5
2011,4,25,21,4488,5.9
2011,4,25,22,10328,6.9
2011,4,25,23,15432,7
2011,4,25,24,16820,NULL
2011,4,26,1,11724,6
2011,4,26,2,10832,5.6
2011,4,26,3,9224,5.5
2011,4,26,4,6960,5.9
2011,4,26,5,9580,5.7
2011,4,26,6,9220,5.8
2011,4,26,7,9252,5.8
2011,4,26,8,8852,5.1
2011,4,26,9,5208,2.6
2011,4,26,10,688,2.6
2011,4,26,11,548,4.1
2011,4,26,12,2732,6.9
2011,4,26,13,15088,6.5
2011,4,26,14,12688,5.4
2011,4,26,15,6716,5.2
2011,4,26,16,6104,5.3
2011,4,26,17,7188,5.2
2011,4,26,18,6288,5.8
2011,4,26,19,9276,5.5
2011,4,26,20,8048,4.4
2011,4,26,21,4280,5.8
2011,4,26,22,10724,6.4
2011,4,26,23,12964,6.3
2011,4,26,24,12112,NULL
2011,4,27,1,11904,6.1
2011,4,27,2,11048,6.8
2011,4,27,3,15144,6.8
2011,4,27,4,15172,6.8
2011,4,27,5,15568,6.1
2011,4,27,6,11072,6
2011,4,27,7,11500,5.5
2011,4,27,8,8044,5.7
2011,4,27,9,8888,5.9
2011,4,27,10,9420,5.8
2011,4,27,11,8720,6
2011,4,27,12,9196,6.1
2011,4,27,13,9852,6.1
2011,4,27,14,10068,6.3
2011,4,27,15,10624,6.8
2011,4,27,16,14500,6.9
2011,4,27,17,15684,6.8
2011,4,27,18,15504,6.9
2011,4,27,19,16916,6.7
2011,4,27,20,14732,6.4
2011,4,27,21,12872,6.3
2011,4,27,22,12580,5.7
2011,4,27,23,9048,5.8
2011,4,27,24,9824,NULL
2011,4,28,1,7696,4.8
2011,4,28,2,5364,4.1
2011,4,28,3,2984,3.8
2011,4,28,4,2732,3.7
2011,4,28,5,2132,3.6
2011,4,28,6,1920,3.9
2011,4,28,7,2784,3.7
2011,4,28,8,2340,2.4
2011,4,28,9,404,3
2011,4,28,10,1148,2.9
2011,4,28,11,920,3.9
2011,4,28,12,2848,4
2011,4,28,13,2820,3.6
2011,4,28,14,1720,4.5
2011,4,28,15,4132,3.1
2011,4,28,16,1440,2.9
2011,4,28,17,840,4.8
2011,4,28,18,5068,3.5
2011,4,28,19,1728,2.7
2011,4,28,20,620,2.8
2011,4,28,21,908,3.6
2011,4,28,22,2152,3.8
2011,4,28,23,2444,4.4
2011,4,28,24,4300,NULL
2011,4,29,1,3572,4.3
2011,4,29,2,3616,5.3
2011,4,29,3,7068,4.5
2011,4,29,4,4504,4.2
2011,4,29,5,3604,4.6
2011,4,29,6,4904,5.7
2011,4,29,7,9556,5.8
2011,4,29,8,8848,5.3
2011,4,29,9,7084,3.5
2011,4,29,10,2460,3.8
2011,4,29,11,2312,3.6
2011,4,29,12,1856,4.5
2011,4,29,13,4620,5.9
2011,4,29,14,9008,6.2
2011,4,29,15,10792,8
2011,4,29,16,23988,8.9
2011,4,29,17,31588,11.3
2011,4,29,18,47432,8.5
2011,4,29,19,27856,7.3
2011,4,29,20,18688,6.5
2011,4,29,21,16632,5.2
2011,4,29,22,8180,5.9
2011,4,29,23,10228,4.9
2011,4,29,24,5392,NULL
2011,4,30,1,13468,7.5
2011,4,30,2,20860,7.8
2011,4,30,3,23604,8.3
2011,4,30,4,28724,8.2
2011,4,30,5,28156,8.5
2011,4,30,6,29740,8.5
2011,4,30,7,30532,7.7
2011,4,30,8,23064,7.5
2011,4,30,9,20396,7.5
2011,4,30,10,21116,6.5
2011,4,30,11,13132,6.3
2011,4,30,12,11180,6.8
2011,4,30,13,14164,7.5
2011,4,30,14,19448,7.6
2011,4,30,15,20044,9
2011,4,30,16,31472,10.5
2011,4,30,17,43148,10.5
2011,4,30,18,42624,9.6
2011,4,30,19,35784,9.6
2011,4,30,20,36312,8.5
2011,4,30,21,28232,8.3
2011,4,30,22,27676,9.1
2011,4,30,23,34392,8.1
2011,4,30,24,26488,NULL
2011,5,1,1,24652,8
2011,5,1,2,26592,8.1
2011,5,1,3,25576,8.4
2011,5,1,4,29356,8.2
2011,5,1,5,28464,8.5
