Location,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitation,Pressure,Temperature,Visibility,Wind_Speed,_Solar_Elevation_,Electricity_KW_HR
Solar Array,2010,1,4,5,1,-11.7,0.7014,0,994.9,-7.2,16.093,6.7,-44.4098974189501,NULL
Solar Array,2010,1,4,6,1,-11.1,0.736,0,994.6,-7.2,16.093,7.2,-33.6093454464391,NULL
Solar Array,2010,1,4,7,1,-11.7,0.7014,0,994.6,-7.2,16.093,5.7,-22.8112610694772,NULL
Solar Array,2010,1,4,8,0.9,-11.1,0.736,0,994.2,-7.2,16.093,4.6,-12.3325009182484,NULL
Solar Array,2010,1,4,9,1,-10.6,0.737,0,994.2,-6.7,16.093,4.6,-2.46707866697467,NULL
Solar Array,2010,1,4,10,1,-10.6,0.737,0,993.9,-6.7,16.093,3.6,6.44843794724521,NULL
Solar Array,2010,1,4,11,0.9,-10,0.7382,0,993.9,-6.1,16.093,4.6,13.9987098928472,NULL
Solar Array,2010,1,4,12,1,-9.4,0.7118,0,993.9,-5,16.093,4.6,19.6883149029747,NULL
Solar Array,2010,1,4,13,1,-8.9,0.7403,0,993.2,-5,16.093,5.1,23.0073530080954,NULL
Solar Array,2010,1,4,14,1,-8.3,0.7414,0,992.6,-4.4,16.093,4.6,23.5822182371086,NULL
Solar Array,2010,1,4,15,1,-8.3,0.7141,0,991.9,-3.9,16.093,5.1,21.3412641317167,NULL
Solar Array,2010,1,4,16,1,-8.3,0.7141,0,991.9,-3.9,16.093,5.7,16.5519029029329,14186.16
Solar Array,2010,1,4,17,1,-8.3,0.6827,0,992.2,-3.3,16.093,3.6,9.69092940091031,5898
Solar Array,2010,1,4,18,1,-8.3,0.7141,0,992.6,-3.9,16.093,3.1,1.27262554760092,NULL
Solar Array,2010,1,4,19,1,-8.3,0.7414,0,992.6,-4.4,16.093,3.1,-8.2523653024061,NULL
Solar Array,2010,1,4,20,1,-8.3,0.7414,0,992.9,-4.4,16.093,2.6,-18.5181799653446,NULL
Solar Array,2010,1,4,21,1,-8.9,0.7403,0,993.2,-5,16.093,2.6,-29.2189198795241,NULL
Solar Array,2010,1,4,22,1,-8.9,0.7403,0,992.9,-5,16.093,3.1,-40.0564061153089,NULL
Solar Array,2010,1,4,23,1,-8.9,0.7403,0,992.9,-5,16.093,3.6,-50.6419540338648,NULL
Solar Array,2010,1,4,24,1,-8.9,0.7748,0,992.9,-5.6,16.093,4.1,-60.2596084124909,NULL
Solar Array,2010,1,5,1,1,-8.9,0.805,0,992.9,-6.1,16.093,3.1,-67.2663396437879,NULL
Solar Array,2010,1,5,2,1,-8.9,0.805,0,992.2,-6.1,16.093,5.1,-68.6855483829115,NULL
Solar Array,2010,1,5,3,1,-8.3,0.8437,0,992.2,-6.1,16.093,4.1,-63.5737408739247,NULL
Solar Array,2010,1,5,4,1,-7.8,0.8443,0,992.6,-5.6,16.093,3.1,-54.7347230736789,NULL
Solar Array,2010,1,5,5,1,-7.8,0.8443,0,992.6,-5.6,16.093,4.6,-44.4201269868008,NULL
Solar Array,2010,1,5,6,1,-7.2,0.9189,0,992.2,-6.1,16.093,2.6,-33.6226850501813,NULL
Solar Array,2010,1,5,7,1,-7.2,0.8845,0,992.2,-5.6,11.265,3.1,-22.8214089958982,NULL
Solar Array,2010,1,5,8,1,-7.8,0.8443,0,992.6,-5.6,16.093,4.1,-12.3347022645601,NULL
Solar Array,2010,1,5,9,1,-7.8,0.8443,0,992.9,-5.6,8.047,3.6,-2.45705075920799,NULL
Solar Array,2010,1,5,10,1,-8.3,0.8437,0,992.9,-6.1,8.047,3.1,6.4749364246471,12421.86
Solar Array,2010,1,5,11,1,-8.3,0.7759,0,992.9,-5,16.093,4.1,14.0457888445358,14210.46
Solar Array,2010,1,5,12,1,-7.8,0.7709,0,993.2,-4.4,16.093,3.6,19.759215067617,14723.64
Solar Array,2010,1,5,13,1,-7.2,0.8075,0,992.6,-4.4,16.093,2.1,23.1030894538273,13625.16
Solar Array,2010,1,5,14,1,-6.1,0.8464,0,991.9,-3.9,16.093,4.6,23.7004086236018,20007.08
Solar Array,2010,1,5,15,1,-6.1,0.7796,0,990.9,-2.8,16.093,4.6,21.4765085203877,19501.94
Solar Array,2010,1,5,16,1,-6.1,0.7456,0,990.9,-2.2,16.093,6.2,16.6978188302824,12511.12
Solar Array,2010,1,5,17,1,-6.1,0.7456,0,991.6,-2.2,16.093,5.7,9.84216419226121,4400.84
Solar Array,2010,1,5,18,1,-6.7,0.7445,0,991.6,-2.8,16.093,4.6,1.42564139394234,NULL
Solar Array,2010,1,5,19,1,-6.7,0.7445,0,991.9,-2.8,16.093,4.6,-8.09945797225156,NULL
Solar Array,2010,1,5,20,1,-6.7,0.7445,0,992.2,-2.8,16.093,4.6,-18.3660585837657,NULL
Solar Array,2010,1,5,21,1,-6.7,0.7728,0,992.2,-3.3,16.093,6.2,-29.0673979861043,NULL
Solar Array,2010,1,5,22,1,-6.7,0.7728,0,992.2,-3.3,16.093,3.6,-39.9046516200765,NULL
Solar Array,2010,1,5,23,1,-6.7,0.7728,0,991.9,-3.3,16.093,5.1,-50.4888391233384,NULL
Solar Array,2010,1,5,24,1,-7.2,0.7435,0,992.2,-3.3,16.093,5.7,-60.1055883847207,NULL
Solar Array,2010,1,6,1,1,-7.2,0.7435,0,991.9,-3.3,16.093,4.6,-67.1226433374659,NULL
Solar Array,2010,1,6,2,1,-7.2,0.7777,0,991.9,-3.9,16.093,3.6,-68.5866027238929,NULL
Solar Array,2010,1,6,3,1,-7.8,0.7424,0,991.9,-3.9,16.093,4.1,-63.5311012219803,NULL
Solar Array,2010,1,6,4,1,-7.8,0.7424,0,992.2,-3.9,16.093,3.6,-54.7248186281164,NULL
Solar Array,2010,1,6,5,1,-7.2,0.7777,0,992.6,-3.9,16.093,3.6,-44.4241115695047,NULL
Solar Array,2010,1,6,6,1,-7.2,0.7777,0,992.6,-3.9,16.093,4.1,-33.6300151264773,NULL
Solar Array,2010,1,6,7,1,-7.2,0.7777,0,992.9,-3.9,16.093,2.1,-22.8255514968221,NULL
Solar Array,2010,1,6,8,1,-7.2,0.7777,0,993.2,-3.9,16.093,3.1,-12.3307457344167,NULL
Solar Array,2010,1,6,9,1,-6.7,0.8083,0,993.6,-3.9,16.093,2.1,-2.44060485706108,NULL
Solar Array,2010,1,6,10,1,-6.7,0.8083,0,993.9,-3.9,16.093,3.1,6.50817737323723,9522.26
Solar Array,2010,1,6,11,1,-6.7,0.8083,0,994.2,-3.9,16.093,3.6,14.0999425750584,14295.44
Solar Array,2010,1,6,12,1,-7.2,0.7777,0,994.6,-3.9,16.093,3.1,19.837445175552,18739.66
Solar Array,2010,1,6,13,1,-7.2,0.7435,0,994.2,-3.3,16.093,4.1,23.2062230384093,26164.36
Solar Array,2010,1,6,14,1,-7.2,0.7777,0,993.9,-3.9,16.093,3.6,23.8257819499312,37008.6
Solar Array,2010,1,6,15,1,-7.2,0.7435,0,993.2,-3.3,16.093,3.1,21.6184338480936,33488.7
Solar Array,2010,1,6,16,1,-6.7,0.7445,0,993.2,-2.8,16.093,4.1,16.8497245220195,18329.84
Solar Array,2010,1,6,17,1,-6.7,0.7445,0,993.2,-2.8,16.093,3.1,9.99864712959658,6352.52
Solar Array,2010,1,6,18,1,-6.7,0.7445,0,993.9,-2.8,16.093,3.6,1.58322250830281,NULL
Solar Array,2010,1,6,19,1,-6.7,0.7445,0,993.9,-2.8,16.093,3.1,-7.94254676433776,NULL
Solar Array,2010,1,6,20,1,-6.7,0.7445,0,994.2,-2.8,16.093,2.6,-18.2103386965762,NULL
Solar Array,2010,1,6,21,1,-6.7,0.7728,0,994.2,-3.3,16.093,2.1,-28.9124954557553,NULL
Solar Array,2010,1,6,22,1,-6.7,0.7728,0,994.2,-3.3,16.093,3.1,-39.7494929184802,NULL
Solar Array,2010,1,6,23,1,-6.7,0.7728,0,994.9,-3.3,16.093,2.6,-50.3319445878438,NULL
Solar Array,2010,1,6,24,0.9,-7.2,0.7777,0,994.9,-3.9,16.093,2.1,-59.9468465372372,NULL
Solar Array,2010,1,7,1,1,-6.7,0.8393,0,994.6,-4.4,16.093,1.5,-66.9724810934765,NULL
Solar Array,2010,1,7,2,0.9,-7.2,0.8075,0,994.2,-4.4,16.093,1.5,-68.4795531954163,NULL
Solar Array,2010,1,7,3,1,-7.2,0.8075,0,993.9,-4.4,16.093,0,-63.4806502134918,NULL
Solar Array,2010,1,7,4,1,-6.7,0.8393,0,993.9,-4.4,16.093,1.5,-54.7080139936526,NULL
Solar Array,2010,1,7,5,1,-6.7,0.8393,0,993.9,-4.4,16.093,0,-44.4217752338464,NULL
Solar Array,2010,1,7,6,1,-7.2,0.8075,0,993.9,-4.4,16.093,1.5,-33.6312687852729,NULL
Solar Array,2010,1,7,7,1,-7.8,0.8443,0,993.2,-5.6,16.093,2.1,-22.8236337039367,NULL
Solar Array,2010,1,7,8,1,-7.8,0.8772,0,992.9,-6.1,16.093,3.6,-12.3205900856131,NULL
Solar Array,2010,1,7,9,1,-7.8,0.9185,0,993.2,-6.7,16.093,1.5,-2.41771461327777,NULL
Solar Array,2010,1,7,10,1,-7.2,0.9189,0,992.9,-6.1,16.093,2.1,6.54817120581538,10114.34
Solar Array,2010,1,7,11,0.9,-7.2,0.845,0,992.6,-5,16.093,0,14.1611649350719,19204.96
Solar Array,2010,1,7,12,1,-6.7,0.8393,0,992.6,-4.4,16.093,2.6,19.9229824078628,19687.72
Solar Array,2010,1,7,13,1,-6.7,0.8083,0,991.6,-3.9,16.093,0,23.3167143797621,21446
Solar Array,2010,1,7,14,1,-6.7,0.8083,0,990.6,-3.9,16.093,2.1,23.9582821922757,16248.42
Solar Array,2010,1,7,15,1,-5.6,0.913,0,989.6,-4.4,2.012,2.1,21.7669678167887,7739.1
Solar Array,2010,1,7,16,1,-5,0.9273,0.5,NULL,-4,1.207,0,17.0075335251581,1372.92
Solar Array,2010,1,7,17,1,-5,0.9273,0.5,NULL,-4,0.805,2.6,10.1602815095548,NULL
Solar Array,2010,1,7,18,1,-6,0.8593,0.5,NULL,-4,0.805,2.1,1.74526636160334,NULL
Solar Array,2010,1,7,19,1,-5,0.9273,0.8,NULL,-4,0.805,2.6,-7.78173620235881,NULL
Solar Array,2010,1,7,20,1,-5,0.9273,0.5,NULL,-4,0.805,2.6,-18.0511240064187,NULL
Solar Array,2010,1,7,21,1,-5,0.9273,0.8,NULL,-4,0.805,3.1,-28.7543134315443,NULL
Solar Array,2010,1,7,22,1,-4,0.9279,0.5,NULL,-3,0.805,5.7,-39.59102813753,NULL
Solar Array,2010,1,7,23,1,-6,0.8593,0,NULL,-4,0.805,5.7,-50.1713673770542,NULL
Solar Array,2010,1,7,24,1,-6.1,0.8464,0,987.9,-3.9,NULL,7.2,-59.7834852989539,NULL
Solar Array,2010,1,8,1,1,-6.1,0.8788,0,987.9,-4.4,NULL,6.7,-66.8159655711917,NULL
Solar Array,2010,1,8,2,1,-6.1,0.8788,0,987.9,-4.4,NULL,7.7,-68.3644589008094,NULL
Solar Array,2010,1,8,3,1,-6.1,0.8788,0,988.3,-4.4,NULL,8.8,-63.4223498953805,NULL
Solar Array,2010,1,8,4,1,-7.2,0.845,0,989.3,-5,0.805,7.7,-54.6842376899963,NULL
Solar Array,2010,1,8,5,1,-8.3,0.8121,0,989.6,-5.6,0.805,8.2,-44.4130457579708,NULL
Solar Array,2010,1,8,6,1,-8.9,0.8429,0,990.6,-6.7,NULL,7.7,-33.6263826112054,NULL
Solar Array,2010,1,8,7,1,-9.4,0.8423,0,991.2,-7.2,4.828,8.8,-22.8156042348064,NULL
Solar Array,2010,1,8,8,1,-9.4,0.8423,0,991.9,-7.2,12.875,7.7,-12.3041976423015,NULL
Solar Array,2010,1,8,9,0.9,-10.6,0.8024,0,993.2,-7.8,16.093,6.2,-2.38835731345135,NULL
Solar Array,2010,1,8,10,1,-10.6,0.7659,0,994.2,-7.2,16.093,6.7,6.59492469865251,4979.204153
Solar Array,2010,1,8,11,1,-11.1,0.736,0,994.9,-7.2,16.093,6.7,14.2294462260137,7590.68
Solar Array,2010,1,8,12,1,-11.1,0.736,0,995.9,-7.2,12.875,5.7,20.0158005726208,13824.98
Solar Array,2010,1,8,13,1,-11.7,0.7348,0,996.2,-7.8,12.875,6.2,23.4345209446092,20624
Solar Array,2010,1,8,14,1,-11.7,0.7014,0,996.2,-7.2,16.093,5.1,24.0978503910989,21511.12
Solar Array,2010,1,8,15,1,-11.1,0.7082,0,996.6,-6.7,16.093,3.6,21.9220354191116,20099.38
Solar Array,2010,1,8,16,1,-10.6,0.7038,0,996.9,-6.1,16.093,4.1,17.1711570009806,18016
Solar Array,2010,1,8,17,0.9,-10.6,0.7038,0,997.2,-6.1,16.093,3.6,10.3269687145628,9522.16
Solar Array,2010,1,8,18,0.9,-11.1,0.736,0,998.2,-7.2,16.093,2.1,1.91166910172471,NULL
Solar Array,2010,1,8,19,1,-10.6,0.7038,0,998.9,-6.1,16.093,4.1,-7.61713148266708,NULL
Solar Array,2010,1,8,20,1,-11.1,0.7082,0,999.6,-6.7,16.093,5.1,-17.8885182277156,NULL
Solar Array,2010,1,8,21,1,-12.8,0.699,0,1000.2,-8.3,16.093,4.1,-28.5929524254651,NULL
Solar Array,2010,1,8,22,0.25,-13.9,0.7304,0,1000.5,-10,16.093,3.1,-39.4293541724231,NULL
Solar Array,2010,1,8,23,0,-13.9,0.7972,0,1001.2,-11.1,16.093,2.6,-50.0072027212433,NULL
Solar Array,2010,1,8,24,0,-14.4,0.8358,0,1001.2,-12.2,16.093,2.1,-59.6156053404042,NULL
Solar Array,2010,1,9,1,1,-13.9,0.8365,0,1001.5,-11.7,16.093,3.6,-66.6532097184214,NULL
Solar Array,2010,1,9,2,1,-13.9,0.7972,0,1001.5,-11.1,16.093,3.6,-68.2413852611013,NULL
Solar Array,2010,1,9,3,1,-13.9,0.7304,0,1001.9,-10,16.093,4.6,-63.3561692567529,NULL
Solar Array,2010,1,9,4,0.9,-13.9,0.766,0,1002.2,-10.6,16.093,4.1,-54.6534231044083,NULL
Solar Array,2010,1,9,5,1,-13.9,0.7972,0,1002.5,-11.1,16.093,3.1,-44.3978548249812,NULL
Solar Array,2010,1,9,6,1,-13.9,0.7972,0,1002.5,-11.1,16.093,3.6,-33.6152968071711,NULL
Solar Array,2010,1,9,7,0,-15,0.764,0,1003.2,-11.7,16.093,4.6,-22.8014152955027,NULL
Solar Array,2010,1,9,8,0,-15.6,0.7568,0,1003.9,-12.2,16.093,4.6,-12.2815343631461,NULL
Solar Array,2010,1,9,9,0,-15.6,0.7944,0,1004.2,-12.8,16.093,4.6,-2.35251391411711,NULL
Solar Array,2010,1,9,10,0,-15.6,0.7944,0,1004.5,-12.8,16.093,4.6,6.64844097985647,37558.26
Solar Array,2010,1,9,11,0,-15,0.7954,0,1005.5,-12.2,16.093,3.6,14.3047732114895,96435.48
Solar Array,2010,1,9,12,0,-14.4,0.7352,0,1006.2,-10.6,16.093,2.6,20.1158701360008,147798.38
Solar Array,2010,1,9,13,0,-13.9,0.6697,0,1005.9,-8.9,16.093,2.6,23.5595970962602,173552.06
Solar Array,2010,1,9,14,0,-12.8,0.6418,0,1005.5,-7.2,16.093,2.6,24.2444247128824,170306.06
Solar Array,2010,1,9,15,0,-12.2,0.6483,0,1005.2,-6.7,16.093,1.5,22.08355901285,156550.82
Solar Array,2010,1,9,16,0,-12.2,0.6191,0,1005.2,-6.1,16.093,2.1,17.3405038127896,122563.86
Solar Array,2010,1,9,17,0,-12.2,0.6483,0,1005.2,-6.7,16.093,0,10.4986083133706,61592.86
Solar Array,2010,1,9,18,0,-12.2,0.6737,0,1005.2,-7.2,16.093,0,2.08232566319754,NULL
Solar Array,2010,1,9,19,0,-12.8,0.699,0,1005.5,-8.3,16.093,0,-7.44883836127369,NULL
Solar Array,2010,1,9,20,0,-13.3,0.7671,0,1005.9,-10,16.093,2.1,-17.7226249767056,NULL
Solar Array,2010,1,9,21,0,-13.9,0.766,0,1005.9,-10.6,16.093,2.6,-28.4285122173351,NULL
Solar Array,2010,1,9,22,0,-15,0.835,0,1005.9,-12.8,16.093,3.1,-39.2645665988278,NULL
Solar Array,2010,1,9,23,0,-13.9,0.8708,0,1005.9,-12.2,16.093,2.6,-49.8395440565781,NULL
Solar Array,2010,1,9,24,0,-14.4,0.8774,0,1005.5,-12.8,16.093,3.1,-59.4433054844271,NULL
Solar Array,2010,1,10,1,0,-15.6,0.869,0,1005.2,-13.9,16.093,2.6,-66.4843265310945,NULL
Solar Array,2010,1,10,2,0,-16.1,0.8685,0,1004.5,-14.4,16.093,3.6,-68.1104037355316,NULL
Solar Array,2010,1,10,3,0,-15.6,0.9054,0,1004.2,-14.4,16.093,2.6,-63.2820843787436,NULL
Solar Array,2010,1,10,4,0.5,-16.1,0.8404,0,1004.2,-14,16.093,2.6,-54.615508724154,NULL
Solar Array,2010,1,10,5,0.5,-17.2,0.832,0,1003.5,-15,16.093,2.1,-44.3761382113746,NULL
Solar Array,2010,1,10,6,0,-17.8,0.8666,0,1003.2,-16.1,16.093,3.6,-33.5979553342695,NULL
Solar Array,2010,1,10,7,0,-17.2,0.832,0,1002.9,-15,16.093,4.6,-22.781022780051,NULL
Solar Array,2010,1,10,8,0,-15.6,0.8274,0,1002.5,-13.3,16.093,4.6,-12.2525699064884,NULL
Solar Array,2010,1,10,9,0,-14.4,0.8774,0,1002.5,-12.8,16.093,4.1,-2.3101690780429,NULL
Solar Array,2010,1,10,10,0,-13.9,0.8708,0,1002.5,-12.2,14.484,4.6,6.70871952032799,41510.26
Solar Array,2010,1,10,11,0,-12.2,0.8796,0,1002.2,-10.6,14.484,6.2,14.387129131066,93251.84
Solar Array,2010,1,10,12,0,-11.1,0.8401,0,1002.2,-8.9,16.093,6.7,20.2231582557139,158242.18
Solar Array,2010,1,10,13,0,-10,0.7729,0,1001.2,-6.7,16.093,7.7,23.6918941447257,178238.7
Solar Array,2010,1,10,14,0,-9.4,0.745,0,999.9,-5.6,16.093,7.2,24.3979405142266,145492.52
Solar Array,2010,1,10,15,0,-9.4,0.6802,0,998.6,-4.4,16.093,8.8,22.2514583977725,157734.86
Solar Array,2010,1,10,16,0,-9.4,0.6802,0,997.9,-4.4,16.093,9.3,17.5154806159578,122940.84
Solar Array,2010,1,10,17,0,-9.4,0.6551,0,997.6,-3.9,16.093,9.3,10.6750981635934,56321.84
Solar Array,2010,1,10,18,0,-11.1,0.6219,0,997.2,-5,16.093,8.8,2.25712987826238,NULL
Solar Array,2010,1,10,19,0,-11.7,0.6204,0,996.6,-5.6,16.093,6.2,-7.27696304045122,NULL
Solar Array,2010,1,10,20,0,-11.1,0.6763,0,996.2,-6.1,16.093,8.8,-17.5535476623257,NULL
Solar Array,2010,1,10,21,0,-12.8,0.6175,0,996.2,-6.7,16.093,7.7,-28.2610917560337,NULL
Solar Array,2010,1,10,22,0.25,-15.6,0.5553,0,995.6,-8.3,16.093,9.3,-39.0967595893947,NULL
Solar Array,2010,1,10,23,0.9,-16.1,0.5326,0,994.9,-8.3,16.093,6.2,-49.6684829574223,NULL
Solar Array,2010,1,10,24,0.9,-15.6,0.6053,0,994.6,-9.4,16.093,5.7,-59.2666826290043,NULL
Solar Array,2010,1,11,1,1,-15,0.6362,0,993.9,-9.4,16.093,5.7,-66.3094288313057,NULL
