Year,Month,Day,Day_of_week,Weekdays,HolidayName,School_Day
Scenario,3,23,1,Sun,Easter,0
Scenario,3,24,2,Mon,,1
Scenario,3,25,3,Tue,,1
Scenario,3,26,4,Wed,,1
Scenario,3,27,5,Thu,,1
Scenario,3,28,6,Fri,,1
Scenario,3,29,7,Sat,,0
Scenario,3,30,1,Sun,,0
Scenario,3,31,2,Mon,,1
Scenario,4,1,3,Tue,,1
Scenario,4,2,4,Wed,,1
Scenario,4,3,5,Thu,,1
Scenario,4,4,6,Fri,,1
Scenario,4,5,7,Sat,,0
Scenario,4,6,1,Sun,,0
Scenario,4,7,2,Mon,,1
Scenario,4,8,3,Tue,,1
Scenario,4,9,4,Wed,,1
Scenario,4,10,5,Thu,,1
Scenario,4,11,6,Fri,,1
Scenario,4,12,7,Sat,,0
Scenario,4,13,1,Sun,,0
Scenario,4,14,2,Mon,,1
Scenario,4,15,3,Tue,,1
Scenario,4,16,4,Wed,,1
Scenario,4,17,5,Thu,,1
Scenario,4,18,6,Fri,,1
Scenario,4,19,7,Sat,,0
Scenario,4,20,1,Sun,,0
Scenario,4,21,2,Mon,,1
Scenario,4,22,3,Tue,,1
Scenario,4,23,4,Wed,,1
Scenario,4,24,5,Thu,,1
Scenario,4,25,6,Fri,,1
Scenario,4,26,7,Sat,,0
Scenario,4,27,1,Sun,,0
Scenario,4,28,2,Mon,,1
Scenario,4,29,3,Tue,,1
Scenario,4,30,4,Wed,,1
Scenario,5,1,5,Thu,,1
Scenario,5,2,6,Fri,,1
Scenario,5,3,7,Sat,,0
Scenario,5,4,1,Sun,,0
Scenario,5,5,2,Mon,,1
Scenario,5,6,3,Tue,,1
Scenario,5,7,4,Wed,,1
Scenario,5,8,5,Thu,,1
Scenario,5,9,6,Fri,,1
Scenario,5,10,7,Sat,,0
Scenario,5,11,1,Sun,,0
Scenario,5,12,2,Mon,,1
Scenario,5,13,3,Tue,,1
Scenario,5,14,4,Wed,,1
Scenario,5,15,5,Thu,,1
Scenario,5,16,6,Fri,,1
Scenario,5,17,7,Sat,,0
Scenario,5,18,1,Sun,,0
Scenario,5,19,2,Mon,,1
Scenario,5,20,3,Tue,,1
Scenario,5,21,4,Wed,,1
Scenario,5,22,5,Thu,,1
Scenario,5,23,6,Fri,,1
Scenario,5,24,7,Sat,,0
Scenario,5,25,1,Sun,,0
Scenario,5,26,2,Mon,Memorial Day,0
Scenario,5,27,3,Tue,,0
Scenario,5,28,4,Wed,,0
Scenario,5,29,5,Thu,,0
Scenario,5,30,6,Fri,,0
Scenario,5,31,7,Sat,,0
Scenario,6,1,1,Sun,,0
Scenario,6,2,2,Mon,,0
Scenario,6,3,3,Tue,,0
Scenario,6,4,4,Wed,,0
Scenario,6,5,5,Thu,,0
Scenario,6,6,6,Fri,,0
Scenario,6,7,7,Sat,,0
Scenario,6,8,1,Sun,,0
Scenario,6,9,2,Mon,,0
Scenario,6,10,3,Tue,,0
Scenario,6,11,4,Wed,,0
Scenario,6,12,5,Thu,,0
Scenario,6,13,6,Fri,,0
Scenario,6,14,7,Sat,,0
Scenario,6,15,1,Sun,,0
Scenario,6,16,2,Mon,,0
Scenario,6,17,3,Tue,,0
Scenario,6,18,4,Wed,,0
Scenario,6,19,5,Thu,,0
Scenario,6,20,6,Fri,,0
Scenario,6,21,7,Sat,,0
Scenario,6,22,1,Sun,,0
Scenario,6,23,2,Mon,,0
Scenario,6,24,3,Tue,,0
Scenario,6,25,4,Wed,,0
Scenario,6,26,5,Thu,,0
Scenario,6,27,6,Fri,,0
Scenario,6,28,7,Sat,,0
Scenario,6,29,1,Sun,,0
Scenario,6,30,2,Mon,,0
Scenario,7,1,3,Tue,,0
Scenario,7,2,4,Wed,,0
Scenario,7,3,5,Thu,,0
Scenario,7,4,6,Fri,Independence Day,0
Scenario,7,5,7,Sat,,0
Scenario,7,6,1,Sun,,0
Scenario,7,7,2,Mon,,0
Scenario,7,8,3,Tue,,0
Scenario,7,9,4,Wed,,0
Scenario,7,10,5,Thu,,0
Scenario,7,11,6,Fri,,0
Scenario,7,12,7,Sat,,0
Scenario,7,13,1,Sun,,0
Scenario,7,14,2,Mon,,0
Scenario,7,15,3,Tue,,0
Scenario,7,16,4,Wed,,0
Scenario,7,17,5,Thu,,0
Scenario,7,18,6,Fri,,0
Scenario,7,19,7,Sat,,0
Scenario,7,20,1,Sun,,0
Scenario,7,21,2,Mon,,0
Scenario,7,22,3,Tue,,0
Scenario,7,23,4,Wed,,0
Scenario,7,24,5,Thu,,0
Scenario,7,25,6,Fri,,0
Scenario,7,26,7,Sat,,0
Scenario,7,27,1,Sun,,0
Scenario,7,28,2,Mon,,0
Scenario,7,29,3,Tue,,0
Scenario,7,30,4,Wed,,0
Scenario,7,31,5,Thu,,0
Scenario,8,1,6,Fri,,0
Scenario,8,2,7,Sat,,0
Scenario,8,3,1,Sun,,0
Scenario,8,4,2,Mon,,0
Scenario,8,5,3,Tue,,0
Scenario,8,6,4,Wed,,0
Scenario,8,7,5,Thu,,0
Scenario,8,8,6,Fri,,0
Scenario,8,9,7,Sat,,0
Scenario,8,10,1,Sun,,0
Scenario,8,11,2,Mon,,0
Scenario,8,12,3,Tue,,0
Scenario,8,13,4,Wed,,0
Scenario,8,14,5,Thu,,0
Scenario,8,15,6,Fri,,0
Scenario,8,16,7,Sat,,0
Scenario,8,17,1,Sun,,0
Scenario,8,18,2,Mon,,0
Scenario,8,19,3,Tue,,0
Scenario,8,20,4,Wed,,0
Scenario,8,21,5,Thu,,0
Scenario,8,22,6,Fri,,0
Scenario,8,23,7,Sat,,0
Scenario,8,24,1,Sun,,0
Scenario,8,25,2,Mon,,0
Scenario,8,26,3,Tue,,0
Scenario,8,27,4,Wed,,0
Scenario,8,28,5,Thu,,0
Scenario,8,29,6,Fri,,0
Scenario,8,30,7,Sat,,0
Scenario,8,31,1,Sun,,0
Scenario,9,1,2,Mon,Labor Day,1
Scenario,9,2,3,Tue,,1
Scenario,9,3,4,Wed,,1
Scenario,9,4,5,Thu,,1
Scenario,9,5,6,Fri,,1
Scenario,9,6,7,Sat,,0
Scenario,9,7,1,Sun,,0
Scenario,9,8,2,Mon,,1
Scenario,9,9,3,Tue,,1
Scenario,9,10,4,Wed,,1
Scenario,9,11,5,Thu,,1
Scenario,9,12,6,Fri,,1
Scenario,9,13,7,Sat,,0
Scenario,9,14,1,Sun,,0
Scenario,9,15,2,Mon,,1
Scenario,9,16,3,Tue,,1
Scenario,9,17,4,Wed,,1
Scenario,9,18,5,Thu,,1
Scenario,9,19,6,Fri,,1
Scenario,9,20,7,Sat,,0
Scenario,9,21,1,Sun,,0
Scenario,9,22,2,Mon,,1
Scenario,9,23,3,Tue,,1
Scenario,9,24,4,Wed,,1
Scenario,9,25,5,Thu,,1
Scenario,9,26,6,Fri,,1
Scenario,9,27,7,Sat,,0
Scenario,9,28,1,Sun,,0
Scenario,9,29,2,Mon,,1
Scenario,9,30,3,Tue,,1
Scenario,10,1,4,Wed,,1
Scenario,10,2,5,Thu,,1
Scenario,10,3,6,Fri,,1
Scenario,10,4,7,Sat,,0
Scenario,10,5,1,Sun,,0
Scenario,10,6,2,Mon,,1
Scenario,10,7,3,Tue,,1
Scenario,10,8,4,Wed,,1
Scenario,10,9,5,Thu,,1
Scenario,10,10,6,Fri,,1
Scenario,10,11,7,Sat,,0
Scenario,10,12,1,Sun,,0
Scenario,10,13,2,Mon,Columbus Day,0
Scenario,10,14,3,Tue,,1
Scenario,10,15,4,Wed,,1
Scenario,10,16,5,Thu,,1
Scenario,10,17,6,Fri,,1
Scenario,10,18,7,Sat,,0
Scenario,10,19,1,Sun,,0
Scenario,10,20,2,Mon,,1
Scenario,10,21,3,Tue,,1
Scenario,10,22,4,Wed,,1
Scenario,10,23,5,Thu,,1
Scenario,10,24,6,Fri,,1
Scenario,10,25,7,Sat,,0
Scenario,10,26,1,Sun,,0
Scenario,10,27,2,Mon,,1
Scenario,10,28,3,Tue,,1
Scenario,10,29,4,Wed,,1
Scenario,10,30,5,Thu,,1
Scenario,10,31,6,Fri,,1
Scenario,11,1,7,Sat,,0
Scenario,11,2,1,Sun,,0
Scenario,11,3,2,Mon,,1
Scenario,11,4,3,Tue,,1
Scenario,11,5,4,Wed,,1
Scenario,11,6,5,Thu,,1
Scenario,11,7,6,Fri,,1
Scenario,11,8,7,Sat,,0
Scenario,11,9,1,Sun,,0
Scenario,11,10,2,Mon,,1
Scenario,11,11,3,Tue,Veterans Day,0
Scenario,11,12,4,Wed,,1
Scenario,11,13,5,Thu,,1
Scenario,11,14,6,Fri,,1
Scenario,11,15,7,Sat,,0
Scenario,11,16,1,Sun,,0
Scenario,11,17,2,Mon,,1
Scenario,11,18,3,Tue,,1
Scenario,11,19,4,Wed,,1
Scenario,11,20,5,Thu,,1
Scenario,11,21,6,Fri,,1
Scenario,11,22,7,Sat,,0
Scenario,11,23,1,Sun,,0
Scenario,11,24,2,Mon,,0
Scenario,11,25,3,Tue,,0
Scenario,11,26,4,Wed,,0
Scenario,11,27,5,Thu,Thanksgiving Day,0
Scenario,11,28,6,Fri,,0
Scenario,11,29,7,Sat,,0
Scenario,11,30,1,Sun,,0
Scenario,12,1,2,Mon,,1
Scenario,12,2,3,Tue,,1
Scenario,12,3,4,Wed,,1
Scenario,12,4,5,Thu,,1
Scenario,12,5,6,Fri,,1
Scenario,12,6,7,Sat,,0
Scenario,12,7,1,Sun,,0
Scenario,12,8,2,Mon,,1
Scenario,12,9,3,Tue,,1
Scenario,12,10,4,Wed,,1
Scenario,12,11,5,Thu,,1
Scenario,12,12,6,Fri,,1
Scenario,12,13,7,Sat,,0
Scenario,12,14,1,Sun,,0
Scenario,12,15,2,Mon,,1
Scenario,12,16,3,Tue,,1
Scenario,12,17,4,Wed,,1
Scenario,12,18,5,Thu,,1
Scenario,12,19,6,Fri,,1
Scenario,12,20,7,Sat,,0
Scenario,12,21,1,Sun,,0
Scenario,12,22,2,Mon,,0
Scenario,12,23,3,Tue,,0
Scenario,12,24,4,Wed,,0
Scenario,12,25,5,Thu,Christmas,0
Scenario,12,26,6,Fri,,0
Scenario,12,27,7,Sat,,0
Scenario,12,28,1,Sun,,0
Scenario,12,29,2,Mon,,0
Scenario,12,30,3,Tue,,0
Scenario,12,31,4,Wed,,0
