Location,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitation,Pressure,Temperature,Visibility,Wind_Speed
Solar Array,2010,1,2,15,0,-20,0.5003,0,999.6,-11.7,16.093,7.2
Solar Array,2010,1,2,16,0,-20.6,0.4944,0,999.9,-12.2,16.093,6.7
Solar Array,2010,1,2,17,0,-20,0.5209,0,1000.2,-12.2,16.093,5.7
Solar Array,2010,1,2,18,0,-20,0.5695,0,1000.9,-13.3,16.093,5.7
Solar Array,2010,1,2,19,0,-20.6,0.5677,0,1001.2,-13.9,16.093,5.1
Solar Array,2010,1,2,20,0,-20.6,0.5915,0,1001.5,-14.4,16.093,5.7
Solar Array,2010,1,2,21,0,-20.6,0.6216,0,1001.5,-15,16.093,3.1
Solar Array,2010,1,2,22,0,-20.6,0.6811,0,1001.5,-16.1,16.093,2.1
Solar Array,2010,1,2,23,0,-20.6,0.7163,0,1001.5,-16.7,16.093,1.5
Solar Array,2010,1,3,0,0,-20,0.7546,0,1001.2,-16.7,16.093,1.5
Solar Array,2010,1,3,1,0,-20,0.7546,0,1000.9,-16.7,16.093,1.5
Solar Array,2010,1,3,2,0,-20,0.7871,0,1000.9,-17.2,16.093,1.5
Solar Array,2010,1,3,3,0,-19.4,0.8721,0,1000.9,-17.8,16.093,1.5
Solar Array,2010,1,3,4,0,-19.4,0.7947,0,1000.9,-16.7,16.093,2.1
Solar Array,2010,1,3,5,0,-18.9,0.7889,0,1000.2,-16.1,16.093,3.6
Solar Array,2010,1,3,6,0,-18.9,0.7567,0,999.9,-15.6,16.093,4.6
Solar Array,2010,1,3,7,0,-18.3,0.7965,0,1000.2,-15.6,16.093,3.1
Solar Array,2010,1,3,8,0,-18.9,0.8296,0,1000.5,-16.7,16.093,2.1
Solar Array,2010,1,3,9,0,-17.8,0.8312,0,1000.2,-15.6,16.093,3.1
Solar Array,2010,1,3,10,0,-16.1,0.7936,0,999.9,-13.3,16.093,5.7
Solar Array,2010,1,3,11,0,-15.6,0.6928,0,999.9,-11.1,16.093,6.2
Solar Array,2010,1,3,12,0,-14.4,0.6685,0,998.9,-9.4,16.093,7.2
Solar Array,2010,1,3,13,0,-13.9,0.6146,0,997.9,-7.8,16.093,8.8
Solar Array,2010,1,3,14,0,-12.8,0.6175,0,997.6,-6.7,16.093,7.2
Solar Array,2010,1,3,15,0,-12.2,0.6191,0,997.2,-6.1,16.093,7.7
Solar Array,2010,1,3,16,0.5,-11.7,0.6445,0,997.2,-6.1,16.093,7.7
Solar Array,2010,1,3,17,1,-11.7,0.6445,0,997.2,-6.1,16.093,7.7
Solar Array,2010,1,3,18,1,-11.1,0.7082,0,997.2,-6.7,16.093,6.7
Solar Array,2010,1,3,19,1,-11.1,0.7082,0,996.9,-6.7,16.093,9.3
Solar Array,2010,1,3,20,1,-10,0.7729,0,996.6,-6.7,12.875,8.8
Solar Array,2010,1,3,21,1,-10.6,0.737,0,996.6,-6.7,16.093,8.2
Solar Array,2010,1,3,22,1,-11.1,0.736,0,996.2,-7.2,16.093,8.2
Solar Array,2010,1,3,23,1,-10.6,0.737,0,996.2,-6.7,16.093,5.7
Solar Array,2010,1,4,0,1,-10.6,0.737,0,995.9,-6.7,16.093,5.7
Solar Array,2010,1,4,1,1,-11.1,0.7082,0,995.2,-6.7,16.093,6.2
Solar Array,2010,1,4,2,1,-11.1,0.7082,0,995.2,-6.7,16.093,5.7
Solar Array,2010,1,4,3,1,-11.1,0.7082,0,995.2,-6.7,16.093,7.2
Solar Array,2010,1,4,4,1,-11.7,0.7014,0,994.9,-7.2,16.093,6.7
Solar Array,2010,1,4,5,1,-11.1,0.736,0,994.6,-7.2,16.093,7.2
Solar Array,2010,1,4,6,1,-11.7,0.7014,0,994.6,-7.2,16.093,5.7
Solar Array,2010,1,4,7,0.9,-11.1,0.736,0,994.2,-7.2,16.093,4.6
Solar Array,2010,1,4,8,1,-10.6,0.737,0,994.2,-6.7,16.093,4.6
Solar Array,2010,1,4,9,1,-10.6,0.737,0,993.9,-6.7,16.093,3.6
Solar Array,2010,1,4,10,0.9,-10,0.7382,0,993.9,-6.1,16.093,4.6
Solar Array,2010,1,4,11,1,-9.4,0.7118,0,993.9,-5,16.093,4.6
Solar Array,2010,1,4,12,1,-8.9,0.7403,0,993.2,-5,16.093,5.1
Solar Array,2010,1,4,13,1,-8.3,0.7414,0,992.6,-4.4,16.093,4.6
Solar Array,2010,1,4,14,1,-8.3,0.7141,0,991.9,-3.9,16.093,5.1
Solar Array,2010,1,4,15,1,-8.3,0.7141,0,991.9,-3.9,16.093,5.7
Solar Array,2010,1,4,16,1,-8.3,0.6827,0,992.2,-3.3,16.093,3.6
Solar Array,2010,1,4,17,1,-8.3,0.7141,0,992.6,-3.9,16.093,3.1
Solar Array,2010,1,4,18,1,-8.3,0.7414,0,992.6,-4.4,16.093,3.1
Solar Array,2010,1,4,19,1,-8.3,0.7414,0,992.9,-4.4,16.093,2.6
Solar Array,2010,1,4,20,1,-8.9,0.7403,0,993.2,-5,16.093,2.6
Solar Array,2010,1,4,21,1,-8.9,0.7403,0,992.9,-5,16.093,3.1
Solar Array,2010,1,4,22,1,-8.9,0.7403,0,992.9,-5,16.093,3.6
Solar Array,2010,1,4,23,1,-8.9,0.7748,0,992.9,-5.6,16.093,4.1
Solar Array,2010,1,5,0,1,-8.9,0.805,0,992.9,-6.1,16.093,3.1
Solar Array,2010,1,5,1,1,-8.9,0.805,0,992.2,-6.1,16.093,5.1
Solar Array,2010,1,5,2,1,-8.3,0.8437,0,992.2,-6.1,16.093,4.1
Solar Array,2010,1,5,3,1,-7.8,0.8443,0,992.6,-5.6,16.093,3.1
Solar Array,2010,1,5,4,1,-7.8,0.8443,0,992.6,-5.6,16.093,4.6
Solar Array,2010,1,5,5,1,-7.2,0.9189,0,992.2,-6.1,16.093,2.6
Solar Array,2010,1,5,6,1,-7.2,0.8845,0,992.2,-5.6,11.265,3.1
Solar Array,2010,1,5,7,1,-7.8,0.8443,0,992.6,-5.6,16.093,4.1
Solar Array,2010,1,5,8,1,-7.8,0.8443,0,992.9,-5.6,8.047,3.6
Solar Array,2010,1,5,9,1,-8.3,0.8437,0,992.9,-6.1,8.047,3.1
Solar Array,2010,1,5,10,1,-8.3,0.7759,0,992.9,-5,16.093,4.1
Solar Array,2010,1,5,11,1,-7.8,0.7709,0,993.2,-4.4,16.093,3.6
Solar Array,2010,1,5,12,1,-7.2,0.8075,0,992.6,-4.4,16.093,2.1
Solar Array,2010,1,5,13,1,-6.1,0.8464,0,991.9,-3.9,16.093,4.6
Solar Array,2010,1,5,14,1,-6.1,0.7796,0,990.9,-2.8,16.093,4.6
Solar Array,2010,1,5,15,1,-6.1,0.7456,0,990.9,-2.2,16.093,6.2
Solar Array,2010,1,5,16,1,-6.1,0.7456,0,991.6,-2.2,16.093,5.7
Solar Array,2010,1,5,17,1,-6.7,0.7445,0,991.6,-2.8,16.093,4.6
Solar Array,2010,1,5,18,1,-6.7,0.7445,0,991.9,-2.8,16.093,4.6
Solar Array,2010,1,5,19,1,-6.7,0.7445,0,992.2,-2.8,16.093,4.6
Solar Array,2010,1,5,20,1,-6.7,0.7728,0,992.2,-3.3,16.093,6.2
Solar Array,2010,1,5,21,1,-6.7,0.7728,0,992.2,-3.3,16.093,3.6
Solar Array,2010,1,5,22,1,-6.7,0.7728,0,991.9,-3.3,16.093,5.1
Solar Array,2010,1,5,23,1,-7.2,0.7435,0,992.2,-3.3,16.093,5.7
Solar Array,2010,1,6,0,1,-7.2,0.7435,0,991.9,-3.3,16.093,4.6
Solar Array,2010,1,6,1,1,-7.2,0.7777,0,991.9,-3.9,16.093,3.6
Solar Array,2010,1,6,2,1,-7.8,0.7424,0,991.9,-3.9,16.093,4.1
Solar Array,2010,1,6,3,1,-7.8,0.7424,0,992.2,-3.9,16.093,3.6
Solar Array,2010,1,6,4,1,-7.2,0.7777,0,992.6,-3.9,16.093,3.6
Solar Array,2010,1,6,5,1,-7.2,0.7777,0,992.6,-3.9,16.093,4.1
Solar Array,2010,1,6,6,1,-7.2,0.7777,0,992.9,-3.9,16.093,2.1
Solar Array,2010,1,6,7,1,-7.2,0.7777,0,993.2,-3.9,16.093,3.1
Solar Array,2010,1,6,8,1,-6.7,0.8083,0,993.6,-3.9,16.093,2.1
Solar Array,2010,1,6,9,1,-6.7,0.8083,0,993.9,-3.9,16.093,3.1
Solar Array,2010,1,6,10,1,-6.7,0.8083,0,994.2,-3.9,16.093,3.6
Solar Array,2010,1,6,11,1,-7.2,0.7777,0,994.6,-3.9,16.093,3.1
Solar Array,2010,1,6,12,1,-7.2,0.7435,0,994.2,-3.3,16.093,4.1
Solar Array,2010,1,6,13,1,-7.2,0.7777,0,993.9,-3.9,16.093,3.6
Solar Array,2010,1,6,14,1,-7.2,0.7435,0,993.2,-3.3,16.093,3.1
Solar Array,2010,1,6,15,1,-6.7,0.7445,0,993.2,-2.8,16.093,4.1
Solar Array,2010,1,6,16,1,-6.7,0.7445,0,993.2,-2.8,16.093,3.1
Solar Array,2010,1,6,17,1,-6.7,0.7445,0,993.9,-2.8,16.093,3.6
Solar Array,2010,1,6,18,1,-6.7,0.7445,0,993.9,-2.8,16.093,3.1
Solar Array,2010,1,6,19,1,-6.7,0.7445,0,994.2,-2.8,16.093,2.6
Solar Array,2010,1,6,20,1,-6.7,0.7728,0,994.2,-3.3,16.093,2.1
Solar Array,2010,1,6,21,1,-6.7,0.7728,0,994.2,-3.3,16.093,3.1
Solar Array,2010,1,6,22,1,-6.7,0.7728,0,994.9,-3.3,16.093,2.6
Solar Array,2010,1,6,23,0.9,-7.2,0.7777,0,994.9,-3.9,16.093,2.1
Solar Array,2010,1,7,0,1,-6.7,0.8393,0,994.6,-4.4,16.093,1.5
Solar Array,2010,1,7,1,0.9,-7.2,0.8075,0,994.2,-4.4,16.093,1.5
Solar Array,2010,1,7,2,1,-7.2,0.8075,0,993.9,-4.4,16.093,0
Solar Array,2010,1,7,3,1,-6.7,0.8393,0,993.9,-4.4,16.093,1.5
Solar Array,2010,1,7,4,1,-6.7,0.8393,0,993.9,-4.4,16.093,0
Solar Array,2010,1,7,5,1,-7.2,0.8075,0,993.9,-4.4,16.093,1.5
Solar Array,2010,1,7,6,1,-7.8,0.8443,0,993.2,-5.6,16.093,2.1
Solar Array,2010,1,7,7,1,-7.8,0.8772,0,992.9,-6.1,16.093,3.6
Solar Array,2010,1,7,8,1,-7.8,0.9185,0,993.2,-6.7,16.093,1.5
Solar Array,2010,1,7,9,1,-7.2,0.9189,0,992.9,-6.1,16.093,2.1
Solar Array,2010,1,7,10,0.9,-7.2,0.845,0,992.6,-5,16.093,0
Solar Array,2010,1,7,11,1,-6.7,0.8393,0,992.6,-4.4,16.093,2.6
Solar Array,2010,1,7,12,1,-6.7,0.8083,0,991.6,-3.9,16.093,0
Solar Array,2010,1,7,13,1,-6.7,0.8083,0,990.6,-3.9,16.093,2.1
Solar Array,2010,1,7,14,1,-5.6,0.913,0,989.6,-4.4,2.012,2.1
Solar Array,2010,1,7,15,1,-5,0.9273,0.5,,-4,1.207,0
Solar Array,2010,1,7,16,1,-5,0.9273,0.5,,-4,0.805,2.6
Solar Array,2010,1,7,17,1,-6,0.8593,0.5,,-4,0.805,2.1
Solar Array,2010,1,7,18,1,-5,0.9273,0.8,,-4,0.805,2.6
Solar Array,2010,1,7,19,1,-5,0.9273,0.5,,-4,0.805,2.6
Solar Array,2010,1,7,20,1,-5,0.9273,0.8,,-4,0.805,3.1
Solar Array,2010,1,7,21,1,-4,0.9279,0.5,,-3,0.805,5.7
Solar Array,2010,1,7,22,1,-6,0.8593,0,,-4,0.805,5.7
Solar Array,2010,1,7,23,1,-6.1,0.8464,0,987.9,-3.9,,7.2
Solar Array,2010,1,8,0,1,-6.1,0.8788,0,987.9,-4.4,,6.7
Solar Array,2010,1,8,1,1,-6.1,0.8788,0,987.9,-4.4,,7.7
Solar Array,2010,1,8,2,1,-6.1,0.8788,0,988.3,-4.4,,8.8
Solar Array,2010,1,8,3,1,-7.2,0.845,0,989.3,-5,0.805,7.7
Solar Array,2010,1,8,4,1,-8.3,0.8121,0,989.6,-5.6,0.805,8.2
Solar Array,2010,1,8,5,1,-8.9,0.8429,0,990.6,-6.7,,7.7
Solar Array,2010,1,8,6,1,-9.4,0.8423,0,991.2,-7.2,4.828,8.8
Solar Array,2010,1,8,7,1,-9.4,0.8423,0,991.9,-7.2,12.875,7.7
Solar Array,2010,1,8,8,0.9,-10.6,0.8024,0,993.2,-7.8,16.093,6.2
Solar Array,2010,1,8,9,1,-10.6,0.7659,0,994.2,-7.2,16.093,6.7
Solar Array,2010,1,8,10,1,-11.1,0.736,0,994.9,-7.2,16.093,6.7
Solar Array,2010,1,8,11,1,-11.1,0.736,0,995.9,-7.2,12.875,5.7
Solar Array,2010,1,8,12,1,-11.7,0.7348,0,996.2,-7.8,12.875,6.2
Solar Array,2010,1,8,13,1,-11.7,0.7014,0,996.2,-7.2,16.093,5.1
Solar Array,2010,1,8,14,1,-11.1,0.7082,0,996.6,-6.7,16.093,3.6
Solar Array,2010,1,8,15,1,-10.6,0.7038,0,996.9,-6.1,16.093,4.1
Solar Array,2010,1,8,16,0.9,-10.6,0.7038,0,997.2,-6.1,16.093,3.6
Solar Array,2010,1,8,17,0.9,-11.1,0.736,0,998.2,-7.2,16.093,2.1
Solar Array,2010,1,8,18,1,-10.6,0.7038,0,998.9,-6.1,16.093,4.1
Solar Array,2010,1,8,19,1,-11.1,0.7082,0,999.6,-6.7,16.093,5.1
Solar Array,2010,1,8,20,1,-12.8,0.699,0,1000.2,-8.3,16.093,4.1
Solar Array,2010,1,8,21,0.25,-13.9,0.7304,0,1000.5,-10,16.093,3.1
Solar Array,2010,1,8,22,0,-13.9,0.7972,0,1001.2,-11.1,16.093,2.6
Solar Array,2010,1,8,23,0,-14.4,0.8358,0,1001.2,-12.2,16.093,2.1
Solar Array,2010,1,9,0,1,-13.9,0.8365,0,1001.5,-11.7,16.093,3.6
Solar Array,2010,1,9,1,1,-13.9,0.7972,0,1001.5,-11.1,16.093,3.6
Solar Array,2010,1,9,2,1,-13.9,0.7304,0,1001.9,-10,16.093,4.6
Solar Array,2010,1,9,3,0.9,-13.9,0.766,0,1002.2,-10.6,16.093,4.1
Solar Array,2010,1,9,4,1,-13.9,0.7972,0,1002.5,-11.1,16.093,3.1
Solar Array,2010,1,9,5,1,-13.9,0.7972,0,1002.5,-11.1,16.093,3.6
Solar Array,2010,1,9,6,0,-15,0.764,0,1003.2,-11.7,16.093,4.6
Solar Array,2010,1,9,7,0,-15.6,0.7568,0,1003.9,-12.2,16.093,4.6
Solar Array,2010,1,9,8,0,-15.6,0.7944,0,1004.2,-12.8,16.093,4.6
Solar Array,2010,1,9,9,0,-15.6,0.7944,0,1004.5,-12.8,16.093,4.6
Solar Array,2010,1,9,10,0,-15,0.7954,0,1005.5,-12.2,16.093,3.6
Solar Array,2010,1,9,11,0,-14.4,0.7352,0,1006.2,-10.6,16.093,2.6
Solar Array,2010,1,9,12,0,-13.9,0.6697,0,1005.9,-8.9,16.093,2.6
Solar Array,2010,1,9,13,0,-12.8,0.6418,0,1005.5,-7.2,16.093,2.6
Solar Array,2010,1,9,14,0,-12.2,0.6483,0,1005.2,-6.7,16.093,1.5
Solar Array,2010,1,9,15,0,-12.2,0.6191,0,1005.2,-6.1,16.093,2.1
Solar Array,2010,1,9,16,0,-12.2,0.6483,0,1005.2,-6.7,16.093,0
Solar Array,2010,1,9,17,0,-12.2,0.6737,0,1005.2,-7.2,16.093,0
Solar Array,2010,1,9,18,0,-12.8,0.699,0,1005.5,-8.3,16.093,0
Solar Array,2010,1,9,19,0,-13.3,0.7671,0,1005.9,-10,16.093,2.1
Solar Array,2010,1,9,20,0,-13.9,0.766,0,1005.9,-10.6,16.093,2.6
Solar Array,2010,1,9,21,0,-15,0.835,0,1005.9,-12.8,16.093,3.1
Solar Array,2010,1,9,22,0,-13.9,0.8708,0,1005.9,-12.2,16.093,2.6
Solar Array,2010,1,9,23,0,-14.4,0.8774,0,1005.5,-12.8,16.093,3.1
Solar Array,2010,1,10,0,0,-15.6,0.869,0,1005.2,-13.9,16.093,2.6
Solar Array,2010,1,10,1,0,-16.1,0.8685,0,1004.5,-14.4,16.093,3.6
Solar Array,2010,1,10,2,0,-15.6,0.9054,0,1004.2,-14.4,16.093,2.6
Solar Array,2010,1,10,3,0.5,-16.1,0.8404,0,1004.2,-14,16.093,2.6
Solar Array,2010,1,10,4,0.5,-17.2,0.832,0,1003.5,-15,16.093,2.1
Solar Array,2010,1,10,5,0,-17.8,0.8666,0,1003.2,-16.1,16.093,3.6
Solar Array,2010,1,10,6,0,-17.2,0.832,0,1002.9,-15,16.093,4.6
Solar Array,2010,1,10,7,0,-15.6,0.8274,0,1002.5,-13.3,16.093,4.6
Solar Array,2010,1,10,8,0,-14.4,0.8774,0,1002.5,-12.8,16.093,4.1
Solar Array,2010,1,10,9,0,-13.9,0.8708,0,1002.5,-12.2,14.484,4.6
Solar Array,2010,1,10,10,0,-12.2,0.8796,0,1002.2,-10.6,14.484,6.2
Solar Array,2010,1,10,11,0,-11.1,0.8401,0,1002.2,-8.9,16.093,6.7
Solar Array,2010,1,10,12,0,-10,0.7729,0,1001.2,-6.7,16.093,7.7
Solar Array,2010,1,10,13,0,-9.4,0.745,0,999.9,-5.6,16.093,7.2
Solar Array,2010,1,10,14,0,-9.4,0.6802,0,998.6,-4.4,16.093,8.8
Solar Array,2010,1,10,15,0,-9.4,0.6802,0,997.9,-4.4,16.093,9.3
Solar Array,2010,1,10,16,0,-9.4,0.6551,0,997.6,-3.9,16.093,9.3
Solar Array,2010,1,10,17,0,-11.1,0.6219,0,997.2,-5,16.093,8.8
Solar Array,2010,1,10,18,0,-11.7,0.6204,0,996.6,-5.6,16.093,6.2
Solar Array,2010,1,10,19,0,-11.1,0.6763,0,996.2,-6.1,16.093,8.8
Solar Array,2010,1,10,20,0,-12.8,0.6175,0,996.2,-6.7,16.093,7.7
Solar Array,2010,1,10,21,0.25,-15.6,0.5553,0,995.6,-8.3,16.093,9.3
Solar Array,2010,1,10,22,0.9,-16.1,0.5326,0,994.9,-8.3,16.093,6.2
Solar Array,2010,1,10,23,0.9,-15.6,0.6053,0,994.6,-9.4,16.093,5.7
Solar Array,2010,1,11,0,1,-15,0.6362,0,993.9,-9.4,16.093,5.7
Solar Array,2010,1,11,1,1,-14.4,0.6685,0,992.9,-9.4,16.093,6.2
Solar Array,2010,1,11,2,1,-13.9,0.6697,0,992.6,-8.9,16.093,6.2
Solar Array,2010,1,11,3,1,-13.3,0.6712,0,992.6,-8.3,16.093,4.6
Solar Array,2010,1,11,4,1,-11,0.8535,0.3,991.9,-9,3.219,3.6
Solar Array,2010,1,11,5,1,-11,0.8535,0.5,,-9,1.207,3.6
Solar Array,2010,1,11,6,1,-11,0.8535,1,991.9,-9,1.207,3.6
Solar Array,2010,1,11,7,1,-10.6,0.8342,0.3,991.9,-8.3,12.875,3.6
Solar Array,2010,1,11,8,1,-11.1,0.8016,0,992.2,-8.3,9.656,4.1
Solar Array,2010,1,11,9,1,-11.1,0.8016,0,991.9,-8.3,8.047,4.1
Solar Array,2010,1,11,10,1,-10.6,0.8342,0,992.2,-8.3,3.219,4.1
Solar Array,2010,1,11,11,1,-10,0.8415,0,992.6,-7.8,3.219,3.6
Solar Array,2010,1,11,12,1,-10,0.8033,0,992.6,-7.2,2.012,3.1
Solar Array,2010,1,11,13,1,-9,0.8559,0.3,992.2,-7,2.012,2.1
Solar Array,2010,1,11,14,1,-8.3,0.8834,0,992.6,-6.7,3.219,1.5
Solar Array,2010,1,11,15,0.9,-7.8,0.8443,0,993.2,-5.6,6.437,1.5
Solar Array,2010,1,11,16,1,-7.8,0.8066,0,993.9,-5,4.023,2.1
Solar Array,2010,1,11,17,1,-7,0.7958,0,994.9,-4,1.609,2.1
Solar Array,2010,1,11,18,1,-6.1,0.8788,0,995.9,-4.4,3.219,2.1
Solar Array,2010,1,11,19,1,-6.1,0.8464,0,996.9,-3.9,4.828,6.7
Solar Array,2010,1,11,20,1,-7.2,0.8075,0,998.6,-4.4,14.484,8.2
Solar Array,2010,1,11,21,1,-8.3,0.7759,0,998.9,-5,16.093,7.7
Solar Array,2010,1,11,22,0,-9.4,0.8104,0,999.6,-6.7,16.093,7.2
Solar Array,2010,1,11,23,0,-11.1,0.8016,0,1000.2,-8.3,16.093,4.6
Solar Array,2010,1,12,0,0,-11.7,0.8007,0,1000.5,-8.9,16.093,4.1
Solar Array,2010,1,12,1,0,-11.1,0.8401,0,1001.2,-8.9,16.093,5.7
Solar Array,2010,1,12,2,0,-11.7,0.8007,0,1001.9,-8.9,16.093,5.7
Solar Array,2010,1,12,3,0.25,-12.2,0.7999,0,1002.5,-9.4,16.093,5.1
Solar Array,2010,1,12,4,0,-12.8,0.8379,0,1002.9,-10.6,16.093,4.6
Solar Array,2010,1,12,5,0,-13.3,0.8373,0,1002.9,-11.1,16.093,4.1
Solar Array,2010,1,12,6,0,-13.9,0.8708,0,1003.5,-12.2,16.093,4.6
Solar Array,2010,1,12,7,0,-13.9,0.8365,0,1004.2,-11.7,16.093,4.1
Solar Array,2010,1,12,8,0,-13.9,0.8708,0,1004.2,-12.2,16.093,3.1
Solar Array,2010,1,12,9,0,-13.9,0.8708,0,1004.5,-12.2,16.093,3.1
Solar Array,2010,1,12,10,0,-13.9,0.7972,0,1004.2,-11.1,16.093,2.6
Solar Array,2010,1,12,11,0,-12.2,0.7691,0,1005.2,-8.9,16.093,3.1
Solar Array,2010,1,12,12,0,-11.7,0.7014,0,1004.5,-7.2,16.093,3.1
Solar Array,2010,1,12,13,0,-11.7,0.6749,0,1004.2,-6.7,16.093,2.6
Solar Array,2010,1,12,14,0,-10,0.7382,0,1003.2,-6.1,16.093,3.1
Solar Array,2010,1,12,15,0.9,-10,0.7382,0,1003.2,-6.1,16.093,2.6
Solar Array,2010,1,12,16,0,-9.4,0.774,0,1002.2,-6.1,16.093,3.6
Solar Array,2010,1,12,17,1,-9.4,0.774,0,1001.9,-6.1,16.093,4.6
Solar Array,2010,1,12,18,1,-8.9,0.7748,0,1001.5,-5.6,16.093,5.1
Solar Array,2010,1,12,19,1,-7.8,0.8443,0,1001.2,-5.6,16.093,4.1
Solar Array,2010,1,12,20,1,-6.7,0.8782,0,1001.2,-5,16.093,4.6
Solar Array,2010,1,12,21,1,-6.7,0.8782,0,1000.9,-5,16.093,4.6
Solar Array,2010,1,12,22,1,-6.7,0.8393,0,1000.2,-4.4,12.875,4.6
Solar Array,2010,1,12,23,1,-6.1,0.8788,0,999.6,-4.4,12.875,6.2
Solar Array,2010,1,13,0,0.9,-6.1,0.8464,0,998.6,-3.9,14.484,5.1
Solar Array,2010,1,13,1,1,-5.6,0.8099,0,998.2,-2.8,16.093,7.7
Solar Array,2010,1,13,2,1,-5,0.8108,0,997.6,-2.2,14.484,7.7
Solar Array,2010,1,13,3,0.9,-5,0.8108,0,997.2,-2.2,14.484,8.2
Solar Array,2010,1,13,4,0.9,-4.4,0.8484,0,996.6,-2.2,14.484,9.8
Solar Array,2010,1,13,5,1,-5,0.8108,0,996.6,-2.2,14.484,8.2
Solar Array,2010,1,13,6,0.25,-5.6,0.8099,0,996.2,-2.8,16.093,9.3
Solar Array,2010,1,13,7,0.9,-5.6,0.8407,0,995.9,-3.3,14.484,9.3
Solar Array,2010,1,13,8,1,-6.1,0.8464,0,995.6,-3.9,16.093,8.8
Solar Array,2010,1,13,9,0.25,-7.8,0.8066,0,995.6,-5,14.484,7.7
Solar Array,2010,1,13,10,0,-8.3,0.7759,0,994.9,-5,16.093,7.2
Solar Array,2010,1,13,11,0,-7.8,0.7424,0,994.6,-3.9,16.093,8.2
Solar Array,2010,1,13,12,0,-7.8,0.7098,0,993.6,-3.3,14.484,8.8
Solar Array,2010,1,13,13,0,-7.8,0.6838,0,992.9,-2.8,16.093,7.2
