Year,Month,Day,Hour,Calc_Sector_KW,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility,Day_of_week,Weekdays,HolidayName,School_Day,Solar_Elevation
Consumption,1,2,21,152073.7789,0.5,-12.2,0.65,5,-6.7,16.1,2,Mon,NULL,0,-29.29628155
Consumption,1,2,22,134183.3873,0.8,-14.4,0.54,5,-6.7,16.1,2,Mon,NULL,0,-40.29363781
Consumption,1,2,23,92071.20594,1,-12.8,0.6,5,-6.1,16.1,2,Mon,NULL,0,-51.08056982
Consumption,1,2,24,78305.76172,1,-11.7,0.68,6,-6.7,16.1,2,Mon,NULL,0,-60.9684537
Consumption,1,3,1,65892.00487,0.3,-12.8,0.68,5,-7.8,16.1,3,Tue,NULL,0,-68.29612352
Consumption,1,3,2,63771.85175,0.2,-12.8,0.68,5,-7.8,16.1,3,Tue,NULL,0,-69.8111952
Consumption,1,3,3,63593.99004,0,-12.8,0.68,5,-7.8,16.1,3,Tue,NULL,0,-64.43046269
Consumption,1,3,4,64977.57284,0,-12.8,0.71,5,-8.3,16.1,3,Tue,NULL,0,-55.29483897
Consumption,1,3,5,70844.17404,0,-12.8,0.71,5,-8.3,16.1,3,Tue,NULL,0,-44.75634717
Consumption,1,3,6,86487.68498,0,-12.2,0.74,5,-8.3,16.1,3,Tue,NULL,0,-33.78619985
Consumption,1,3,7,139093.5907,0,-12.2,0.74,5,-8.3,16.1,3,Tue,NULL,0,-22.84092162
Consumption,1,3,8,144414.1019,0,-12.2,0.74,5,-8.3,16.1,3,Tue,NULL,0,-12.22558382
Consumption,1,3,9,131948.0508,0,-12.2,0.71,5,-7.8,16.1,3,Tue,NULL,0,-2.22758128
Consumption,1,3,10,115735.5204,0,-12.2,0.62,5,-6.1,16.1,3,Tue,NULL,0,6.81886242
Consumption,1,3,11,106547.9991,0.5,-11.7,0.58,6,-4.4,16.1,3,Tue,NULL,0,14.49563956
Consumption,1,3,12,107045.8978,1,-11.7,0.51,6,-2.8,16.1,3,Tue,NULL,0,20.29768877
Consumption,1,3,13,106817.9115,1,-11.1,0.47,6,-1.1,16.1,3,Tue,NULL,0,23.69874432
Consumption,1,3,14,104791.3291,1,-11.1,0.51,6,-2.2,16.1,3,Tue,NULL,0,24.3084393
Consumption,1,3,15,101872.0811,1,-11.1,0.49,6,-1.7,16.1,3,Tue,NULL,0,22.04895794
Consumption,1,3,16,104838.6802,1,-11.1,0.47,6,-1.1,16.1,3,Tue,NULL,0,17.19634858
Consumption,1,3,17,123720.9637,1,-10,0.56,6,-2.2,16.1,3,Tue,NULL,0,10.24315543
Consumption,1,3,18,153185.7795,1,-10.6,0.53,6,-2.2,16.1,3,Tue,NULL,0,1.716857587
Consumption,1,3,19,154686.6469,1,-10,0.58,6,-2.8,16.1,3,Tue,NULL,0,-7.925068835
Consumption,1,3,20,151905.5688,1,-9.4,0.61,6,-2.8,16.1,3,Tue,NULL,0,-18.31590362
Consumption,1,3,21,147143.1738,1,-10,0.58,6,-2.8,16.1,3,Tue,NULL,0,-29.1540049
Consumption,1,3,22,129193.5076,1,-10,0.56,6,-2.2,16.1,3,Tue,NULL,0,-40.15121229
Consumption,1,3,23,91432.61647,1,-10,0.56,6,-2.2,16.1,3,Tue,NULL,0,-50.93758925
Consumption,1,3,24,77067.38774,1,-8.9,0.63,6,-2.8,16.1,3,Tue,NULL,0,-60.82635037
Consumption,1,4,1,63506.00097,1,-7.2,0.72,7,-2.8,16.1,4,Wed,NULL,0,-68.16763052
Consumption,1,4,2,60574.16694,1,-6.7,0.75,7,-2.8,16.1,4,Wed,NULL,0,-69.73293207
Consumption,1,4,3,60759.98155,1,-7.2,0.75,7,-3.3,16.1,4,Wed,NULL,0,-64.41015583
Consumption,1,4,4,60862.36474,1,-7.2,0.75,7,-3.3,16.1,4,Wed,NULL,0,-55.30529958
Consumption,1,4,5,67333.78994,1,-10.6,0.63,6,-4.4,16.1,4,Wed,NULL,0,-44.77900232
Consumption,1,4,6,81025.39957,1,-11.7,0.65,6,-6.1,16.1,4,Wed,NULL,0,-33.81136505
Consumption,1,4,7,130945.3017,0.8,-12.8,0.68,5,-7.8,16.1,4,Wed,NULL,0,-22.86272739
Consumption,1,4,8,139515.3114,0.4,-15,0.62,5,-8.9,16.1,4,Wed,NULL,0,-12.23957616
Consumption,1,4,9,129575.8779,0.5,-15,0.67,5,-10,16.1,4,Wed,NULL,0,-2.22966482
Consumption,1,4,10,116327.7261,0.5,-13.9,0.74,5,-10,16.1,4,Wed,NULL,0,6.832861499
Consumption,1,4,11,109486.4852,1,-12.8,0.8,5,-10,0.8,4,Wed,NULL,0,14.52991895
Consumption,1,4,12,110432.5353,0.8,-15.6,0.67,5,-10.6,11.3,4,Wed,NULL,0,20.35576897
Consumption,1,4,13,110703.4285,1,-13.3,0.84,5,-11.1,0.8,4,Wed,NULL,0,23.78208116
Consumption,1,4,14,108601.8433,1,-13.9,0.8,5,-11.1,0.4,4,Wed,NULL,0,24.41510105
Consumption,1,4,15,105319.9205,0.9,-15.6,0.77,5,-12.2,0.4,4,Wed,NULL,0,22.17382347
Consumption,1,4,16,109328.3948,1,-14.4,0.88,5,-12.8,0.3,4,Wed,NULL,0,17.33308969
Consumption,1,4,17,128786.954,0.8,-17.2,0.73,4,-13.3,4.8,4,Wed,NULL,0,10.38631858
Consumption,1,4,18,158427.3818,0.6,-16.7,0.8,4,-13.9,3.2,4,Wed,NULL,0,1.862728614
Consumption,1,4,19,160074.5415,0.8,-17.2,0.8,4,-14.4,8,4,Wed,NULL,0,-7.778589386
Consumption,1,4,20,157652.9227,1,-16.7,0.8,4,-13.9,4.8,4,Wed,NULL,0,-18.16972535
Consumption,1,4,21,153126.51,1,-17.8,0.73,4,-13.9,1.6,4,Wed,NULL,0,-29.00820319
Consumption,1,4,22,135682.2302,1,-17.2,0.8,4,-14.4,4.8,4,Wed,NULL,0,-40.00526474
Consumption,1,4,23,94579.21005,1,-17.2,0.8,4,-14.4,2.4,4,Wed,NULL,0,-50.79073732
Consumption,1,4,24,82424.90168,0.6,-18.9,0.73,4,-15,4.8,4,Wed,NULL,0,-60.67943624
Consumption,1,5,1,70026.76537,1,-18.9,0.79,4,-16.1,1.6,5,Thu,NULL,0,-68.03250671
Consumption,1,5,2,69651.3273,1,-21.1,0.69,4,-16.7,4.8,5,Thu,NULL,0,-69.64641364
Consumption,1,5,3,70661.23849,0.3,-21.7,0.72,4,-17.8,11.3,5,Thu,NULL,0,-64.38218834
Consumption,1,5,4,70954.0066,1,-21.1,0.75,4,-17.8,6.4,5,Thu,NULL,0,-55.30914691
Consumption,1,5,5,77888.27769,1,-21.1,0.79,4,-18.3,6.4,5,Thu,NULL,0,-44.79563322
Consumption,1,5,6,92055.66975,0.4,-22.2,0.79,3,-19.4,11.3,5,Thu,NULL,0,-33.83072281
Consumption,1,5,7,145565.1422,0,-22.8,0.83,3,-20.6,16.1,5,Thu,NULL,0,-22.87870305
Consumption,1,5,8,151736.2022,0,-23.9,0.75,3,-20.6,16.1,5,Thu,NULL,0,-12.2475556
Consumption,1,5,9,138908.2822,0,-22.2,0.79,3,-19.4,16.1,5,Thu,NULL,0,-2.225441756
Consumption,1,5,10,121594.4245,0,-20.6,0.79,4,-17.8,16.1,5,Thu,NULL,0,6.853529186
Consumption,1,5,11,112365.7851,0.6,-20,0.76,4,-16.7,16.1,5,Thu,NULL,0,14.57124081
Consumption,1,5,12,114749.2184,1,-19.4,0.72,4,-15.6,16.1,5,Thu,NULL,0,20.42119046
Consumption,1,5,13,113872.9316,0.8,-18.9,0.73,4,-15,3.2,5,Thu,NULL,0,23.87286723
Consumption,1,5,14,110174.6624,0.8,-17.8,0.73,4,-13.9,8,5,Thu,NULL,0,24.52902876
Consumption,1,5,15,107061.0454,0.9,-17.8,0.73,4,-13.9,4.8,5,Thu,NULL,0,22.30547004
Consumption,1,5,16,110346.3877,0.9,-17.8,0.73,4,-13.9,4.8,5,Thu,NULL,0,17.47592527
Consumption,1,5,17,128399.5856,0.2,-18.9,0.69,4,-14.4,12.9,5,Thu,NULL,0,10.53483085
Consumption,1,5,18,159248.0442,0.4,-19.4,0.69,4,-15,12.9,5,Thu,NULL,0,2.013256982
Consumption,1,5,19,161195.8611,0.8,-18.9,0.69,4,-14.4,16.1,5,Thu,NULL,0,-7.62802674
Consumption,1,5,20,159008.6742,0.3,-19.4,0.76,4,-16.1,16.1,5,Thu,NULL,0,-18.01988574
Consumption,1,5,21,155033.2259,0,-20.6,0.76,4,-17.2,16.1,5,Thu,NULL,0,-28.85897865
Consumption,1,5,22,137370.8586,0.3,-18.9,0.83,4,-16.7,16.1,5,Thu,NULL,0,-39.85589559
Consumption,1,5,23,95669.15169,0.8,-19.4,0.83,4,-17.2,4.8,5,Thu,NULL,0,-50.64011412
Consumption,1,5,24,83167.90142,0.8,-18.9,0.83,4,-16.7,2,5,Thu,NULL,0,-60.52781695
Consumption,1,6,1,73637.9116,0.4,-20.6,0.79,4,-17.8,9.7,6,Fri,NULL,0,-67.89086536
Consumption,1,6,2,71724.95557,0,-21.1,0.83,4,-18.9,11.3,6,Fri,NULL,0,-69.55168317
Consumption,1,6,3,73596.80137,0,-21.7,0.83,4,-19.4,11.3,6,Fri,NULL,0,-64.3464997
Consumption,1,6,4,73239.17685,0,-22.2,0.83,3,-20,11.3,6,Fri,NULL,0,-55.30629338
Consumption,1,6,5,82033.36423,0,-22.8,0.83,3,-20.6,11.3,6,Fri,NULL,0,-44.80615522
Consumption,1,6,6,94881.78808,0,-22.8,0.83,3,-20.6,11.3,6,Fri,NULL,0,-33.84419863
Consumption,1,6,7,149006.9879,0,-22.8,0.83,3,-20.6,11.3,6,Fri,NULL,0,-22.88878649
Consumption,1,6,8,154344.5334,0,-23.3,0.82,3,-21.1,11.3,6,Fri,NULL,0,-12.2494738
Consumption,1,6,9,142186.898,0,-23.3,0.82,3,-21.1,11.3,6,Fri,NULL,0,-2.214878708
Consumption,1,6,10,125653.6708,0,-21.7,0.83,4,-19.4,11.3,6,Fri,NULL,0,6.88088275
Consumption,1,6,11,114810.6009,0,-20.6,0.79,4,-17.8,11.3,6,Fri,NULL,0,14.61960552
Consumption,1,6,12,113414.5949,0,-19.4,0.72,4,-15.6,11.3,6,Fri,NULL,0,20.4939365
Consumption,1,6,13,110724.0313,0,-18.9,0.69,4,-14.4,11.3,6,Fri,NULL,0,23.97106869
Consumption,1,6,14,107406.4988,0,-18.3,0.66,4,-13.3,11.3,6,Fri,NULL,0,24.65017146
Consumption,1,6,15,103008.0608,0,-18.3,0.64,4,-12.8,11.3,6,Fri,NULL,0,22.44382979
Consumption,1,6,16,105192.9625,0.2,-18.3,0.61,4,-12.2,11.3,6,Fri,NULL,0,17.62477252
Consumption,1,6,17,125397.6676,0.1,-18.3,0.73,4,-14.4,11.3,6,Fri,NULL,0,10.6885983
Consumption,1,6,18,156793.6284,0.1,-18.3,0.73,4,-14.4,11.3,6,Fri,NULL,0,2.168341997
Consumption,1,6,19,159257.0369,0,-18.3,0.8,4,-15.6,11.3,6,Fri,NULL,0,-7.473484489
Consumption,1,6,20,157490.1125,0,-20,0.83,4,-17.8,16.1,6,Fri,NULL,0,-17.86648841
Consumption,1,6,21,153482.6073,0,-20,0.83,4,-17.8,16.1,6,Fri,NULL,0,-28.70643306
Consumption,1,6,22,137280.1251,0,-24.4,0.82,3,-22.2,16.1,6,Fri,NULL,0,-39.70320419
Consumption,1,6,23,97257.97121,0,-23.9,0.82,3,-21.7,16.1,6,Fri,NULL,0,-50.48581811
Consumption,1,6,24,86529.04264,0,-23.9,0.82,3,-21.7,16.1,6,Fri,NULL,0,-60.37159638
Consumption,1,7,1,74528.31117,0,-22.2,0.83,3,-20,11.3,7,Sat,NULL,0,-67.74282028
Consumption,1,7,2,73025.97261,0,-22.8,0.83,3,-20.6,11.3,7,Sat,NULL,0,-69.44879106
Consumption,1,7,3,73246.99021,0,-21.7,0.87,4,-20,11.3,7,Sat,NULL,0,-64.30303591
Consumption,1,7,4,73882.75132,0,-22.8,0.83,3,-20.6,11.3,7,Sat,NULL,0,-55.2966555
Consumption,1,7,5,80151.40854,0,-22.8,0.83,3,-20.6,11.3,7,Sat,NULL,0,-44.81048694
Consumption,1,7,6,93764.27307,0.2,-22.8,0.83,3,-20.6,11.3,7,Sat,NULL,0,-33.85172116
Consumption,1,7,7,148385.312,0.6,-25.6,0.82,3,-23.3,4.8,7,Sat,NULL,0,-22.89291888
Consumption,1,7,8,150035.311,0.4,-25.6,0.78,3,-22.8,4.8,7,Sat,NULL,0,-12.2452858
Consumption,1,7,9,127453.8396,0.7,-23.3,0.87,3,-21.7,4.8,7,Sat,NULL,0,-2.197945843
Consumption,1,7,10,113469.6788,1,-19.4,0.87,4,-17.8,4.8,7,Sat,NULL,0,6.914935858
Consumption,1,7,11,103427.7759,1,-17.2,0.87,4,-15.6,4.8,7,Sat,NULL,0,14.6750099
Consumption,1,7,12,101705.6452,1,-16.7,0.83,4,-14.4,6.4,7,Sat,NULL,0,20.57398694
Consumption,1,7,13,100133.8921,1,-16.7,0.73,4,-12.8,11.3,7,Sat,NULL,0,24.07664854
Consumption,1,7,14,97268.32502,1,-17.8,0.64,4,-12.2,11.3,7,Sat,NULL,0,24.77847515
Consumption,1,7,15,92361.96399,1,-18.3,0.58,4,-11.7,11.3,7,Sat,NULL,0,22.588832
Consumption,1,7,16,95886.99573,1,-18.9,0.55,4,-11.7,11.3,7,Sat,NULL,0,17.77954611
Consumption,1,7,17,114502.3134,1,-17.8,0.61,4,-11.7,11.3,7,Sat,NULL,0,10.84752492
Consumption,1,7,18,149300.133,1,-17.2,0.67,4,-12.2,11.3,7,Sat,NULL,0,2.327881489
Consumption,1,7,19,133288.3474,1,-17.2,0.7,4,-12.8,11.3,7,Sat,NULL,0,-7.315067041
Consumption,1,7,20,131196.2641,1,-17.2,0.73,4,-13.3,11.3,7,Sat,NULL,0,-17.70963711
Consumption,1,7,21,130835.6875,1,-20,0.6,4,-13.9,11.3,7,Sat,NULL,0,-28.55066768
Consumption,1,7,22,116935.6642,1,-18.3,0.8,4,-15.6,11.3,7,Sat,NULL,0,-39.54728869
Consumption,1,7,23,101155.8359,0.2,-19.4,0.87,4,-17.8,11.3,7,Sat,NULL,0,-50.32794601
Consumption,1,7,24,87503.1457,0,-21.7,0.83,4,-19.4,11.3,7,Sat,NULL,0,-60.21087653
Consumption,1,8,1,77817.47307,0,-22.2,0.87,3,-20.6,11.3,1,Sun,NULL,0,-67.58848554
Consumption,1,8,2,74141.58956,0,-23.3,0.79,3,-20.6,11.3,1,Sun,NULL,0,-69.33779461
Consumption,1,8,3,76980.86482,0,-23.3,0.79,3,-20.6,11.3,1,Sun,NULL,0,-64.25174969
Consumption,1,8,4,75782.65472,0,-25,0.78,3,-22.2,11.3,1,Sun,NULL,0,-55.28015417
Consumption,1,8,5,85337.1344,0,-24.4,0.82,3,-22.2,11.3,1,Sun,NULL,0,-44.80855052
Consumption,1,8,6,96356.87796,0,-25.6,0.78,3,-22.8,11.3,1,Sun,NULL,0,-33.85322237
Consumption,1,8,7,119790.2082,0,-25,0.82,3,-22.8,11.3,1,Sun,NULL,0,-22.89104474
Consumption,1,8,8,124028.5548,0,-24.4,0.82,3,-22.2,4.8,1,Sun,NULL,0,-12.23495017
Consumption,1,8,9,105118.6243,0.4,-23.9,0.82,3,-21.7,6.4,1,Sun,NULL,0,-2.174616919
Consumption,1,8,10,86854.29582,0.6,-17.8,0.8,4,-15,11.3,1,Sun,NULL,0,6.955698556
Consumption,1,8,11,80486.96985,0.8,-16.1,0.76,4,-12.8,11.3,1,Sun,NULL,0,14.73744723
Consumption,1,8,12,78283.50311,0.8,-16.7,0.64,4,-11.1,11.3,1,Sun,NULL,0,20.66131824
Consumption,1,8,13,78118.17581,1,-15,0.64,5,-9.4,16.1,1,Sun,NULL,0,24.18956657
Consumption,1,8,14,73990.54231,0.9,-13.9,0.65,5,-8.3,16.1,1,Sun,NULL,0,24.91388288
Consumption,1,8,15,72045.18468,0.7,-13.3,0.65,5,-7.8,16.1,1,Sun,NULL,0,22.74040325
Consumption,1,8,16,73763.9886,0.9,-13.3,0.62,5,-7.2,16.1,1,Sun,NULL,0,17.94015829
Consumption,1,8,17,94172.46863,0.9,-13.9,0.62,5,-7.8,16.1,1,Sun,NULL,0,11.01151274
Consumption,1,8,18,127741.7065,1,-13.3,0.68,5,-8.3,16.1,1,Sun,NULL,0,2.491771917
Consumption,1,8,19,138683.5452,1,-13.3,0.68,5,-8.3,16.1,1,Sun,NULL,0,-7.152879518
Consumption,1,8,20,133729.0787,1,-12.8,0.71,5,-8.3,16.1,1,Sun,NULL,0,-17.54943562
Consumption,1,8,21,133116.5937,1,-13.9,0.65,5,-8.3,9.7,1,Sun,NULL,0,-28.39178313
Consumption,1,8,22,117713.2354,1,-13.3,0.71,5,-8.9,4.8,1,Sun,NULL,0,-39.38824599
Consumption,1,8,23,102019.224,1,-13.9,0.68,5,-8.9,3.2,1,Sun,NULL,0,-50.16659272
Consumption,1,8,24,86163.13323,1,-11.7,0.81,6,-8.9,3.2,1,Sun,NULL,0,-60.04575745
Consumption,1,9,1,75920.93264,1,-11.1,0.84,6,-8.9,3.2,2,Mon,NULL,1,-67.42797527
Consumption,1,9,2,70887.36441,1,-11.1,0.88,6,-9.4,3.2,2,Mon,NULL,1,-69.21875773
Consumption,1,9,3,73329.38928,1,-14.4,0.84,5,-12.2,16.1,2,Mon,NULL,1,-64.19260073
Consumption,1,9,4,72352.59085,0,-18.3,0.87,4,-16.7,16.1,2,Mon,NULL,1,-55.25671492
Consumption,1,9,5,82229.53244,0,-17.8,0.91,4,-16.7,16.1,2,Mon,NULL,1,-44.80027179
Consumption,1,9,6,93457.44464,1,-18.9,0.91,4,-17.8,4.8,2,Mon,NULL,1,-33.8486377
Consumption,1,9,7,153408.2915,1,-13.9,0.92,5,-12.8,4.8,2,Mon,NULL,1,-22.8831121
Consumption,1,9,8,157507.7227,1,-12.2,0.92,5,-11.1,3.6,2,Mon,NULL,1,-12.21842901
Consumption,1,9,9,142494.6636,1,-12.2,0.88,5,-10.6,3.2,2,Mon,NULL,1,-2.144869325
Consumption,1,9,10,128347.204,1,-12.2,0.84,5,-10,1.6,2,Mon,NULL,1,7.003177257
Consumption,1,9,11,118368.6135,0.8,-12.8,0.8,5,-10,3.2,2,Mon,NULL,1,14.80690724
Consumption,1,9,12,117257.6031,0.9,-12.8,0.77,5,-9.4,3.2,2,Mon,NULL,1,20.75590348
Consumption,1,9,13,115190.6527,0.9,-13.3,0.74,5,-9.4,8,2,Mon,NULL,1,24.30977946
Consumption,1,9,14,111750.9248,0.7,-15,0.62,5,-8.9,12.9,2,Mon,NULL,1,25.05633476
Consumption,1,9,15,107780.3125,0.8,-14.4,0.7,5,-10,16.1,2,Mon,NULL,1,22.8984674
Consumption,1,9,16,110334.7941,0.6,-13.9,0.74,5,-10,9.7,2,Mon,NULL,1,18.10651893
Consumption,1,9,17,128773.4986,0.6,-14.4,0.73,5,-10.6,11.3,2,Mon,NULL,1,11.18046191
Consumption,1,9,18,158977.5831,0.4,-15,0.73,5,-11.1,16.1,2,Mon,NULL,1,2.659908475
Consumption,1,9,19,161433.6047,0.6,-15,0.8,5,-12.2,16.1,2,Mon,NULL,1,-6.987027633
Consumption,1,9,20,160546.5231,0,-18.3,0.91,4,-17.2,16.1,2,Mon,NULL,1,-17.38598764
Consumption,1,9,21,157078.7585,0,-20.6,0.83,4,-18.3,16.1,2,Mon,NULL,1,-28.22987928
Consumption,1,9,22,139996.8661,0,-21.7,0.83,4,-19.4,16.1,2,Mon,NULL,1,-39.22617162
Consumption,1,9,23,96350.83805,0,-21.1,0.87,4,-19.4,16.1,2,Mon,NULL,1,-50.00185123
Consumption,1,9,24,87107.98029,0.2,-23.9,0.82,3,-21.7,16.1,2,Mon,NULL,1,-59.87633714
Consumption,1,10,1,76268.48857,0.4,-23.3,0.82,3,-21.1,16.1,3,Tue,NULL,1,-67.26140334
Consumption,1,10,2,74814.24307,0.6,-24.4,0.82,3,-22.2,16.1,3,Tue,NULL,1,-69.09175066
Consumption,1,10,3,76238.54405,0.3,-25,0.86,3,-23.3,16.1,3,Tue,NULL,1,-64.12555588
Consumption,1,10,4,77146.32309,0,-25.6,0.82,3,-23.3,16.1,3,Tue,NULL,1,-55.2262682
Consumption,1,10,5,84672.64563,0.9,-25.6,0.86,3,-23.9,16.1,3,Tue,NULL,1,-44.78558047
Consumption,1,10,6,98583.66474,0.9,-25,0.86,3,-23.3,16.1,3,Tue,NULL,1,-33.83790619
Consumption,1,10,7,153340.6567,0.3,-25.6,0.82,3,-23.3,16.1,3,Tue,NULL,1,-22.86907254
Consumption,1,10,8,157093.4297,0.2,-21.1,0.87,4,-19.4,11.3,3,Tue,NULL,1,-12.19568808
Consumption,1,10,9,143333.0554,1,-20,0.83,4,-17.8,12.9,3,Tue,NULL,1,-2.108684121
Consumption,1,10,10,128274.8493,0.9,-16.7,0.87,4,-15,12.9,3,Tue,NULL,1,7.057374727
Consumption,1,10,11,115349.18,0.1,-14.4,0.88,5,-12.8,16.1,3,Tue,NULL,1,14.88337612
Consumption,1,10,12,112820.2978,0,-15,0.7,5,-10.6,16.1,3,Tue,NULL,1,20.85771244
Consumption,1,10,13,110303.0115,0,-15.6,0.64,5,-10,16.1,3,Tue,NULL,1,24.4372408
Consumption,1,10,14,107067.8193,0,-15.6,0.62,5,-9.4,16.1,3,Tue,NULL,1,25.20576809
Consumption,1,10,15,102443.6458,0,-15.6,0.62,5,-9.4,16.1,3,Tue,NULL,1,23.06294573
Consumption,1,10,16,104116.5896,0,-16.1,0.59,5,-9.4,16.1,3,Tue,NULL,1,18.27853565
Consumption,1,10,17,123412.4879,0,-17.2,0.56,4,-10,16.1,3,Tue,NULL,1,11.35427081
Consumption,1,10,18,155033.5901,0,-18.3,0.61,4,-12.2,16.1,3,Tue,NULL,1,2.832185205
Consumption,1,10,19,158371.1353,0,-18.9,0.66,4,-13.9,16.1,3,Tue,NULL,1,-6.817617586
Consumption,1,10,20,156490.1628,0,-18.3,0.73,4,-14.4,16.1,3,Tue,NULL,1,-17.21939667
Consumption,1,10,21,152525.8289,0,-19.4,0.66,4,-14.4,16.1,3,Tue,NULL,1,-28.06505518
