Location,Day,Month,Year,Hour,Wind_Speed,Electricity_KW_HR
Wind Farm,02,4,2011,19,5.9,5636
Wind Farm,02,4,2011,20,4.8,1164
Wind Farm,02,4,2011,21,4.0,0
Wind Farm,02,4,2011,22,4.8,0
Wind Farm,02,4,2011,23,3.7,0
Wind Farm,02,4,2011,24,3.9,0
Wind Farm,03,4,2011,1,4.0,0
Wind Farm,03,4,2011,2,3.9,0
Wind Farm,03,4,2011,3,3.1,0
Wind Farm,03,4,2011,4,2.1,0
Wind Farm,03,4,2011,5,0.8,0
Wind Farm,03,4,2011,6,2.3,0
Wind Farm,03,4,2011,7,3.4,0
Wind Farm,03,4,2011,8,3.1,0
Wind Farm,03,4,2011,9,3.3,0
Wind Farm,03,4,2011,10,2.5,0
Wind Farm,03,4,2011,11,3.1,0
Wind Farm,03,4,2011,12,2.5,0
Wind Farm,03,4,2011,13,2.0,0
Wind Farm,03,4,2011,14,1.8,0
Wind Farm,03,4,2011,15,3.5,1764
Wind Farm,03,4,2011,16,2.5,416
Wind Farm,03,4,2011,17,3.4,1552
Wind Farm,03,4,2011,18,3.9,2448
Wind Farm,03,4,2011,19,3.0,964
Wind Farm,03,4,2011,20,3.4,1504
Wind Farm,03,4,2011,21,2.9,1068
Wind Farm,03,4,2011,22,2.3,464
Wind Farm,03,4,2011,23,1.6,8
Wind Farm,03,4,2011,24,3.8,2964
Wind Farm,04,4,2011,1,4.7,5324
Wind Farm,04,4,2011,2,5.0,6152
Wind Farm,04,4,2011,3,4.7,4968
Wind Farm,04,4,2011,4,5.3,7352
Wind Farm,04,4,2011,5,5.8,9816
Wind Farm,04,4,2011,6,5.6,8384
Wind Farm,04,4,2011,7,4.2,3664
Wind Farm,04,4,2011,8,4.7,5304
Wind Farm,04,4,2011,9,5.6,8712
Wind Farm,04,4,2011,10,4.5,3740
Wind Farm,04,4,2011,11,6.8,0
Wind Farm,04,4,2011,12,7.6,0
Wind Farm,04,4,2011,13,6.2,0
Wind Farm,04,4,2011,14,6.0,0
Wind Farm,04,4,2011,15,8.1,0
Wind Farm,04,4,2011,16,8.1,0
Wind Farm,04,4,2011,17,8.3,2648
Wind Farm,04,4,2011,18,7.5,20540
Wind Farm,04,4,2011,19,6.9,15980
Wind Farm,04,4,2011,20,6.9,15604
Wind Farm,04,4,2011,21,6.1,12132
Wind Farm,04,4,2011,22,4.8,5808
Wind Farm,04,4,2011,23,5.3,8152
Wind Farm,04,4,2011,24,6.4,13500
Wind Farm,05,4,2011,1,5.2,7016
Wind Farm,05,4,2011,2,6.0,10588
Wind Farm,05,4,2011,3,6.7,15852
Wind Farm,05,4,2011,4,7.1,18580
Wind Farm,05,4,2011,5,7.3,20612
Wind Farm,05,4,2011,6,7.2,18272
Wind Farm,05,4,2011,7,7.9,25796
Wind Farm,05,4,2011,8,7.9,25896
Wind Farm,05,4,2011,9,8.3,29436
Wind Farm,05,4,2011,10,8.1,4948
Wind Farm,05,4,2011,11,10.1,0
Wind Farm,05,4,2011,12,9.7,0
Wind Farm,05,4,2011,13,11.1,0
Wind Farm,05,4,2011,14,10.6,0
Wind Farm,05,4,2011,15,9.9,0
Wind Farm,05,4,2011,16,9.4,0
Wind Farm,05,4,2011,17,9.0,23088
Wind Farm,05,4,2011,18,7.1,17772
Wind Farm,05,4,2011,19,6.8,16476
Wind Farm,05,4,2011,20,7.3,19884
Wind Farm,05,4,2011,21,6.7,17100
Wind Farm,05,4,2011,22,4.5,4936
Wind Farm,05,4,2011,23,5.4,8868
Wind Farm,05,4,2011,24,6.9,17100
Wind Farm,06,4,2011,1,7.1,19072
Wind Farm,06,4,2011,2,7.8,25868
Wind Farm,06,4,2011,3,7.3,19896
Wind Farm,06,4,2011,4,7.3,18976
Wind Farm,06,4,2011,5,7.1,17480
Wind Farm,06,4,2011,6,7.4,20676
Wind Farm,06,4,2011,7,7.7,24008
Wind Farm,06,4,2011,8,6.9,18036
Wind Farm,06,4,2011,9,6.1,12380
Wind Farm,06,4,2011,10,5.8,10164
Wind Farm,06,4,2011,11,2.6,2076
Wind Farm,06,4,2011,12,0.0,0
Wind Farm,06,4,2011,13,0.0,0
Wind Farm,06,4,2011,14,2.3,0
Wind Farm,06,4,2011,15,1.5,216
Wind Farm,06,4,2011,16,0.0,0
Wind Farm,06,4,2011,17,1.2,0
Wind Farm,06,4,2011,18,3.6,340
Wind Farm,06,4,2011,19,4.0,2480
Wind Farm,06,4,2011,20,4.0,2836
Wind Farm,06,4,2011,21,4.3,3556
Wind Farm,06,4,2011,22,5.4,7996
Wind Farm,06,4,2011,23,6.6,12336
Wind Farm,06,4,2011,24,7.6,21756
Wind Farm,07,4,2011,1,7.7,23824
Wind Farm,07,4,2011,2,7.2,19708
Wind Farm,07,4,2011,3,8.4,30184
Wind Farm,07,4,2011,4,7.7,24460
Wind Farm,07,4,2011,5,8.0,27128
Wind Farm,07,4,2011,6,7.8,25328
Wind Farm,07,4,2011,7,7.1,19304
Wind Farm,07,4,2011,8,6.7,15376
Wind Farm,07,4,2011,9,5.1,6988
Wind Farm,07,4,2011,10,3.8,1836
Wind Farm,07,4,2011,11,3.9,0
Wind Farm,07,4,2011,12,4.6,0
Wind Farm,07,4,2011,13,4.3,1552
Wind Farm,07,4,2011,14,5.0,5692
Wind Farm,07,4,2011,15,4.9,5288
Wind Farm,07,4,2011,16,5.2,6088
Wind Farm,07,4,2011,17,5.3,6832
Wind Farm,07,4,2011,18,5.6,7368
Wind Farm,07,4,2011,19,5.6,7872
Wind Farm,07,4,2011,20,6.0,10708
Wind Farm,07,4,2011,21,6.6,14272
Wind Farm,07,4,2011,22,3.3,1900
Wind Farm,07,4,2011,23,2.4,504
Wind Farm,07,4,2011,24,2.1,156
Wind Farm,08,4,2011,1,1.6,52
Wind Farm,08,4,2011,2,1.7,64
Wind Farm,08,4,2011,3,0.6,0
Wind Farm,08,4,2011,4,1.3,0
Wind Farm,08,4,2011,5,1.8,4
Wind Farm,08,4,2011,6,1.2,0
Wind Farm,08,4,2011,7,1.4,0
Wind Farm,08,4,2011,8,1.7,12
Wind Farm,08,4,2011,9,2.4,452
Wind Farm,08,4,2011,10,2.4,400
Wind Farm,08,4,2011,11,2.3,220
Wind Farm,08,4,2011,12,3.0,872
Wind Farm,08,4,2011,13,3.5,1592
Wind Farm,08,4,2011,14,3.5,1612
Wind Farm,08,4,2011,15,4.3,3244
Wind Farm,08,4,2011,16,4.3,3048
Wind Farm,08,4,2011,17,4.1,2596
Wind Farm,08,4,2011,18,3.7,1996
Wind Farm,08,4,2011,19,3.9,2308
Wind Farm,08,4,2011,20,5.0,4948
Wind Farm,08,4,2011,21,5.6,8644
Wind Farm,08,4,2011,22,5.5,8820
Wind Farm,08,4,2011,23,5.8,10148
Wind Farm,08,4,2011,24,4.5,5556
Wind Farm,09,4,2011,1,4.1,3636
Wind Farm,09,4,2011,2,4.5,4600
Wind Farm,09,4,2011,3,4.0,3080
Wind Farm,09,4,2011,4,4.1,3228
Wind Farm,09,4,2011,5,2.9,1216
Wind Farm,09,4,2011,6,2.2,268
Wind Farm,09,4,2011,7,2.5,508
Wind Farm,09,4,2011,8,3.9,2752
Wind Farm,09,4,2011,9,5.0,6240
Wind Farm,09,4,2011,10,4.8,5184
Wind Farm,09,4,2011,11,4.9,5368
Wind Farm,09,4,2011,12,5.3,6520
Wind Farm,09,4,2011,13,5.4,7112
Wind Farm,09,4,2011,14,4.4,3496
Wind Farm,09,4,2011,15,4.7,5044
Wind Farm,09,4,2011,16,5.4,6804
Wind Farm,09,4,2011,17,5.4,7124
Wind Farm,09,4,2011,18,5.8,8688
Wind Farm,09,4,2011,19,5.4,7624
Wind Farm,09,4,2011,20,5.5,7820
Wind Farm,09,4,2011,21,6.3,11840
Wind Farm,09,4,2011,22,5.9,10500
Wind Farm,09,4,2011,23,6.5,13548
Wind Farm,09,4,2011,24,8.1,27700
Wind Farm,10,4,2011,1,8.4,30252
Wind Farm,10,4,2011,2,7.6,24196
Wind Farm,10,4,2011,3,8.1,28088
Wind Farm,10,4,2011,4,8.0,26448
Wind Farm,10,4,2011,5,6.0,11996
Wind Farm,10,4,2011,6,5.5,8732
Wind Farm,10,4,2011,7,6.1,10652
Wind Farm,10,4,2011,8,6.3,12164
Wind Farm,10,4,2011,9,5.3,7200
Wind Farm,10,4,2011,10,3.5,2104
Wind Farm,10,4,2011,11,3.8,2468
Wind Farm,10,4,2011,12,4.3,3536
Wind Farm,10,4,2011,13,4.7,4980
Wind Farm,10,4,2011,14,4.6,4304
Wind Farm,10,4,2011,15,4.0,2460
Wind Farm,10,4,2011,16,4.3,3376
Wind Farm,10,4,2011,17,4.2,3076
Wind Farm,10,4,2011,18,4.5,4024
Wind Farm,10,4,2011,19,4.7,4812
Wind Farm,10,4,2011,20,4.7,4964
Wind Farm,10,4,2011,21,5.4,6924
Wind Farm,10,4,2011,22,5.2,6536
Wind Farm,10,4,2011,23,6.0,11024
Wind Farm,10,4,2011,24,6.3,12108
Wind Farm,11,4,2011,1,7.4,19288
Wind Farm,11,4,2011,2,5.6,8064
Wind Farm,11,4,2011,3,3.7,2704
Wind Farm,11,4,2011,4,3.1,1440
Wind Farm,11,4,2011,5,4.3,4456
Wind Farm,11,4,2011,6,5.0,6792
Wind Farm,11,4,2011,7,4.2,3796
Wind Farm,11,4,2011,8,4.8,5324
Wind Farm,11,4,2011,9,5.1,6108
Wind Farm,11,4,2011,10,4.2,3860
Wind Farm,11,4,2011,11,2.7,644
Wind Farm,11,4,2011,12,2.7,544
Wind Farm,11,4,2011,13,2.6,472
Wind Farm,11,4,2011,14,3.3,1208
Wind Farm,11,4,2011,15,4.9,4864
Wind Farm,11,4,2011,16,5.2,6200
Wind Farm,11,4,2011,17,4.7,4104
Wind Farm,11,4,2011,18,6.1,10160
Wind Farm,11,4,2011,19,7.6,20148
Wind Farm,11,4,2011,20,7.2,17716
Wind Farm,11,4,2011,21,6.8,14756
Wind Farm,11,4,2011,22,7.8,23176
Wind Farm,11,4,2011,23,7.8,22476
Wind Farm,11,4,2011,24,7.4,18640
Wind Farm,12,4,2011,1,11.1,43152
Wind Farm,12,4,2011,2,6.3,12912
Wind Farm,12,4,2011,3,4.6,4768
Wind Farm,12,4,2011,4,5.8,10072
Wind Farm,12,4,2011,5,6.9,17424
Wind Farm,12,4,2011,6,7.0,17928
Wind Farm,12,4,2011,7,7.3,20232
Wind Farm,12,4,2011,8,7.5,21864
Wind Farm,12,4,2011,9,6.6,14460
Wind Farm,12,4,2011,10,6.4,13232
Wind Farm,12,4,2011,11,6.8,15560
Wind Farm,12,4,2011,12,7.2,19924
Wind Farm,12,4,2011,13,8.0,25044
Wind Farm,12,4,2011,14,7.6,21188
Wind Farm,12,4,2011,15,8.2,26468
Wind Farm,12,4,2011,16,9.2,35604
Wind Farm,12,4,2011,17,8.3,26984
Wind Farm,12,4,2011,18,8.0,22100
Wind Farm,12,4,2011,19,7.6,21952
Wind Farm,12,4,2011,20,7.4,20772
Wind Farm,12,4,2011,21,5.5,8540
Wind Farm,12,4,2011,22,4.6,4936
Wind Farm,12,4,2011,23,3.6,2348
Wind Farm,12,4,2011,24,2.9,1144
Wind Farm,13,4,2011,1,3.0,1028
Wind Farm,13,4,2011,2,4.4,5436
Wind Farm,13,4,2011,3,5.9,10224
Wind Farm,13,4,2011,4,4.8,5840
Wind Farm,13,4,2011,5,5.1,6644
Wind Farm,13,4,2011,6,4.7,5268
Wind Farm,13,4,2011,7,4.6,5044
Wind Farm,13,4,2011,8,4.6,5108
Wind Farm,13,4,2011,9,3.6,2532
Wind Farm,13,4,2011,10,3.0,1032
Wind Farm,13,4,2011,11,3.1,1204
Wind Farm,13,4,2011,12,3.8,2300
Wind Farm,13,4,2011,13,5.4,7560
Wind Farm,13,4,2011,14,5.7,8316
Wind Farm,13,4,2011,15,5.2,6596
Wind Farm,13,4,2011,16,4.5,3972
Wind Farm,13,4,2011,17,3.6,2104
Wind Farm,13,4,2011,18,3.2,1292
Wind Farm,13,4,2011,19,4.2,3684
Wind Farm,13,4,2011,20,3.0,992
Wind Farm,13,4,2011,21,1.3,0
Wind Farm,13,4,2011,22,2.4,196
Wind Farm,13,4,2011,23,1.4,0
Wind Farm,13,4,2011,24,1.1,0
Wind Farm,14,4,2011,1,1.4,0
Wind Farm,14,4,2011,2,2.0,108
Wind Farm,14,4,2011,3,3.1,1292
Wind Farm,14,4,2011,4,2.6,620
Wind Farm,14,4,2011,5,1.9,44
Wind Farm,14,4,2011,6,1.9,24
Wind Farm,14,4,2011,7,2.1,168
Wind Farm,14,4,2011,8,2.4,508
Wind Farm,14,4,2011,9,2.9,1104
Wind Farm,14,4,2011,10,2.3,404
Wind Farm,14,4,2011,11,1.5,0
Wind Farm,14,4,2011,12,1.6,0
Wind Farm,14,4,2011,13,0.9,0
Wind Farm,14,4,2011,14,1.2,0
Wind Farm,14,4,2011,15,1.1,0
Wind Farm,14,4,2011,16,1.4,0
Wind Farm,14,4,2011,17,1.3,0
Wind Farm,14,4,2011,18,2.6,436
Wind Farm,14,4,2011,19,3.0,968
Wind Farm,14,4,2011,20,2.8,800
Wind Farm,14,4,2011,21,2.8,844
Wind Farm,14,4,2011,22,2.5,492
Wind Farm,14,4,2011,23,2.8,860
Wind Farm,14,4,2011,24,3.0,1108
Wind Farm,15,4,2011,1,3.5,2472
Wind Farm,15,4,2011,2,4.3,4128
Wind Farm,15,4,2011,3,3.7,2336
Wind Farm,15,4,2011,4,3.0,1028
Wind Farm,15,4,2011,5,3.2,1436
Wind Farm,15,4,2011,6,4.1,3192
Wind Farm,15,4,2011,7,3.9,2640
Wind Farm,15,4,2011,8,4.1,3232
Wind Farm,15,4,2011,9,3.0,1232
Wind Farm,15,4,2011,10,2.2,212
Wind Farm,15,4,2011,11,2.8,724
Wind Farm,15,4,2011,12,3.7,1848
Wind Farm,15,4,2011,13,4.1,3024
Wind Farm,15,4,2011,14,3.8,2200
Wind Farm,15,4,2011,15,3.4,1544
Wind Farm,15,4,2011,16,3.9,2668
Wind Farm,15,4,2011,17,3.2,1472
Wind Farm,15,4,2011,18,3.1,1056
Wind Farm,15,4,2011,19,3.1,1216
Wind Farm,15,4,2011,20,3.3,1468
Wind Farm,15,4,2011,21,3.3,1548
Wind Farm,15,4,2011,22,4.1,3220
Wind Farm,15,4,2011,23,5.1,6636
Wind Farm,15,4,2011,24,5.2,7304
Wind Farm,16,4,2011,1,5.3,7628
Wind Farm,16,4,2011,2,5.1,6792
Wind Farm,16,4,2011,3,3.5,2288
Wind Farm,16,4,2011,4,3.7,2752
Wind Farm,16,4,2011,5,4.1,3612
Wind Farm,16,4,2011,6,3.3,1828
Wind Farm,16,4,2011,7,3.8,2900
Wind Farm,16,4,2011,8,4.2,3840
Wind Farm,16,4,2011,9,4.8,5540
Wind Farm,16,4,2011,10,3.0,1108
Wind Farm,16,4,2011,11,2.6,464
Wind Farm,16,4,2011,12,3.0,804
Wind Farm,16,4,2011,13,2.6,428
Wind Farm,16,4,2011,14,2.2,232
Wind Farm,16,4,2011,15,1.3,0
Wind Farm,16,4,2011,16,1.3,0
Wind Farm,16,4,2011,17,1.6,0
Wind Farm,16,4,2011,18,1.7,0
Wind Farm,16,4,2011,19,1.2,0
Wind Farm,16,4,2011,20,1.1,0
Wind Farm,16,4,2011,21,0.8,0
Wind Farm,16,4,2011,22,1.6,0
Wind Farm,16,4,2011,23,1.7,0
Wind Farm,16,4,2011,24,2.9,0
Wind Farm,17,4,2011,1,3.9,0
Wind Farm,17,4,2011,2,3.0,0
Wind Farm,17,4,2011,3,3.0,0
Wind Farm,17,4,2011,4,2.9,0
Wind Farm,17,4,2011,5,3.4,0
Wind Farm,17,4,2011,6,2.3,0
Wind Farm,17,4,2011,7,1.4,0
Wind Farm,17,4,2011,8,1.3,0
Wind Farm,17,4,2011,9,1.3,0
Wind Farm,17,4,2011,10,1.2,0
Wind Farm,17,4,2011,11,1.1,0
Wind Farm,17,4,2011,12,1.6,0
Wind Farm,17,4,2011,13,2.8,652
Wind Farm,17,4,2011,14,1.9,608
Wind Farm,17,4,2011,15,1.3,0
Wind Farm,17,4,2011,16,2.4,0
Wind Farm,17,4,2011,17,5.2,0
Wind Farm,17,4,2011,18,5.6,8080
Wind Farm,17,4,2011,19,5.7,9000
Wind Farm,17,4,2011,20,5.3,7176
Wind Farm,17,4,2011,21,5.5,8596
Wind Farm,17,4,2011,22,5.5,8728
Wind Farm,17,4,2011,23,5.5,8736
Wind Farm,17,4,2011,24,5.6,9116
Wind Farm,18,4,2011,1,4.2,3736
Wind Farm,18,4,2011,2,4.2,3280
Wind Farm,18,4,2011,3,5.1,6856
Wind Farm,18,4,2011,4,5.5,7500
Wind Farm,18,4,2011,5,5.7,9188
Wind Farm,18,4,2011,6,5.8,10048
Wind Farm,18,4,2011,7,5.7,9168
Wind Farm,18,4,2011,8,5.6,8548
Wind Farm,18,4,2011,9,5.1,6888
Wind Farm,18,4,2011,10,3.7,2316
Wind Farm,18,4,2011,11,4.6,3964
Wind Farm,18,4,2011,12,3.9,1864
Wind Farm,18,4,2011,13,4.5,3780
Wind Farm,18,4,2011,14,5.3,7016
Wind Farm,18,4,2011,15,5.2,6292
Wind Farm,18,4,2011,16,4.1,2720
Wind Farm,18,4,2011,17,3.5,1796
Wind Farm,18,4,2011,18,3.7,1960
Wind Farm,18,4,2011,19,3.7,1904
Wind Farm,18,4,2011,20,4.1,2728
Wind Farm,18,4,2011,21,2.2,180
Wind Farm,18,4,2011,22,0.4,0
Wind Farm,18,4,2011,23,1.1,0
Wind Farm,18,4,2011,24,2.6,564
Wind Farm,19,4,2011,1,3.5,2000
Wind Farm,19,4,2011,2,5.9,9120
Wind Farm,19,4,2011,3,7.1,18460
Wind Farm,19,4,2011,4,6.8,16660
Wind Farm,19,4,2011,5,6.4,13536
Wind Farm,19,4,2011,6,6.7,15096
Wind Farm,19,4,2011,7,7.3,19908
Wind Farm,19,4,2011,8,6.9,17260
