City,Year,Month,Day,Hour,Solar_Elevation
Power City,Consumption,1,7,21,-28.55066768
Power City,Consumption,1,7,22,-39.54728869
Power City,Consumption,1,7,23,-50.32794601
Power City,Consumption,1,7,24,-60.21087653
Power City,Consumption,1,8,1,-67.58848554
Power City,Consumption,1,8,2,-69.33779461
Power City,Consumption,1,8,3,-64.25174969
Power City,Consumption,1,8,4,-55.28015417
Power City,Consumption,1,8,5,-44.80855052
Power City,Consumption,1,8,6,-33.85322237
Power City,Consumption,1,8,7,-22.89104474
Power City,Consumption,1,8,8,-12.23495017
Power City,Consumption,1,8,9,-2.174616919
Power City,Consumption,1,8,10,6.9556985558
Power City,Consumption,1,8,11,14.737447232
Power City,Consumption,1,8,12,20.661318235
Power City,Consumption,1,8,13,24.189566568
Power City,Consumption,1,8,14,24.913882875
Power City,Consumption,1,8,15,22.74040325
Power City,Consumption,1,8,16,17.940158289
Power City,Consumption,1,8,17,11.011512738
Power City,Consumption,1,8,18,2.4917719168
Power City,Consumption,1,8,19,-7.152879518
Power City,Consumption,1,8,20,-17.54943562
Power City,Consumption,1,8,21,-28.39178313
Power City,Consumption,1,8,22,-39.38824599
Power City,Consumption,1,8,23,-50.16659272
Power City,Consumption,1,8,24,-60.04575745
Power City,Consumption,1,9,1,-67.42797527
Power City,Consumption,1,9,2,-69.21875773
Power City,Consumption,1,9,3,-64.19260073
Power City,Consumption,1,9,4,-55.25671492
Power City,Consumption,1,9,5,-44.80027179
Power City,Consumption,1,9,6,-33.8486377
Power City,Consumption,1,9,7,-22.8831121
Power City,Consumption,1,9,8,-12.21842901
Power City,Consumption,1,9,9,-2.144869325
Power City,Consumption,1,9,10,7.003177257
Power City,Consumption,1,9,11,14.806907239
Power City,Consumption,1,9,12,20.755903476
Power City,Consumption,1,9,13,24.309779456
Power City,Consumption,1,9,14,25.05633476
Power City,Consumption,1,9,15,22.898467403
Power City,Consumption,1,9,16,18.106518928
Power City,Consumption,1,9,17,11.180461907
Power City,Consumption,1,9,18,2.6599084745
Power City,Consumption,1,9,19,-6.987027633
Power City,Consumption,1,9,20,-17.38598764
Power City,Consumption,1,9,21,-28.22987928
Power City,Consumption,1,9,22,-39.22617162
Power City,Consumption,1,9,23,-50.00185123
Power City,Consumption,1,9,24,-59.87633714
Power City,Consumption,1,10,1,-67.26140334
Power City,Consumption,1,10,2,-69.09175066
Power City,Consumption,1,10,3,-64.12555588
Power City,Consumption,1,10,4,-55.2262682
Power City,Consumption,1,10,5,-44.78558047
Power City,Consumption,1,10,6,-33.83790619
Power City,Consumption,1,10,7,-22.86907254
Power City,Consumption,1,10,8,-12.19568808
Power City,Consumption,1,10,9,-2.108684121
Power City,Consumption,1,10,10,7.057374727
Power City,Consumption,1,10,11,14.883376118
Power City,Consumption,1,10,12,20.857712436
Power City,Consumption,1,10,13,24.437240802
Power City,Consumption,1,10,14,25.205768092
Power City,Consumption,1,10,15,23.062945732
Power City,Consumption,1,10,16,18.278535653
Power City,Consumption,1,10,17,11.354270812
Power City,Consumption,1,10,18,2.832185205
Power City,Consumption,1,10,19,-6.817617586
Power City,Consumption,1,10,20,-17.21939667
Power City,Consumption,1,10,21,-28.06505518
Power City,Consumption,1,10,22,-39.06115966
Power City,Consumption,1,10,23,-49.8338126
Power City,Consumption,1,10,24,-59.70271148
Power City,Consumption,1,11,1,-67.08888319
Power City,Consumption,1,11,2,-68.95684966
Power City,Consumption,1,11,3,-64.05058931
Power City,Consumption,1,11,4,-55.18874959
Power City,Consumption,1,11,5,-44.76441038
Power City,Consumption,1,11,6,-33.82097066
Power City,Consumption,1,11,7,-22.84888137
Power City,Consumption,1,11,8,-12.16669683
Power City,Consumption,1,11,9,-2.066046076
Power City,Consumption,1,11,10,7.1182900756
Power City,Consumption,1,11,11,14.96683655
Power City,Consumption,1,11,12,20.966711594
Power City,Consumption,1,11,13,24.571901174
Power City,Consumption,1,11,14,25.362117381
Power City,Consumption,1,11,15,23.233756981
Power City,Consumption,1,11,16,18.456113911
Power City,Consumption,1,11,17,11.532836175
Power City,Consumption,1,11,18,3.00849511
Power City,Consumption,1,11,19,-6.644755946
Power City,Consumption,1,11,20,-17.04976595
Power City,Consumption,1,11,21,-27.89740895
Power City,Consumption,1,11,22,-38.89330269
Power City,Consumption,1,11,23,-49.66256586
Power City,Consumption,1,11,24,-59.52497418
Power City,Consumption,1,12,1,-66.9105276
Power City,Consumption,1,12,2,-68.81413669
Power City,Consumption,1,12,3,-63.96768264
Power City,Consumption,1,12,4,-55.14410004
Power City,Consumption,1,12,5,-44.73669963
Power City,Consumption,1,12,6,-33.79777779
Power City,Consumption,1,12,7,-22.82249765
Power City,Consumption,1,12,8,-12.13142848
Power City,Consumption,1,12,9,-2.016943698
Power City,Consumption,1,12,10,7.1859187501
Power City,Consumption,1,12,11,15.057267711
Power City,Consumption,1,12,12,21.082864169
Power City,Consumption,1,12,13,24.713708166
Power City,Consumption,1,12,14,25.52531442
Power City,Consumption,1,12,15,23.410817444
Power City,Consumption,1,12,16,18.639157065
Power City,Consumption,1,12,17,11.716053155
Power City,Consumption,1,12,18,3.1887302625
Power City,Consumption,1,12,19,-6.468549538
Power City,Consumption,1,12,20,-16.87719827
Power City,Consumption,1,12,21,-27.72703767
Power City,Consumption,1,12,22,-38.72269169
Power City,Consumption,1,12,23,-49.48819798
Power City,Consumption,1,12,24,-59.34321674
Power City,Consumption,1,13,1,-66.72644855
Power City,Consumption,1,13,2,-68.66369906
Power City,Consumption,1,13,3,-63.87682503
Power City,Consumption,1,13,4,-55.09226613
Power City,Consumption,1,13,5,-44.70239079
Power City,Consumption,1,13,6,-33.76827833
Power City,Consumption,1,13,7,-22.78988434
Power City,Consumption,1,13,8,-12.08986006
Power City,Consumption,1,13,9,-1.961369265
Power City,Consumption,1,13,10,7.2602525301
Power City,Consumption,1,13,11,15.154645295
Power City,Consumption,1,13,12,21.206130159
Power City,Consumption,1,13,13,24.862606449
Power City,Consumption,1,13,14,25.695288359
Power City,Consumption,1,13,15,23.59404105
Power City,Consumption,1,13,16,18.827566493
Power City,Consumption,1,13,17,11.903815456
Power City,Consumption,1,13,18,3.3727819205
Power City,Consumption,1,13,19,-6.289105331
Power City,Consumption,1,13,20,-16.70179595
Power City,Consumption,1,13,21,-27.55403731
Power City,Consumption,1,13,22,-38.54941595
Power City,Consumption,1,13,23,-49.31079381
Power City,Consumption,1,13,24,-59.15752838
Power City,Consumption,1,14,1,-66.53675702
Power City,Consumption,1,14,2,-68.50562908
Power City,Consumption,1,14,3,-63.77801324
Power City,Consumption,1,14,4,-55.0332002
Power City,Consumption,1,14,5,-44.66143108
Power City,Consumption,1,14,6,-33.73242716
Power City,Consumption,1,14,7,-22.75100837
Power City,Consumption,1,14,8,-12.04197249
Power City,Consumption,1,14,9,-1.899318853
Power City,Consumption,1,14,10,7.3412795263
Power City,Consumption,1,14,11,15.258941533
Power City,Consumption,1,14,12,21.33646638
Power City,Consumption,1,14,13,25.01853783
Power City,Consumption,1,14,14,25.871965774
Power City,Consumption,1,14,15,23.783339441
Power City,Consumption,1,14,16,19.021241682
Power City,Consumption,1,14,17,12.096015436
Power City,Consumption,1,14,18,3.5605406412
Power City,Consumption,1,14,19,-6.106530324
Power City,Consumption,1,14,20,-16.52366068
Power City,Consumption,1,14,21,-27.37850264
Power City,Consumption,1,14,22,-38.37356306
Power City,Consumption,1,14,23,-49.13043607
Power City,Consumption,1,14,24,-58.96799606
Power City,Consumption,1,15,1,-66.34156285
Power City,Consumption,1,15,2,-68.3400237
Power City,Consumption,1,15,3,-63.67125169
Power City,Consumption,1,15,4,-54.96686059
Power City,Consumption,1,15,5,-44.6137725
Power City,Consumption,1,15,6,-33.69018345
Power City,Consumption,1,15,7,-22.70584072
Power City,Consumption,1,15,8,-11.98775064
Power City,Consumption,1,15,9,-1.830792361
Power City,Consumption,1,15,10,7.4289841808
Power City,Consumption,1,15,11,15.370125211
Power City,Consumption,1,15,12,21.473826511
Power City,Consumption,1,15,13,25.181441305
Power City,Consumption,1,15,14,26.055270736
Power City,Consumption,1,15,15,23.978622058
Power City,Consumption,1,15,16,19.220080323
Power City,Consumption,1,15,17,12.292544217
Power City,Consumption,1,15,18,3.7518963953
Power City,Consumption,1,15,19,-5.920931434
Power City,Consumption,1,15,20,-16.34289343
Power City,Consumption,1,15,21,-27.20052713
Power City,Consumption,1,15,22,-38.19521879
Power City,Consumption,1,15,23,-48.94720526
Power City,Consumption,1,15,24,-58.77470442
Power City,Consumption,1,16,1,-66.14097466
Power City,Consumption,1,16,2,-68.16698417
Power City,Consumption,1,16,3,-63.55655244
Power City,Consumption,1,16,4,-54.8932118
Power City,Consumption,1,16,5,-44.55937203
Power City,Consumption,1,16,6,-33.64151077
Power City,Consumption,1,16,7,-22.65435649
Power City,Consumption,1,16,8,-11.92718333
Power City,Consumption,1,16,9,-1.755793529
Power City,Consumption,1,16,10,7.5233472702
Power City,Consumption,1,16,11,15.488161702
Power City,Consumption,1,16,12,21.61816113
Power City,Consumption,1,16,13,25.351253121
Power City,Consumption,1,16,14,26.245124883
Power City,Consumption,1,16,15,24.179796229
Power City,Consumption,1,16,16,19.423978411
Power City,Consumption,1,16,17,12.493291787
Power City,Consumption,1,16,18,3.9467386822
Power City,Consumption,1,16,19,-5.732415382
Power City,Consumption,1,16,20,-16.15959435
Power City,Consumption,1,16,21,-27.02020288
Power City,Consumption,1,16,22,-38.01446707
Power City,Consumption,1,16,23,-48.7611797
Power City,Consumption,1,16,24,-58.57773579
Power City,Consumption,1,17,1,-65.93509968
Power City,Consumption,1,17,2,-67.98661568
Power City,Consumption,1,17,3,-63.43393513
Power City,Consumption,1,17,4,-54.81222461
Power City,Consumption,1,17,5,-44.49819175
Power City,Consumption,1,17,6,-33.58637721
Power City,Consumption,1,17,7,-22.59653502
Power City,Consumption,1,17,8,-11.86026342
Power City,Consumption,1,17,9,-1.67432996
Power City,Consumption,1,17,10,7.6243459116
Power City,Consumption,1,17,11,15.613012983
Power City,Consumption,1,17,12,21.769417761
Power City,Consumption,1,17,13,25.527906837
Power City,Consumption,1,17,14,26.4414475
Power City,Consumption,1,17,15,24.386767248
Power City,Consumption,1,17,16,19.632830342
Power City,Consumption,1,17,17,12.698147119
Power City,Consumption,1,17,18,4.1449566441
Power City,Consumption,1,17,19,-5.541088584
Power City,Consumption,1,17,20,-15.9738627
Power City,Consumption,1,17,21,-26.83762054
Power City,Consumption,1,17,22,-37.83138993
Power City,Consumption,1,17,23,-48.57243546
Power City,Consumption,1,17,24,-58.37717022
Power City,Consumption,1,18,1,-65.72404373
Power City,Consumption,1,18,2,-67.799027
Power City,Consumption,1,18,3,-63.30342696
Power City,Consumption,1,18,4,-54.72387623
Power City,Consumption,1,18,5,-44.43019899
Power City,Consumption,1,18,6,-33.52475546
Power City,Consumption,1,18,7,-22.53235992
Power City,Consumption,1,18,8,-11.78698784
Power City,Consumption,1,18,9,-1.586413129
Power City,Consumption,1,18,10,7.731953571
Power City,Consumption,1,18,11,15.744637671
Power City,Consumption,1,18,12,21.927540923
Power City,Consumption,1,18,13,25.71133338
Power City,Consumption,1,18,14,26.644155585
Power City,Consumption,1,18,15,24.599438469
Power City,Consumption,1,18,16,19.846529019
Power City,Consumption,1,18,17,12.906998277
Power City,Consumption,1,18,18,4.3464391804
Power City,Consumption,1,18,19,-5.347057043
Power City,Consumption,1,18,20,-15.78579669
Power City,Consumption,1,18,21,-26.6528692
Power City,Consumption,1,18,22,-37.64606743
Power City,Consumption,1,18,23,-48.38104635
Power City,Consumption,1,18,24,-58.17308544
Power City,Consumption,1,19,1,-65.50791109
Power City,Consumption,1,19,2,-67.60433013
Power City,Consumption,1,19,3,-63.16506256
Power City,Consumption,1,19,4,-54.62815042
Power City,Consumption,1,19,5,-44.35536641
Power City,Consumption,1,19,6,-33.45662291
Power City,Consumption,1,19,7,-22.46181913
Power City,Consumption,1,19,8,-11.70735761
Power City,Consumption,1,19,9,-1.492058397
Power City,Consumption,1,19,10,7.8461400745
Power City,Consumption,1,19,11,15.882991047
Power City,Consumption,1,19,12,22.092472169
Power City,Consumption,1,19,13,25.901461113
Power City,Consumption,1,19,14,26.853163931
Power City,Consumption,1,19,15,24.81771139
Power City,Consumption,1,19,16,20.064965942
Power City,Consumption,1,19,17,13.119732525
Power City,Consumption,1,19,18,4.5510750617
Power City,Consumption,1,19,19,-5.150426236
Power City,Consumption,1,19,20,-15.59549344
Power City,Consumption,1,19,21,-26.46603639
Power City,Consumption,1,19,22,-37.45857762
Power City,Consumption,1,19,23,-48.18708393
Power City,Consumption,1,19,24,-57.96555689
Power City,Consumption,1,20,1,-65.28680448
Power City,Consumption,1,20,2,-67.40263998
Power City,Consumption,1,20,3,-63.0188839
Power City,Consumption,1,20,4,-54.52503755
Power City,Consumption,1,20,5,-44.27367217
Power City,Consumption,1,20,6,-33.38196176
Power City,Consumption,1,20,7,-22.384905
Power City,Consumption,1,20,8,-11.6213779
Power City,Consumption,1,20,9,-1.391285016
Power City,Consumption,1,20,10,7.9668716222
Power City,Consumption,1,20,11,16.028025093
Power City,Consumption,1,20,12,22.264150142
Power City,Consumption,1,20,13,26.098215896
Power City,Consumption,1,20,14,27.068385197
Power City,Consumption,1,20,15,25.041485742
Power City,Consumption,1,20,16,20.288031317
Power City,Consumption,1,20,17,13.336236441
Power City,Consumption,1,20,18,4.7587530423
Power City,Consumption,1,20,19,-4.951301011
Power City,Consumption,1,20,20,-15.40304888
Power City,Consumption,1,20,21,-26.27720793
Power City,Consumption,1,20,22,-37.26899654
Power City,Consumption,1,20,23,-47.99061748
Power City,Consumption,1,20,24,-57.75465777
Power City,Consumption,1,21,1,-65.060825
Power City,Consumption,1,21,2,-67.19407402
Power City,Consumption,1,21,3,-62.8649401
Power City,Consumption,1,21,4,-54.41453466
Power City,Consumption,1,21,5,-44.18509996
Power City,Consumption,1,21,6,-33.30075906
Power City,Consumption,1,21,7,-22.30161434
Power City,Consumption,1,21,8,-11.52905802
Power City,Consumption,1,21,9,-1.284116132
Power City,Consumption,1,21,10,8.0941108045
Power City,Consumption,1,21,11,16.17968852
Power City,Consumption,1,21,12,22.44251062
Power City,Consumption,1,21,13,26.301521145
Power City,Consumption,1,21,14,27.289729988
Power City,Consumption,1,21,15,25.270659576
Power City,Consumption,1,21,16,20.515614154
Power City,Consumption,1,21,17,13.556396025
Power City,Consumption,1,21,18,4.9693619723
Power City,Consumption,1,21,19,-4.749785484
Power City,Consumption,1,21,20,-15.20855763
Power City,Consumption,1,21,21,-26.08646791
Power City,Consumption,1,21,22,-37.07739813
Power City,Consumption,1,21,23,-47.79171404
Power City,Consumption,1,21,24,-57.54045903
Power City,Consumption,1,22,1,-64.83007213
Power City,Consumption,1,22,2,-66.97875201
Power City,Consumption,1,22,3,-62.70328729
Power City,Consumption,1,22,4,-54.29664555
Power City,Consumption,1,22,5,-44.08963916
Power City,Consumption,1,22,6,-33.2130068
Power City,Consumption,1,22,7,-22.21194843
Power City,Consumption,1,22,8,-11.43041145
Power City,Consumption,1,22,9,-1.170578785
Power City,Consumption,1,22,10,8.2278166223
Power City,Consumption,1,22,11,16.337926811
Power City,Consumption,1,22,12,22.627486567
Power City,Consumption,1,22,13,26.511297906
Power City,Consumption,1,22,14,27.517106929
Power City,Consumption,1,22,15,25.505129351
Power City,Consumption,1,22,16,20.747602364
Power City,Consumption,1,22,17,13.780096806
Power City,Consumption,1,22,18,5.1827909073
Power City,Consumption,1,22,19,-4.545982932
Power City,Consumption,1,22,20,-15.01211295
Power City,Consumption,1,22,21,-25.89389862
Power City,Consumption,1,22,22,-36.8838542
Power City,Consumption,1,22,23,-47.59043834
Power City,Consumption,1,22,24,-57.32302946
Power City,Consumption,1,23,1,-64.59464364
Power City,Consumption,1,23,2,-66.75679563
Power City,Consumption,1,23,3,-62.53398839
Power City,Consumption,1,23,4,-54.17138073
Power City,Consumption,1,23,5,-43.98728482
Power City,Consumption,1,23,6,-33.11870198
Power City,Consumption,1,23,7,-22.11591311
Power City,Consumption,1,23,8,-11.32545589
Power City,Consumption,1,23,9,-1.050703902
Power City,Consumption,1,23,10,8.3679445087
Power City,Consumption,1,23,11,16.502682251
Power City,Consumption,1,23,12,22.819008184
Power City,Consumption,1,23,13,26.727464909
Power City,Consumption,1,23,14,27.750422746
Power City,Consumption,1,23,15,25.744790026
Power City,Consumption,1,23,16,20.983882862
Power City,Consumption,1,23,17,14.007223955
Power City,Consumption,1,23,18,5.3989292177
Power City,Consumption,1,23,19,-4.339995697
Power City,Consumption,1,23,20,-14.81380664
Power City,Consumption,1,23,21,-25.69958049
Power City,Consumption,1,23,22,-36.68843445
Power City,Consumption,1,23,23,-47.38685288
Power City,Consumption,1,23,24,-57.10243565
Power City,Consumption,1,24,1,-64.35463569
Power City,Consumption,1,24,2,-66.52832827
Power City,Consumption,1,24,3,-62.35711289
Power City,Consumption,1,24,4,-54.03875748
Power City,Consumption,1,24,5,-43.87803777
Power City,Consumption,1,24,6,-33.01784661
Power City,Consumption,1,24,7,-22.01351876
Power City,Consumption,1,24,8,-11.21421321
Power City,Consumption,1,24,9,-0.92452629
Power City,Consumption,1,24,10,8.5144463551
Power City,Consumption,1,24,11,16.67389397
Power City,Consumption,1,24,12,23.017002965
Power City,Consumption,1,24,13,26.949938643
Power City,Consumption,1,24,14,27.989582334
Power City,Consumption,1,24,15,25.989535139
Power City,Consumption,1,24,16,21.224341668
Power City,Consumption,1,24,17,14.237662389
Power City,Consumption,1,24,18,5.6176666952
Power City,Consumption,1,24,19,-4.131925091
Power City,Consumption,1,24,20,-14.61372897
Power City,Consumption,1,24,21,-25.50359202
Power City,Consumption,1,24,22,-36.49120641
Power City,Consumption,1,24,23,-47.18101793
Power City,Consumption,1,24,24,-56.87874213
Power City,Consumption,1,25,1,-64.11014275
Power City,Consumption,1,25,2,-66.29347472
Power City,Consumption,1,25,3,-62.17273663
Power City,Consumption,1,25,4,-53.89879979
Power City,Consumption,1,25,5,-43.76190465
Power City,Consumption,1,25,6,-32.91044779
Power City,Consumption,1,25,7,-21.90478034
Power City,Consumption,1,25,8,-11.09670949
Power City,Consumption,1,25,9,-0.79208462
Power City,Consumption,1,25,10,8.667270539
Power City,Consumption,1,25,11,16.851497986
Power City,Consumption,1,25,12,23.221395744
Power City,Consumption,1,25,13,27.178633413
Power City,Consumption,1,25,14,28.234488844
Power City,Consumption,1,25,15,26.239256905
Power City,Consumption,1,25,16,21.468864
Power City,Consumption,1,25,17,14.471296876
Power City,Consumption,1,25,18,5.8388936575
Power City,Consumption,1,25,19,-3.921871294
Power City,Consumption,1,25,20,-14.41196858
Power City,Consumption,1,25,21,-25.30600975
Power City,Consumption,1,25,22,-36.29223542
Power City,Consumption,1,25,23,-46.97299152
Power City,Consumption,1,25,24,-56.65201136
Power City,Consumption,1,26,1,-63.86125764
Power City,Consumption,1,26,2,-66.05236092
Power City,Consumption,1,26,3,-61.98094155
Power City,Consumption,1,26,4,-53.75153832
Power City,Consumption,1,26,5,-43.63889791
Power City,Consumption,1,26,6,-32.79651774
Power City,Consumption,1,26,7,-21.78971741
Power City,Consumption,1,26,8,-10.97297502
Power City,Consumption,1,26,9,-0.65342141
Power City,Consumption,1,26,10,8.8263619554
Power City,Consumption,1,26,11,17.035427244
Power City,Consumption,1,26,12,23.432108759
Power City,Consumption,1,26,13,27.413461414
Power City,Consumption,1,26,14,28.485043752
Power City,Consumption,1,26,15,26.493846294
Power City,Consumption,1,26,16,21.717334376
Power City,Consumption,1,26,17,14.708012144
Power City,Consumption,1,26,18,6.0625010508
Power City,Consumption,1,26,19,-3.709933275
Power City,Consumption,1,26,20,-14.20861246
Power City,Consumption,1,26,21,-25.10690823
Power City,Consumption,1,26,22,-36.09158464
Power City,Consumption,1,26,23,-46.76282948
Power City,Consumption,1,26,24,-56.4223038
Power City,Consumption,1,27,1,-63.60807159
Power City,Consumption,1,27,2,-65.80511373
Power City,Consumption,1,27,3,-61.78181539
Power City,Consumption,1,27,4,-53.59701036
Power City,Consumption,1,27,5,-43.50903586
Power City,Consumption,1,27,6,-32.67607377
Power City,Consumption,1,27,7,-21.66835413
Power City,Consumption,1,27,8,-10.84304428
Power City,Consumption,1,27,9,-0.508583004
Power City,Consumption,1,27,10,8.9916620517
Power City,Consumption,1,27,11,17.225611667
Power City,Consumption,1,27,12,23.649061697
Power City,Consumption,1,27,13,27.65433279
Power City,Consumption,1,27,14,28.741146939
Power City,Consumption,1,27,15,26.753193122
Power City,Consumption,1,27,16,21.969636709
Power City,Consumption,1,27,17,14.947692978
Power City,Consumption,1,27,18,6.2883805494
Power City,Consumption,1,27,19,-3.496208694
