City,Year,Month,Day,Hour,Cloud_Cover_Fraction,Dew_Point,Humidity_Fraction,Precipitable_Water,Temperature,Visibility
Power City,Consumption,1,7,7,0.6,-25.6,0.82,3,-23.3,4.8
Power City,Consumption,1,7,8,0.4,-25.6,0.78,3,-22.8,4.8
Power City,Consumption,1,7,9,0.7,-23.3,0.87,3,-21.7,4.8
Power City,Consumption,1,7,10,1,-19.4,0.87,4,-17.8,4.8
Power City,Consumption,1,7,11,1,-17.2,0.87,4,-15.6,4.8
Power City,Consumption,1,7,12,1,-16.7,0.83,4,-14.4,6.4
Power City,Consumption,1,7,13,1,-16.7,0.73,4,-12.8,11.3
Power City,Consumption,1,7,14,1,-17.8,0.64,4,-12.2,11.3
Power City,Consumption,1,7,15,1,-18.3,0.58,4,-11.7,11.3
Power City,Consumption,1,7,16,1,-18.9,0.55,4,-11.7,11.3
Power City,Consumption,1,7,17,1,-17.8,0.61,4,-11.7,11.3
Power City,Consumption,1,7,18,1,-17.2,0.67,4,-12.2,11.3
Power City,Consumption,1,7,19,1,-17.2,0.7,4,-12.8,11.3
Power City,Consumption,1,7,20,1,-17.2,0.73,4,-13.3,11.3
Power City,Consumption,1,7,21,1,-20,0.6,4,-13.9,11.3
Power City,Consumption,1,7,22,1,-18.3,0.8,4,-15.6,11.3
Power City,Consumption,1,7,23,0.2,-19.4,0.87,4,-17.8,11.3
Power City,Consumption,1,7,24,0,-21.7,0.83,4,-19.4,11.3
Power City,Consumption,1,8,1,0,-22.2,0.87,3,-20.6,11.3
Power City,Consumption,1,8,2,0,-23.3,0.79,3,-20.6,11.3
Power City,Consumption,1,8,3,0,-23.3,0.79,3,-20.6,11.3
Power City,Consumption,1,8,4,0,-25,0.78,3,-22.2,11.3
Power City,Consumption,1,8,5,0,-24.4,0.82,3,-22.2,11.3
Power City,Consumption,1,8,6,0,-25.6,0.78,3,-22.8,11.3
Power City,Consumption,1,8,7,0,-25,0.82,3,-22.8,11.3
Power City,Consumption,1,8,8,0,-24.4,0.82,3,-22.2,4.8
Power City,Consumption,1,8,9,0.4,-23.9,0.82,3,-21.7,6.4
Power City,Consumption,1,8,10,0.6,-17.8,0.8,4,-15,11.3
Power City,Consumption,1,8,11,0.8,-16.1,0.76,4,-12.8,11.3
Power City,Consumption,1,8,12,0.8,-16.7,0.64,4,-11.1,11.3
Power City,Consumption,1,8,13,1,-15,0.64,5,-9.4,16.1
Power City,Consumption,1,8,14,0.9,-13.9,0.65,5,-8.3,16.1
Power City,Consumption,1,8,15,0.7,-13.3,0.65,5,-7.8,16.1
Power City,Consumption,1,8,16,0.9,-13.3,0.62,5,-7.2,16.1
Power City,Consumption,1,8,17,0.9,-13.9,0.62,5,-7.8,16.1
Power City,Consumption,1,8,18,1,-13.3,0.68,5,-8.3,16.1
Power City,Consumption,1,8,19,1,-13.3,0.68,5,-8.3,16.1
Power City,Consumption,1,8,20,1,-12.8,0.71,5,-8.3,16.1
Power City,Consumption,1,8,21,1,-13.9,0.65,5,-8.3,9.7
Power City,Consumption,1,8,22,1,-13.3,0.71,5,-8.9,4.8
Power City,Consumption,1,8,23,1,-13.9,0.68,5,-8.9,3.2
Power City,Consumption,1,8,24,1,-11.7,0.81,6,-8.9,3.2
Power City,Consumption,1,9,1,1,-11.1,0.84,6,-8.9,3.2
Power City,Consumption,1,9,2,1,-11.1,0.88,6,-9.4,3.2
Power City,Consumption,1,9,3,1,-14.4,0.84,5,-12.2,16.1
Power City,Consumption,1,9,4,0,-18.3,0.87,4,-16.7,16.1
Power City,Consumption,1,9,5,0,-17.8,0.91,4,-16.7,16.1
Power City,Consumption,1,9,6,1,-18.9,0.91,4,-17.8,4.8
Power City,Consumption,1,9,7,1,-13.9,0.92,5,-12.8,4.8
Power City,Consumption,1,9,8,1,-12.2,0.92,5,-11.1,3.6
Power City,Consumption,1,9,9,1,-12.2,0.88,5,-10.6,3.2
Power City,Consumption,1,9,10,1,-12.2,0.84,5,-10,1.6
Power City,Consumption,1,9,11,0.8,-12.8,0.8,5,-10,3.2
Power City,Consumption,1,9,12,0.9,-12.8,0.77,5,-9.4,3.2
Power City,Consumption,1,9,13,0.9,-13.3,0.74,5,-9.4,8
Power City,Consumption,1,9,14,0.7,-15,0.62,5,-8.9,12.9
Power City,Consumption,1,9,15,0.8,-14.4,0.7,5,-10,16.1
Power City,Consumption,1,9,16,0.6,-13.9,0.74,5,-10,9.7
Power City,Consumption,1,9,17,0.6,-14.4,0.73,5,-10.6,11.3
Power City,Consumption,1,9,18,0.4,-15,0.73,5,-11.1,16.1
Power City,Consumption,1,9,19,0.6,-15,0.8,5,-12.2,16.1
Power City,Consumption,1,9,20,0,-18.3,0.91,4,-17.2,16.1
Power City,Consumption,1,9,21,0,-20.6,0.83,4,-18.3,16.1
Power City,Consumption,1,9,22,0,-21.7,0.83,4,-19.4,16.1
Power City,Consumption,1,9,23,0,-21.1,0.87,4,-19.4,16.1
Power City,Consumption,1,9,24,0.2,-23.9,0.82,3,-21.7,16.1
Power City,Consumption,1,10,1,0.4,-23.3,0.82,3,-21.1,16.1
Power City,Consumption,1,10,2,0.6,-24.4,0.82,3,-22.2,16.1
Power City,Consumption,1,10,3,0.3,-25,0.86,3,-23.3,16.1
Power City,Consumption,1,10,4,0,-25.6,0.82,3,-23.3,16.1
Power City,Consumption,1,10,5,0.9,-25.6,0.86,3,-23.9,16.1
Power City,Consumption,1,10,6,0.9,-25,0.86,3,-23.3,16.1
Power City,Consumption,1,10,7,0.3,-25.6,0.82,3,-23.3,16.1
Power City,Consumption,1,10,8,0.2,-21.1,0.87,4,-19.4,11.3
Power City,Consumption,1,10,9,1,-20,0.83,4,-17.8,12.9
Power City,Consumption,1,10,10,0.9,-16.7,0.87,4,-15,12.9
Power City,Consumption,1,10,11,0.1,-14.4,0.88,5,-12.8,16.1
Power City,Consumption,1,10,12,0,-15,0.7,5,-10.6,16.1
Power City,Consumption,1,10,13,0,-15.6,0.64,5,-10,16.1
Power City,Consumption,1,10,14,0,-15.6,0.62,5,-9.4,16.1
Power City,Consumption,1,10,15,0,-15.6,0.62,5,-9.4,16.1
Power City,Consumption,1,10,16,0,-16.1,0.59,5,-9.4,16.1
Power City,Consumption,1,10,17,0,-17.2,0.56,4,-10,16.1
Power City,Consumption,1,10,18,0,-18.3,0.61,4,-12.2,16.1
Power City,Consumption,1,10,19,0,-18.9,0.66,4,-13.9,16.1
Power City,Consumption,1,10,20,0,-18.3,0.73,4,-14.4,16.1
Power City,Consumption,1,10,21,0,-19.4,0.66,4,-14.4,16.1
Power City,Consumption,1,10,22,0,-18.9,0.73,4,-15,16.1
Power City,Consumption,1,10,23,0,-18.9,0.73,4,-15,16.1
Power City,Consumption,1,10,24,0,-19.4,0.72,4,-15.6,16.1
Power City,Consumption,1,11,1,0,-19.4,0.66,4,-14.4,16.1
Power City,Consumption,1,11,2,0,-20,0.58,4,-13.3,16.1
Power City,Consumption,1,11,3,0,-18.9,0.58,4,-12.2,16.1
Power City,Consumption,1,11,4,0.2,-16.7,0.61,4,-10.6,16.1
Power City,Consumption,1,11,5,0.9,-16.1,0.61,4,-10,16.1
Power City,Consumption,1,11,6,1,-15,0.64,5,-9.4,16.1
Power City,Consumption,1,11,7,1,-14.4,0.65,5,-8.9,16.1
Power City,Consumption,1,11,8,1,-13.3,0.68,5,-8.3,16.1
Power City,Consumption,1,11,9,1,-13.3,0.65,5,-7.8,16.1
Power City,Consumption,1,11,10,1,-11.7,0.68,6,-6.7,16.1
Power City,Consumption,1,11,11,1,-10.6,0.68,6,-5.6,12.9
Power City,Consumption,1,11,12,1,-10,0.68,6,-5,12.9
Power City,Consumption,1,11,13,1,-8.9,0.69,6,-3.9,12.9
Power City,Consumption,1,11,14,1,-8.3,0.72,7,-3.9,12.9
Power City,Consumption,1,11,15,1,-8.9,0.66,6,-3.3,12.9
Power City,Consumption,1,11,16,1,-8.9,0.66,6,-3.3,16.1
Power City,Consumption,1,11,17,1,-8.9,0.69,6,-3.9,16.1
Power City,Consumption,1,11,18,1,-10,0.78,6,-6.7,16.1
Power City,Consumption,1,11,19,1,-10.6,0.81,6,-7.8,16.1
Power City,Consumption,1,11,20,1,-9.4,0.74,6,-5.6,16.1
Power City,Consumption,1,11,21,1,-8.3,0.81,7,-5.6,16.1
Power City,Consumption,1,11,22,1,-9.4,0.66,6,-3.9,16.1
Power City,Consumption,1,11,23,1,-8.3,0.63,7,-2.2,16.1
Power City,Consumption,1,11,24,1,-7.8,0.61,7,-1.1,16.1
Power City,Consumption,1,12,1,1,-6.1,0.64,7,0,11.3
Power City,Consumption,1,12,2,1,-6.1,0.64,7,0,11.3
Power City,Consumption,1,12,3,1,-6.7,0.59,7,0.6,11.3
Power City,Consumption,1,12,4,1,-7.8,0.52,7,1.1,11.3
Power City,Consumption,1,12,5,1,-7.8,0.48,7,2.2,11.3
Power City,Consumption,1,12,6,1,-7.8,0.46,7,2.8,11.3
Power City,Consumption,1,12,7,1,-7.8,0.48,7,2.2,11.3
Power City,Consumption,1,12,8,1,-7.2,0.5,7,2.2,11.3
Power City,Consumption,1,12,9,1,-7.8,0.48,7,2.2,11.3
Power City,Consumption,1,12,10,0.9,-7.2,0.5,7,2.2,11.3
Power City,Consumption,1,12,11,0.9,-7.2,0.48,7,2.8,16.1
Power City,Consumption,1,12,12,1,-6.1,0.49,8,3.9,16.1
Power City,Consumption,1,12,13,1,-4.4,0.53,8,4.4,16.1
Power City,Consumption,1,12,14,1,-3.9,0.57,8,3.9,16.1
Power City,Consumption,1,12,15,1,-1.1,0.7,10,3.9,16.1
Power City,Consumption,1,12,16,1,-1.7,0.67,10,3.9,11.3
Power City,Consumption,1,12,17,1,0.6,0.82,11,3.3,11.3
Power City,Consumption,1,12,18,1,0,0.79,10,3.3,11.3
Power City,Consumption,1,12,19,1,0,0.79,10,3.3,11.3
Power City,Consumption,1,12,20,1,0.6,0.82,11,3.3,11.3
Power City,Consumption,1,12,21,1,0.6,0.82,11,3.3,11.3
Power City,Consumption,1,12,22,1,0,0.85,10,2.2,11.3
Power City,Consumption,1,12,23,1,-5,0.72,8,-0.6,11.3
Power City,Consumption,1,12,24,1,-8.3,0.66,7,-2.8,11.3
Power City,Consumption,1,13,1,1,-8.3,0.75,7,-4.4,6.4
Power City,Consumption,1,13,2,1,-9.4,0.74,6,-5.6,16.1
Power City,Consumption,1,13,3,1,-9.4,0.74,6,-5.6,6.4
Power City,Consumption,1,13,4,1,-10,0.66,6,-4.4,6.4
Power City,Consumption,1,13,5,0.8,-12.2,0.65,5,-6.7,16.1
Power City,Consumption,1,13,6,0.8,-12.2,0.68,5,-7.2,24.1
Power City,Consumption,1,13,7,0.9,-11.7,0.71,6,-7.2,11.3
Power City,Consumption,1,13,8,0.9,-11.1,0.77,6,-7.8,8
Power City,Consumption,1,13,9,0.8,-14.4,0.62,5,-8.3,11.3
Power City,Consumption,1,13,10,0.9,-15,0.59,5,-8.3,16.1
Power City,Consumption,1,13,11,1,-15,0.57,5,-7.8,16.1
Power City,Consumption,1,13,12,1,-14.4,0.57,5,-7.2,11.3
Power City,Consumption,1,13,13,1,-10,0.84,6,-7.8,1
Power City,Consumption,1,13,14,0.9,-14.4,0.59,5,-7.8,11.3
Power City,Consumption,1,13,15,0.8,-15,0.59,5,-8.3,16.1
Power City,Consumption,1,13,16,1,-16.1,0.54,5,-8.3,16.1
Power City,Consumption,1,13,17,0.8,-15,0.62,5,-8.9,16.1
Power City,Consumption,1,13,18,0.8,-17.2,0.56,4,-10,16.1
Power City,Consumption,1,13,19,0.3,-16.1,0.64,4,-10.6,16.1
Power City,Consumption,1,13,20,0.8,-16.7,0.61,4,-10.6,16.1
Power City,Consumption,1,13,21,0.3,-16.7,0.64,4,-11.1,16.1
Power City,Consumption,1,13,22,0.1,-16.7,0.73,4,-12.8,16.1
Power City,Consumption,1,13,23,0,-17.8,0.73,4,-13.9,16.1
Power City,Consumption,1,13,24,0,-17.2,0.8,4,-14.4,16.1
Power City,Consumption,1,14,1,0,-17.8,0.76,4,-14.4,16.1
Power City,Consumption,1,14,2,0,-17.8,0.8,4,-15,16.1
Power City,Consumption,1,14,3,0,-18.3,0.8,4,-15.6,16.1
Power City,Consumption,1,14,4,0,-17.8,0.91,4,-16.7,16.1
Power City,Consumption,1,14,5,0,-18.9,0.87,4,-17.2,16.1
Power City,Consumption,1,14,6,0,-20,0.83,4,-17.8,16.1
Power City,Consumption,1,14,7,0,-19.4,0.83,4,-17.2,16.1
Power City,Consumption,1,14,8,0.1,-19.4,0.79,4,-16.7,16.1
Power City,Consumption,1,14,9,0.4,-19.4,0.69,4,-15,16.1
Power City,Consumption,1,14,10,1,-20,0.58,4,-13.3,16.1
Power City,Consumption,1,14,11,1,-16.7,0.67,4,-11.7,16.1
Power City,Consumption,1,14,12,1,-18.3,0.56,4,-11.1,16.1
Power City,Consumption,1,14,13,1,-18.3,0.53,4,-10.6,24.1
Power City,Consumption,1,14,14,1,-18.9,0.49,4,-10,24.1
Power City,Consumption,1,14,15,0.8,-17.8,0.51,4,-9.4,24.1
Power City,Consumption,1,14,16,0.8,-17.8,0.51,4,-9.4,24.1
Power City,Consumption,1,14,17,0.9,-17.2,0.54,4,-9.4,24.1
Power City,Consumption,1,14,18,0.8,-17.2,0.56,4,-10,24.1
Power City,Consumption,1,14,19,0.6,-16.7,0.61,4,-10.6,24.1
Power City,Consumption,1,14,20,0.3,-16.7,0.61,4,-10.6,24.1
Power City,Consumption,1,14,21,1,-15.6,0.64,5,-10,24.1
Power City,Consumption,1,14,22,1,-15.6,0.64,5,-10,24.1
Power City,Consumption,1,14,23,1,-15,0.64,5,-9.4,24.1
Power City,Consumption,1,14,24,1,-13.3,0.71,5,-8.9,16.1
Power City,Consumption,1,15,1,1,-11.7,0.81,6,-8.9,4.8
Power City,Consumption,1,15,2,1,-11.1,0.81,6,-8.3,3.2
Power City,Consumption,1,15,3,1,-11.1,0.77,6,-7.8,6.4
Power City,Consumption,1,15,4,1,-10.6,0.81,6,-7.8,4.8
Power City,Consumption,1,15,5,1,-10,0.81,6,-7.2,4.8
Power City,Consumption,1,15,6,1,-10,0.81,6,-7.2,11.3
Power City,Consumption,1,15,7,1,-10,0.81,6,-7.2,16.1
Power City,Consumption,1,15,8,1,-10.6,0.74,6,-6.7,16.1
Power City,Consumption,1,15,9,0.3,-10.6,0.74,6,-6.7,24.1
Power City,Consumption,1,15,10,0,-10,0.71,6,-5.6,24.1
Power City,Consumption,1,15,11,0,-10,0.66,6,-4.4,24.1
Power City,Consumption,1,15,12,0,-10,0.6,6,-3.3,24.1
Power City,Consumption,1,15,13,0,-9.4,0.58,6,-2.2,24.1
Power City,Consumption,1,15,14,0,-9.4,0.56,6,-1.7,24.1
Power City,Consumption,1,15,15,0,-8.9,0.54,6,-0.6,24.1
Power City,Consumption,1,15,16,0.2,-8.9,0.52,6,0,24.1
Power City,Consumption,1,15,17,0.6,-8.3,0.54,7,0,24.1
Power City,Consumption,1,15,18,0.6,-8.9,0.56,6,-1.1,24.1
Power City,Consumption,1,15,19,0.6,-8.3,0.58,7,-1.1,24.1
Power City,Consumption,1,15,20,0.6,-8.3,0.58,7,-1.1,24.1
Power City,Consumption,1,15,21,0.6,-9.4,0.54,6,-1.1,24.1
Power City,Consumption,1,15,22,0.6,-10,0.49,6,-0.6,24.1
Power City,Consumption,1,15,23,0.6,-9.4,0.5,6,0,24.1
Power City,Consumption,1,15,24,0.7,-7.8,0.54,7,0.6,24.1
Power City,Consumption,1,16,1,0.8,-7.8,0.56,7,0,24.1
Power City,Consumption,1,16,2,0.8,-7.2,0.61,7,-0.6,24.1
Power City,Consumption,1,16,3,0.8,-7.2,0.61,7,-0.6,24.1
Power City,Consumption,1,16,4,0.8,-7.2,0.59,7,0,24.1
Power City,Consumption,1,16,5,0.8,-6.7,0.61,7,0,24.1
Power City,Consumption,1,16,6,0.8,-7.2,0.56,7,0.6,24.1
Power City,Consumption,1,16,7,0.8,-6.7,0.61,7,0,24.1
Power City,Consumption,1,16,8,0.7,-6.7,0.57,7,1.1,24.1
Power City,Consumption,1,16,9,1,-6.7,0.57,7,1.1,24.1
Power City,Consumption,1,16,10,1,-6.7,0.52,7,2.2,24.1
Power City,Consumption,1,16,11,1,-6.1,0.5,7,3.3,24.1
Power City,Consumption,1,16,12,1,-5,0.47,8,5.6,24.1
Power City,Consumption,1,16,13,0.7,-5,0.45,8,6.1,24.1
Power City,Consumption,1,16,14,0.6,-4.4,0.44,8,7.2,24.1
Power City,Consumption,1,16,15,0.6,-3.3,0.46,9,7.8,24.1
