Location,Date_time,Hour,Wind_Speed
Wind Farm,31MAR11:00:00:00,0,7.9
Wind Farm,31MAR11:01:00:00,1,7.3
Wind Farm,31MAR11:02:00:00,2,8.0
Wind Farm,31MAR11:03:00:00,3,7.7
Wind Farm,31MAR11:04:00:00,4,7.6
Wind Farm,31MAR11:05:00:00,5,7.2
Wind Farm,31MAR11:06:00:00,6,7.3
Wind Farm,31MAR11:07:00:00,7,7.5
Wind Farm,31MAR11:08:00:00,8,7.5
Wind Farm,31MAR11:09:00:00,9,8.6
Wind Farm,31MAR11:10:00:00,10,11.9
Wind Farm,31MAR11:11:00:00,11,11.1
Wind Farm,31MAR11:12:00:00,12,11.4
Wind Farm,31MAR11:13:00:00,13,11.8
Wind Farm,31MAR11:14:00:00,14,13.0
Wind Farm,31MAR11:15:00:00,15,12.3
Wind Farm,31MAR11:16:00:00,16,9.3
Wind Farm,31MAR11:17:00:00,17,9.6
Wind Farm,31MAR11:18:00:00,18,9.9
Wind Farm,31MAR11:19:00:00,19,9.4
Wind Farm,31MAR11:20:00:00,20,8.9
Wind Farm,31MAR11:21:00:00,21,8.6
Wind Farm,31MAR11:22:00:00,22,8.4
Wind Farm,31MAR11:23:00:00,23,8.0
Wind Farm,01APR11:00:00:00,0,8.5
Wind Farm,01APR11:01:00:00,1,8.9
Wind Farm,01APR11:02:00:00,2,9.1
Wind Farm,01APR11:03:00:00,3,7.6
Wind Farm,01APR11:04:00:00,4,6.4
Wind Farm,01APR11:05:00:00,5,6.1
Wind Farm,01APR11:06:00:00,6,6.8
Wind Farm,01APR11:07:00:00,7,6.2
Wind Farm,01APR11:08:00:00,8,5.8
Wind Farm,01APR11:09:00:00,9,6.0
Wind Farm,01APR11:10:00:00,10,6.0
Wind Farm,01APR11:11:00:00,11,6.7
Wind Farm,01APR11:12:00:00,12,6.7
Wind Farm,01APR11:13:00:00,13,7.9
Wind Farm,01APR11:14:00:00,14,7.1
Wind Farm,01APR11:15:00:00,15,6.8
Wind Farm,01APR11:16:00:00,16,5.3
Wind Farm,01APR11:17:00:00,17,6.6
Wind Farm,01APR11:18:00:00,18,6.0
Wind Farm,01APR11:19:00:00,19,5.1
Wind Farm,01APR11:20:00:00,20,5.5
Wind Farm,01APR11:21:00:00,21,5.8
Wind Farm,01APR11:22:00:00,22,6.4
Wind Farm,01APR11:23:00:00,23,6.8
Wind Farm,02APR11:00:00:00,0,6.5
Wind Farm,02APR11:01:00:00,1,5.4
Wind Farm,02APR11:02:00:00,2,7.0
Wind Farm,02APR11:03:00:00,3,6.3
Wind Farm,02APR11:04:00:00,4,7.7
Wind Farm,02APR11:05:00:00,5,6.4
Wind Farm,02APR11:06:00:00,6,6.4
Wind Farm,02APR11:07:00:00,7,7.8
Wind Farm,02APR11:08:00:00,8,9.1
Wind Farm,02APR11:09:00:00,9,8.8
Wind Farm,02APR11:10:00:00,10,8.2
Wind Farm,02APR11:11:00:00,11,6.5
Wind Farm,02APR11:12:00:00,12,6.7
Wind Farm,02APR11:13:00:00,13,6.5
Wind Farm,02APR11:14:00:00,14,6.0
Wind Farm,02APR11:15:00:00,15,5.5
Wind Farm,02APR11:16:00:00,16,5.8
Wind Farm,02APR11:17:00:00,17,7.3
Wind Farm,02APR11:18:00:00,18,5.9
Wind Farm,02APR11:19:00:00,19,4.8
Wind Farm,02APR11:20:00:00,20,4.0
Wind Farm,02APR11:21:00:00,21,4.8
Wind Farm,02APR11:22:00:00,22,3.7
Wind Farm,02APR11:23:00:00,23,3.9
Wind Farm,03APR11:00:00:00,0,4.0
Wind Farm,03APR11:01:00:00,1,3.9
Wind Farm,03APR11:02:00:00,2,3.1
Wind Farm,03APR11:03:00:00,3,2.1
Wind Farm,03APR11:04:00:00,4,0.8
Wind Farm,03APR11:05:00:00,5,2.3
Wind Farm,03APR11:06:00:00,6,3.4
Wind Farm,03APR11:07:00:00,7,3.1
Wind Farm,03APR11:08:00:00,8,3.3
Wind Farm,03APR11:09:00:00,9,2.5
Wind Farm,03APR11:10:00:00,10,3.1
Wind Farm,03APR11:11:00:00,11,2.5
Wind Farm,03APR11:12:00:00,12,2.0
Wind Farm,03APR11:13:00:00,13,1.8
Wind Farm,03APR11:14:00:00,14,3.5
Wind Farm,03APR11:15:00:00,15,2.5
Wind Farm,03APR11:16:00:00,16,3.4
Wind Farm,03APR11:17:00:00,17,3.9
Wind Farm,03APR11:18:00:00,18,3.0
Wind Farm,03APR11:19:00:00,19,3.4
Wind Farm,03APR11:20:00:00,20,2.9
Wind Farm,03APR11:21:00:00,21,2.3
Wind Farm,03APR11:22:00:00,22,1.6
Wind Farm,03APR11:23:00:00,23,3.8
Wind Farm,04APR11:00:00:00,0,4.7
Wind Farm,04APR11:01:00:00,1,5.0
Wind Farm,04APR11:02:00:00,2,4.7
Wind Farm,04APR11:03:00:00,3,5.3
Wind Farm,04APR11:04:00:00,4,5.8
Wind Farm,04APR11:05:00:00,5,5.6
Wind Farm,04APR11:06:00:00,6,4.2
Wind Farm,04APR11:07:00:00,7,4.7
Wind Farm,04APR11:08:00:00,8,5.6
Wind Farm,04APR11:09:00:00,9,4.5
Wind Farm,04APR11:10:00:00,10,6.8
Wind Farm,04APR11:11:00:00,11,7.6
Wind Farm,04APR11:12:00:00,12,6.2
Wind Farm,04APR11:13:00:00,13,6.0
Wind Farm,04APR11:14:00:00,14,8.1
Wind Farm,04APR11:15:00:00,15,8.1
Wind Farm,04APR11:16:00:00,16,8.3
Wind Farm,04APR11:17:00:00,17,7.5
Wind Farm,04APR11:18:00:00,18,6.9
Wind Farm,04APR11:19:00:00,19,6.9
Wind Farm,04APR11:20:00:00,20,6.1
Wind Farm,04APR11:21:00:00,21,4.8
Wind Farm,04APR11:22:00:00,22,5.3
Wind Farm,04APR11:23:00:00,23,6.4
Wind Farm,05APR11:00:00:00,0,5.2
Wind Farm,05APR11:01:00:00,1,6.0
Wind Farm,05APR11:02:00:00,2,6.7
Wind Farm,05APR11:03:00:00,3,7.1
Wind Farm,05APR11:04:00:00,4,7.3
Wind Farm,05APR11:05:00:00,5,7.2
Wind Farm,05APR11:06:00:00,6,7.9
Wind Farm,05APR11:07:00:00,7,7.9
Wind Farm,05APR11:08:00:00,8,8.3
Wind Farm,05APR11:09:00:00,9,8.1
Wind Farm,05APR11:10:00:00,10,10.1
Wind Farm,05APR11:11:00:00,11,9.7
Wind Farm,05APR11:12:00:00,12,11.1
Wind Farm,05APR11:13:00:00,13,10.6
Wind Farm,05APR11:14:00:00,14,9.9
Wind Farm,05APR11:15:00:00,15,9.4
Wind Farm,05APR11:16:00:00,16,9.0
Wind Farm,05APR11:17:00:00,17,7.1
Wind Farm,05APR11:18:00:00,18,6.8
Wind Farm,05APR11:19:00:00,19,7.3
Wind Farm,05APR11:20:00:00,20,6.7
Wind Farm,05APR11:21:00:00,21,4.5
Wind Farm,05APR11:22:00:00,22,5.4
Wind Farm,05APR11:23:00:00,23,6.9
Wind Farm,06APR11:00:00:00,0,7.1
Wind Farm,06APR11:01:00:00,1,7.8
Wind Farm,06APR11:02:00:00,2,7.3
Wind Farm,06APR11:03:00:00,3,7.3
Wind Farm,06APR11:04:00:00,4,7.1
Wind Farm,06APR11:05:00:00,5,7.4
Wind Farm,06APR11:06:00:00,6,7.7
Wind Farm,06APR11:07:00:00,7,6.9
Wind Farm,06APR11:08:00:00,8,6.1
Wind Farm,06APR11:09:00:00,9,5.8
Wind Farm,06APR11:10:00:00,10,2.6
Wind Farm,06APR11:11:00:00,11,0.0
Wind Farm,06APR11:12:00:00,12,0.0
Wind Farm,06APR11:13:00:00,13,2.3
Wind Farm,06APR11:14:00:00,14,1.5
Wind Farm,06APR11:15:00:00,15,0.0
Wind Farm,06APR11:16:00:00,16,1.2
Wind Farm,06APR11:17:00:00,17,3.6
Wind Farm,06APR11:18:00:00,18,4.0
Wind Farm,06APR11:19:00:00,19,4.0
Wind Farm,06APR11:20:00:00,20,4.3
Wind Farm,06APR11:21:00:00,21,5.4
Wind Farm,06APR11:22:00:00,22,6.6
Wind Farm,06APR11:23:00:00,23,7.6
Wind Farm,07APR11:00:00:00,0,7.7
Wind Farm,07APR11:01:00:00,1,7.2
Wind Farm,07APR11:02:00:00,2,8.4
Wind Farm,07APR11:03:00:00,3,7.7
Wind Farm,07APR11:04:00:00,4,8.0
Wind Farm,07APR11:05:00:00,5,7.8
Wind Farm,07APR11:06:00:00,6,7.1
Wind Farm,07APR11:07:00:00,7,6.7
Wind Farm,07APR11:08:00:00,8,5.1
Wind Farm,07APR11:09:00:00,9,3.8
Wind Farm,07APR11:10:00:00,10,3.9
Wind Farm,07APR11:11:00:00,11,4.6
Wind Farm,07APR11:12:00:00,12,4.3
Wind Farm,07APR11:13:00:00,13,5.0
Wind Farm,07APR11:14:00:00,14,4.9
Wind Farm,07APR11:15:00:00,15,5.2
Wind Farm,07APR11:16:00:00,16,5.3
Wind Farm,07APR11:17:00:00,17,5.6
Wind Farm,07APR11:18:00:00,18,5.6
Wind Farm,07APR11:19:00:00,19,6.0
Wind Farm,07APR11:20:00:00,20,6.6
Wind Farm,07APR11:21:00:00,21,3.3
Wind Farm,07APR11:22:00:00,22,2.4
Wind Farm,07APR11:23:00:00,23,2.1
Wind Farm,08APR11:00:00:00,0,1.6
Wind Farm,08APR11:01:00:00,1,1.7
Wind Farm,08APR11:02:00:00,2,0.6
Wind Farm,08APR11:03:00:00,3,1.3
Wind Farm,08APR11:04:00:00,4,1.8
Wind Farm,08APR11:05:00:00,5,1.2
Wind Farm,08APR11:06:00:00,6,1.4
Wind Farm,08APR11:07:00:00,7,1.7
Wind Farm,08APR11:08:00:00,8,2.4
Wind Farm,08APR11:09:00:00,9,2.4
Wind Farm,08APR11:10:00:00,10,2.3
Wind Farm,08APR11:11:00:00,11,3.0
Wind Farm,08APR11:12:00:00,12,3.5
Wind Farm,08APR11:13:00:00,13,3.5
Wind Farm,08APR11:14:00:00,14,4.3
Wind Farm,08APR11:15:00:00,15,4.3
Wind Farm,08APR11:16:00:00,16,4.1
Wind Farm,08APR11:17:00:00,17,3.7
Wind Farm,08APR11:18:00:00,18,3.9
Wind Farm,08APR11:19:00:00,19,5.0
Wind Farm,08APR11:20:00:00,20,5.6
Wind Farm,08APR11:21:00:00,21,5.5
Wind Farm,08APR11:22:00:00,22,5.8
Wind Farm,08APR11:23:00:00,23,4.5
Wind Farm,09APR11:00:00:00,0,4.1
Wind Farm,09APR11:01:00:00,1,4.5
Wind Farm,09APR11:02:00:00,2,4.0
Wind Farm,09APR11:03:00:00,3,4.1
Wind Farm,09APR11:04:00:00,4,2.9
Wind Farm,09APR11:05:00:00,5,2.2
Wind Farm,09APR11:06:00:00,6,2.5
Wind Farm,09APR11:07:00:00,7,3.9
Wind Farm,09APR11:08:00:00,8,5.0
Wind Farm,09APR11:09:00:00,9,4.8
Wind Farm,09APR11:10:00:00,10,4.9
Wind Farm,09APR11:11:00:00,11,5.3
Wind Farm,09APR11:12:00:00,12,5.4
Wind Farm,09APR11:13:00:00,13,4.4
Wind Farm,09APR11:14:00:00,14,4.7
Wind Farm,09APR11:15:00:00,15,5.4
Wind Farm,09APR11:16:00:00,16,5.4
Wind Farm,09APR11:17:00:00,17,5.8
Wind Farm,09APR11:18:00:00,18,5.4
Wind Farm,09APR11:19:00:00,19,5.5
Wind Farm,09APR11:20:00:00,20,6.3
Wind Farm,09APR11:21:00:00,21,5.9
Wind Farm,09APR11:22:00:00,22,6.5
Wind Farm,09APR11:23:00:00,23,8.1
Wind Farm,10APR11:00:00:00,0,8.4
Wind Farm,10APR11:01:00:00,1,7.6
Wind Farm,10APR11:02:00:00,2,8.1
Wind Farm,10APR11:03:00:00,3,8.0
Wind Farm,10APR11:04:00:00,4,6.0
Wind Farm,10APR11:05:00:00,5,5.5
Wind Farm,10APR11:06:00:00,6,6.1
Wind Farm,10APR11:07:00:00,7,6.3
Wind Farm,10APR11:08:00:00,8,5.3
Wind Farm,10APR11:09:00:00,9,3.5
Wind Farm,10APR11:10:00:00,10,3.8
Wind Farm,10APR11:11:00:00,11,4.3
Wind Farm,10APR11:12:00:00,12,4.7
Wind Farm,10APR11:13:00:00,13,4.6
Wind Farm,10APR11:14:00:00,14,4.0
Wind Farm,10APR11:15:00:00,15,4.3
Wind Farm,10APR11:16:00:00,16,4.2
Wind Farm,10APR11:17:00:00,17,4.5
Wind Farm,10APR11:18:00:00,18,4.7
Wind Farm,10APR11:19:00:00,19,4.7
Wind Farm,10APR11:20:00:00,20,5.4
Wind Farm,10APR11:21:00:00,21,5.2
Wind Farm,10APR11:22:00:00,22,6.0
Wind Farm,10APR11:23:00:00,23,6.3
Wind Farm,11APR11:00:00:00,0,7.4
Wind Farm,11APR11:01:00:00,1,5.6
Wind Farm,11APR11:02:00:00,2,3.7
Wind Farm,11APR11:03:00:00,3,3.1
Wind Farm,11APR11:04:00:00,4,4.3
Wind Farm,11APR11:05:00:00,5,5.0
Wind Farm,11APR11:06:00:00,6,4.2
Wind Farm,11APR11:07:00:00,7,4.8
Wind Farm,11APR11:08:00:00,8,5.1
Wind Farm,11APR11:09:00:00,9,4.2
Wind Farm,11APR11:10:00:00,10,2.7
Wind Farm,11APR11:11:00:00,11,2.7
Wind Farm,11APR11:12:00:00,12,2.6
Wind Farm,11APR11:13:00:00,13,3.3
Wind Farm,11APR11:14:00:00,14,4.9
Wind Farm,11APR11:15:00:00,15,5.2
Wind Farm,11APR11:16:00:00,16,4.7
Wind Farm,11APR11:17:00:00,17,6.1
Wind Farm,11APR11:18:00:00,18,7.6
Wind Farm,11APR11:19:00:00,19,7.2
Wind Farm,11APR11:20:00:00,20,6.8
Wind Farm,11APR11:21:00:00,21,7.8
Wind Farm,11APR11:22:00:00,22,7.8
Wind Farm,11APR11:23:00:00,23,7.4
Wind Farm,12APR11:00:00:00,0,11.1
Wind Farm,12APR11:01:00:00,1,6.3
Wind Farm,12APR11:02:00:00,2,4.6
Wind Farm,12APR11:03:00:00,3,5.8
Wind Farm,12APR11:04:00:00,4,6.9
Wind Farm,12APR11:05:00:00,5,7.0
Wind Farm,12APR11:06:00:00,6,7.3
Wind Farm,12APR11:07:00:00,7,7.5
Wind Farm,12APR11:08:00:00,8,6.6
Wind Farm,12APR11:09:00:00,9,6.4
Wind Farm,12APR11:10:00:00,10,6.8
Wind Farm,12APR11:11:00:00,11,7.2
Wind Farm,12APR11:12:00:00,12,8.0
Wind Farm,12APR11:13:00:00,13,7.6
Wind Farm,12APR11:14:00:00,14,8.2
Wind Farm,12APR11:15:00:00,15,9.2
Wind Farm,12APR11:16:00:00,16,8.3
Wind Farm,12APR11:17:00:00,17,8.0
Wind Farm,12APR11:18:00:00,18,7.6
Wind Farm,12APR11:19:00:00,19,7.4
Wind Farm,12APR11:20:00:00,20,5.5
Wind Farm,12APR11:21:00:00,21,4.6
Wind Farm,12APR11:22:00:00,22,3.6
Wind Farm,12APR11:23:00:00,23,2.9
Wind Farm,13APR11:00:00:00,0,3.0
Wind Farm,13APR11:01:00:00,1,4.4
Wind Farm,13APR11:02:00:00,2,5.9
Wind Farm,13APR11:03:00:00,3,4.8
Wind Farm,13APR11:04:00:00,4,5.1
Wind Farm,13APR11:05:00:00,5,4.7
Wind Farm,13APR11:06:00:00,6,4.6
Wind Farm,13APR11:07:00:00,7,4.6
Wind Farm,13APR11:08:00:00,8,3.6
Wind Farm,13APR11:09:00:00,9,3.0
Wind Farm,13APR11:10:00:00,10,3.1
Wind Farm,13APR11:11:00:00,11,3.8
Wind Farm,13APR11:12:00:00,12,5.4
Wind Farm,13APR11:13:00:00,13,5.7
Wind Farm,13APR11:14:00:00,14,5.2
Wind Farm,13APR11:15:00:00,15,4.5
Wind Farm,13APR11:16:00:00,16,3.6
Wind Farm,13APR11:17:00:00,17,3.2
Wind Farm,13APR11:18:00:00,18,4.2
Wind Farm,13APR11:19:00:00,19,3.0
Wind Farm,13APR11:20:00:00,20,1.3
Wind Farm,13APR11:21:00:00,21,2.4
Wind Farm,13APR11:22:00:00,22,1.4
Wind Farm,13APR11:23:00:00,23,1.1
Wind Farm,14APR11:00:00:00,0,1.4
Wind Farm,14APR11:01:00:00,1,2.0
Wind Farm,14APR11:02:00:00,2,3.1
Wind Farm,14APR11:03:00:00,3,2.6
Wind Farm,14APR11:04:00:00,4,1.9
Wind Farm,14APR11:05:00:00,5,1.9
Wind Farm,14APR11:06:00:00,6,2.1
Wind Farm,14APR11:07:00:00,7,2.4
Wind Farm,14APR11:08:00:00,8,2.9
Wind Farm,14APR11:09:00:00,9,2.3
Wind Farm,14APR11:10:00:00,10,1.5
Wind Farm,14APR11:11:00:00,11,1.6
Wind Farm,14APR11:12:00:00,12,0.9
Wind Farm,14APR11:13:00:00,13,1.2
Wind Farm,14APR11:14:00:00,14,1.1
Wind Farm,14APR11:15:00:00,15,1.4
Wind Farm,14APR11:16:00:00,16,1.3
Wind Farm,14APR11:17:00:00,17,2.6
Wind Farm,14APR11:18:00:00,18,3.0
Wind Farm,14APR11:19:00:00,19,2.8
Wind Farm,14APR11:20:00:00,20,2.8
Wind Farm,14APR11:21:00:00,21,2.5
Wind Farm,14APR11:22:00:00,22,2.8
Wind Farm,14APR11:23:00:00,23,3.0
Wind Farm,15APR11:00:00:00,0,3.5
Wind Farm,15APR11:01:00:00,1,4.3
Wind Farm,15APR11:02:00:00,2,3.7
Wind Farm,15APR11:03:00:00,3,3.0
Wind Farm,15APR11:04:00:00,4,3.2
Wind Farm,15APR11:05:00:00,5,4.1
Wind Farm,15APR11:06:00:00,6,3.9
Wind Farm,15APR11:07:00:00,7,4.1
Wind Farm,15APR11:08:00:00,8,3.0
Wind Farm,15APR11:09:00:00,9,2.2
Wind Farm,15APR11:10:00:00,10,2.8
Wind Farm,15APR11:11:00:00,11,3.7
Wind Farm,15APR11:12:00:00,12,4.1
Wind Farm,15APR11:13:00:00,13,3.8
Wind Farm,15APR11:14:00:00,14,3.4
Wind Farm,15APR11:15:00:00,15,3.9
Wind Farm,15APR11:16:00:00,16,3.2
Wind Farm,15APR11:17:00:00,17,3.1
Wind Farm,15APR11:18:00:00,18,3.1
Wind Farm,15APR11:19:00:00,19,3.3
Wind Farm,15APR11:20:00:00,20,3.3
Wind Farm,15APR11:21:00:00,21,4.1
Wind Farm,15APR11:22:00:00,22,5.1
Wind Farm,15APR11:23:00:00,23,5.2
Wind Farm,16APR11:00:00:00,0,5.3
Wind Farm,16APR11:01:00:00,1,5.1
Wind Farm,16APR11:02:00:00,2,3.5
Wind Farm,16APR11:03:00:00,3,3.7
Wind Farm,16APR11:04:00:00,4,4.1
Wind Farm,16APR11:05:00:00,5,3.3
Wind Farm,16APR11:06:00:00,6,3.8
Wind Farm,16APR11:07:00:00,7,4.2
Wind Farm,16APR11:08:00:00,8,4.8
Wind Farm,16APR11:09:00:00,9,3.0
Wind Farm,16APR11:10:00:00,10,2.6
Wind Farm,16APR11:11:00:00,11,3.0
Wind Farm,16APR11:12:00:00,12,2.6
Wind Farm,16APR11:13:00:00,13,2.2
Wind Farm,16APR11:14:00:00,14,1.3
Wind Farm,16APR11:15:00:00,15,1.3
Wind Farm,16APR11:16:00:00,16,1.6
Wind Farm,16APR11:17:00:00,17,1.7
Wind Farm,16APR11:18:00:00,18,1.2
Wind Farm,16APR11:19:00:00,19,1.1
Wind Farm,16APR11:20:00:00,20,0.8
Wind Farm,16APR11:21:00:00,21,1.6
Wind Farm,16APR11:22:00:00,22,1.7
Wind Farm,16APR11:23:00:00,23,2.9
Wind Farm,17APR11:00:00:00,0,3.9
Wind Farm,17APR11:01:00:00,1,3.0
Wind Farm,17APR11:02:00:00,2,3.0
Wind Farm,17APR11:03:00:00,3,2.9
Wind Farm,17APR11:04:00:00,4,3.4
Wind Farm,17APR11:05:00:00,5,2.3
Wind Farm,17APR11:06:00:00,6,1.4
Wind Farm,17APR11:07:00:00,7,1.3
Wind Farm,17APR11:08:00:00,8,1.3
Wind Farm,17APR11:09:00:00,9,1.2
Wind Farm,17APR11:10:00:00,10,1.1
Wind Farm,17APR11:11:00:00,11,1.6
Wind Farm,17APR11:12:00:00,12,2.8
Wind Farm,17APR11:13:00:00,13,1.9
Wind Farm,17APR11:14:00:00,14,1.3
Wind Farm,17APR11:15:00:00,15,2.4
Wind Farm,17APR11:16:00:00,16,5.2
