"Location","Year","Month","Day","Hour","Solar_Elevation"
"Solar Array",2010,1,7,23,-50.1713673770542
"Solar Array",2010,1,7,24,-59.7834852989539
"Solar Array",2010,1,8,1,-66.8159655711917
"Solar Array",2010,1,8,2,-68.3644589008094
"Solar Array",2010,1,8,3,-63.4223498953805
"Solar Array",2010,1,8,4,-54.6842376899963
"Solar Array",2010,1,8,5,-44.4130457579708
"Solar Array",2010,1,8,6,-33.6263826112054
"Solar Array",2010,1,8,7,-22.8156042348064
"Solar Array",2010,1,8,8,-12.3041976423015
"Solar Array",2010,1,8,9,-2.38835731345135
"Solar Array",2010,1,8,10,6.59492469865251
"Solar Array",2010,1,8,11,14.2294462260137
"Solar Array",2010,1,8,12,20.0158005726208
"Solar Array",2010,1,8,13,23.4345209446092
"Solar Array",2010,1,8,14,24.0978503910989
"Solar Array",2010,1,8,15,21.9220354191116
"Solar Array",2010,1,8,16,17.1711570009806
"Solar Array",2010,1,8,17,10.3269687145628
"Solar Array",2010,1,8,18,1.91166910172471
"Solar Array",2010,1,8,19,-7.61713148266708
"Solar Array",2010,1,8,20,-17.8885182277156
"Solar Array",2010,1,8,21,-28.5929524254651
"Solar Array",2010,1,8,22,-39.4293541724231
"Solar Array",2010,1,8,23,-50.0072027212433
"Solar Array",2010,1,8,24,-59.6156053404042
"Solar Array",2010,1,9,1,-66.6532097184214
"Solar Array",2010,1,9,2,-68.2413852611013
"Solar Array",2010,1,9,3,-63.3561692567529
"Solar Array",2010,1,9,4,-54.6534231044083
"Solar Array",2010,1,9,5,-44.3978548249812
"Solar Array",2010,1,9,6,-33.6152968071711
"Solar Array",2010,1,9,7,-22.8014152955027
"Solar Array",2010,1,9,8,-12.2815343631461
"Solar Array",2010,1,9,9,-2.35251391411711
"Solar Array",2010,1,9,10,6.64844097985647
"Solar Array",2010,1,9,11,14.3047732114895
"Solar Array",2010,1,9,12,20.1158701360008
"Solar Array",2010,1,9,13,23.5595970962602
"Solar Array",2010,1,9,14,24.2444247128824
"Solar Array",2010,1,9,15,22.08355901285
"Solar Array",2010,1,9,16,17.3405038127896
"Solar Array",2010,1,9,17,10.4986083133706
"Solar Array",2010,1,9,18,2.08232566319754
"Solar Array",2010,1,9,19,-7.44883836127369
"Solar Array",2010,1,9,20,-17.7226249767056
"Solar Array",2010,1,9,21,-28.4285122173351
"Solar Array",2010,1,9,22,-39.2645665988278
"Solar Array",2010,1,9,23,-49.8395440565781
"Solar Array",2010,1,9,24,-59.4433054844271
"Solar Array",2010,1,10,1,-66.4843265310945
"Solar Array",2010,1,10,2,-68.1104037355316
"Solar Array",2010,1,10,3,-63.2820843787436
"Solar Array",2010,1,10,4,-54.615508724154
"Solar Array",2010,1,10,5,-44.3761382113746
"Solar Array",2010,1,10,6,-33.5979553342695
"Solar Array",2010,1,10,7,-22.781022780051
"Solar Array",2010,1,10,8,-12.2525699064884
"Solar Array",2010,1,10,9,-2.3101690780429
"Solar Array",2010,1,10,10,6.70871952032799
"Solar Array",2010,1,10,11,14.387129131066
"Solar Array",2010,1,10,12,20.2231582557139
"Solar Array",2010,1,10,13,23.6918941447257
"Solar Array",2010,1,10,14,24.3979405142266
"Solar Array",2010,1,10,15,22.2514583977725
"Solar Array",2010,1,10,16,17.5154806159578
"Solar Array",2010,1,10,17,10.6750981635934
"Solar Array",2010,1,10,18,2.25712987826238
"Solar Array",2010,1,10,19,-7.27696304045122
"Solar Array",2010,1,10,20,-17.5535476623257
"Solar Array",2010,1,10,21,-28.2610917560337
"Solar Array",2010,1,10,22,-39.0967595893947
"Solar Array",2010,1,10,23,-49.6684829574223
"Solar Array",2010,1,10,24,-59.2666826290043
"Solar Array",2010,1,11,1,-66.3094288313057
"Solar Array",2010,1,11,2,-67.9715915246682
"Solar Array",2010,1,11,3,-63.2000785548492
"Solar Array",2010,1,11,4,-54.5704383564695
"Solar Array",2010,1,11,5,-44.3478359694035
"Solar Array",2010,1,11,6,-33.5743060475689
"Solar Array",2010,1,11,7,-22.754386366353
"Solar Array",2010,1,11,8,-12.2172776923403
"Solar Array",2010,1,11,9,-2.26131120664621
"Solar Array",2010,1,11,10,6.77575612729174
"Solar Array",2010,1,11,11,14.4764937163846
"Solar Array",2010,1,11,12,20.3376288166178
"Solar Array",2010,1,11,13,23.8313603989831
"Solar Array",2010,1,11,14,24.5583304081123
"Solar Array",2010,1,11,15,22.4256508946187
"Solar Array",2010,1,11,16,17.6959919500652
"Solar Array",2010,1,11,17,10.8563345160488
"Solar Array",2010,1,11,18,2.43597458909024
"Solar Array",2010,1,11,19,-7.10161205513681
"Solar Array",2010,1,11,20,-17.3813893780974
"Solar Array",2010,1,11,21,-28.0907890631718
"Solar Array",2010,1,11,22,-38.9260258344741
"Solar Array",2010,1,11,23,-49.4941090754382
"Solar Array",2010,1,11,24,-59.0858316817313
"Solar Array",2010,1,12,1,-66.1286290638561
"Solar Array",2010,1,12,2,-67.8250312594118
"Solar Array",2010,1,12,3,-63.110142381014
"Solar Array",2010,1,12,4,-54.5181613346588
"Solar Array",2010,1,12,5,-44.3128926024549
"Solar Array",2010,1,12,6,-33.5443008271271
"Solar Array",2010,1,12,7,-22.7214696082425
"Solar Array",2010,1,12,8,-12.1756349610074
"Solar Array",2010,1,12,9,-2.20593246945485
"Solar Array",2010,1,12,10,6.84954294039625
"Solar Array",2010,1,12,11,14.5728432095173
"Solar Array",2010,1,12,12,20.4592424683686
"Solar Array",2010,1,12,13,23.9779412212194
"Solar Array",2010,1,12,14,24.7255243321229
"Solar Array",2010,1,12,15,22.6060514260264
"Solar Array",2010,1,12,16,17.8819403328987
"Solar Array",2010,1,12,17,11.0422121206656
"Solar Array",2010,1,12,18,2.61875176094176
"Solar Array",2010,1,12,19,-6.92289215934025
"Solar Array",2010,1,12,20,-17.2062527951893
"Solar Array",2010,1,12,21,-27.9177011392959
"Solar Array",2010,1,12,22,-38.7524564670299
"Solar Array",2010,1,12,23,-49.316510085278
"Solar Array",2010,1,12,24,-58.9008455054053
"Solar Array",2010,1,13,1,-65.9420391112374
"Solar Array",2010,1,13,2,-67.6708106791548
"Solar Array",2010,1,13,3,-63.0122738150461
"Solar Array",2010,1,13,4,-54.4586327090116
"Solar Array",2010,1,13,5,-44.2712572325569
"Solar Array",2010,1,13,6,-33.5078957037068
"Solar Array",2010,1,13,7,-22.6822400233237
"Solar Array",2010,1,13,8,-12.1276228281428
"Solar Array",2010,1,13,9,-2.14402883052206
"Solar Array",2010,1,13,10,6.93006843038366
"Solar Array",2010,1,13,11,14.6761503834955
"Solar Array",2010,1,13,12,20.5879566649903
"Solar Array",2010,1,13,13,24.131579082877
"Solar Array",2010,1,13,14,24.8994496184227
"Solar Array",2010,1,13,15,22.79257259918
"Solar Array",2010,1,13,16,18.0732263560934
"Solar Array",2010,1,13,17,11.2326243337368
"Solar Array",2010,1,13,18,2.80535259603489
"Solar Array",2010,1,13,19,-6.74091021277857
"Solar Array",2010,1,13,20,-17.0282400568349
"Solar Array",2010,1,13,21,-27.7419238727426
"Solar Array",2010,1,13,22,-38.5761409917499
"Solar Array",2010,1,13,23,-49.1357716366711
"Solar Array",2010,1,13,24,-58.7118148741969
"Solar Array",2010,1,14,1,-65.7497701268489
"Solar Array",2010,1,14,2,-67.5090223023037
"Solar Array",2010,1,14,3,-62.9064782052676
"Solar Array",2010,1,14,4,-54.3918134213398
"Solar Array",2010,1,14,5,-44.2228837591417
"Solar Array",2010,1,14,6,-33.4650509786245
"Solar Array",2010,1,14,7,-22.6366691762393
"Solar Array",2010,1,14,8,-12.073226336025
"Solar Array",2010,1,14,9,-2.07560007169816
"Solar Array",2010,1,14,10,7.0173174003412
"Solar Array",2010,1,14,11,14.7863845649513
"Solar Array",2010,1,14,12,20.7237257062381
"Solar Array",2010,1,14,13,24.2922136223371
"Solar Array",2010,1,14,14,25.0800310652929
"Solar Array",2010,1,14,15,22.9851247899631
"Solar Array",2010,1,14,16,18.2697487821859
"Solar Array",2010,1,14,17,11.4274632262766
"Solar Array",2010,1,14,18,2.99566764787855
"Solar Array",2010,1,14,19,-6.5557730679632
"Solar Array",2010,1,14,20,-16.8474526743028
"Solar Array",2010,1,14,21,-27.5635519512681
"Solar Array",2010,1,14,22,-38.3971672183682
"Solar Array",2010,1,14,23,-48.9519773127251
"Solar Array",2010,1,14,24,-58.5188284398887
"Solar Array",2010,1,15,1,-65.5519323861016
"Solar Array",2010,1,15,2,-67.3397630922634
"Solar Array",2010,1,15,3,-62.7927682886188
"Solar Array",2010,1,15,4,-54.3176704620405
"Solar Array",2010,1,15,5,-44.1677310082301
"Solar Array",2010,1,15,6,-33.4157313371834
"Solar Array",2010,1,15,7,-22.5847327570179
"Solar Array",2010,1,15,8,-12.0124345008491
"Solar Array",2010,1,15,9,-2.00064981265687
"Solar Array",2010,1,15,10,7.11127098955032
"Solar Array",2010,1,15,11,14.9035116588162
"Solar Array",2010,1,15,12,20.866500780645
"Solar Array",2010,1,15,13,24.4597817040803
"Solar Array",2010,1,15,14,25.2671910100308
"Solar Array",2010,1,15,15,23.1836162283954
"Solar Array",2010,1,15,16,18.4714046428482
"Solar Array",2010,1,15,17,11.6266196932444
"Solar Array",2010,1,15,18,3.18958693582915
"Solar Array",2010,1,15,19,-6.36758745797633
"Solar Array",2010,1,15,20,-16.6639914246194
"Solar Array",2010,1,15,21,-27.3826787765911
"Solar Array",2010,1,15,22,-38.2156211992243
"Solar Array",2010,1,15,23,-48.7652085942748
"Solar Array",2010,1,15,24,-58.3219727076609
"Solar Array",2010,1,16,1,-65.3486351549457
"Solar Array",2010,1,16,2,-67.1631341218333
"Solar Array",2010,1,16,3,-62.6711641587495
"Solar Array",2010,1,16,4,-54.2361770087216
"Solar Array",2010,1,16,5,-44.1057628712412
"Solar Array",2010,1,16,6,-33.3599059551572
"Solar Array",2010,1,16,7,-22.5264106541545
"Solar Array",2010,1,16,8,-11.9452403558203
"Solar Array",2010,1,16,9,-1.91918552756636
"Solar Array",2010,1,16,10,7.21190667996042
"Solar Array",2010,1,16,11,15.0274941750355
"Solar Array",2010,1,16,12,21.0162300101473
"Solar Array",2010,1,16,13,24.6342174791715
"Solar Array",2010,1,16,14,25.460849403021
"Solar Array",2010,1,16,15,23.3879530851427
"Solar Array",2010,1,16,16,18.678089338077
"Solar Array",2010,1,16,17,11.829983563389
"Solar Array",2010,1,16,18,3.38700005961324
"Solar Array",2010,1,16,19,-6.17645988518495
"Solar Array",2010,1,16,20,-16.477956250255
"Solar Array",2010,1,16,21,-27.1993963819934
"Solar Array",2010,1,16,22,-38.0315871710966
"Solar Array",2010,1,16,23,-48.5755448301256
"Solar Array",2010,1,16,24,-58.1213320209233
"Solar Array",2010,1,17,1,-65.1399865752571
"Solar Array",2010,1,17,2,-66.979240238783
"Solar Array",2010,1,17,3,-62.5416932049286
"Solar Array",2010,1,17,4,-54.1473125455699
"Solar Array",2010,1,17,5,-44.0369484326831
"Solar Array",2010,1,17,6,-33.2975485978089
"Solar Array",2010,1,17,7,-22.4616870220868
"Solar Array",2010,1,17,8,-11.8716409898419
"Solar Array",2010,1,17,9,-1.83121855829636
"Solar Array",2010,1,17,10,7.31919830531673
"Solar Array",2010,1,17,11,15.1582912572587
"Solar Array",2010,1,17,12,21.1728584961919
"Solar Array",2010,1,17,13,24.8154524469226
"Solar Array",2010,1,17,14,25.6609238827966
"Solar Array",2010,1,17,15,23.5980395588888
"Solar Array",2010,1,17,16,18.8896967361041
"Solar Array",2010,1,17,17,12.0374437094679
"Solar Array",2010,1,17,18,3.58779631356262
"Solar Array",2010,1,17,19,-5.98249651113635
"Solar Array",2010,1,17,20,-16.2894461609894
"Solar Array",2010,1,17,21,-27.0137953531299
"Solar Array",2010,1,17,22,-37.8451475013555
"Solar Array",2010,1,17,23,-48.3830632130492
"Solar Array",2010,1,17,24,-57.9169885547053
"Solar Array",2010,1,18,1,-64.9260935664427
"Solar Array",2010,1,18,2,-66.7881897351653
"Solar Array",2010,1,18,3,-62.4043900228775
"Solar Array",2010,1,18,4,-54.0510629627884
"Solar Array",2010,1,18,5,-43.9612620860383
"Solar Array",2010,1,18,6,-33.2286377109575
"Solar Array",2010,1,18,7,-22.3905503427387
"Solar Array",2010,1,18,8,-11.7916375815905
"Solar Array",2010,1,18,9,-1.73676412404809
"Solar Array",2010,1,18,10,7.43311606297885
"Solar Array",2010,1,18,11,15.2958587134769
"Solar Array",2010,1,18,12,21.3363283672385
"Solar Array",2010,1,18,13,25.0034155175982
"Solar Array",2010,1,18,14,25.8673298519125
"Solar Array",2010,1,18,15,23.8137779643648
"Solar Array",2010,1,18,16,19.106119273807
"Solar Array",2010,1,18,17,12.2488881585963
"Solar Array",2010,1,18,18,3.79186480030083
"Solar Array",2010,1,18,19,-5.78580304789212
"Solar Array",2010,1,18,20,-16.0985591381799
"Solar Array",2010,1,18,21,-26.8259647522105
"Solar Array",2010,1,18,22,-37.6563826384923
"Solar Array",2010,1,18,23,-48.1878387614107
"Solar Array",2010,1,18,24,-57.709022317132
"Solar Array",2010,1,19,1,-64.7070617425567
"Solar Array",2010,1,19,2,-66.5900940226907
"Solar Array",2010,1,19,3,-62.2592962988915
"Solar Array",2010,1,19,4,-53.9474206355899
"Solar Array",2010,1,19,5,-43.878683637221
"Solar Array",2010,1,19,6,-33.153156503633
"Solar Array",2010,1,19,7,-22.3129934808237
"Solar Array",2010,1,19,8,-11.7052354287804
"Solar Array",2010,1,19,9,-1.63584132729456
"Solar Array",2010,1,19,10,7.55362652846998
"Solar Array",2010,1,19,11,15.4401490485854
"Solar Array",2010,1,19,12,21.5065788275765
"Solar Array",2010,1,19,13,25.1980330760331
"Solar Array",2010,1,19,14,26.0799805534635
"Solar Array",2010,1,19,15,24.0350688208377
"Solar Array",2010,1,19,16,19.3272480573942
"Solar Array",2010,1,19,17,12.4642042024795
"Solar Array",2010,1,19,18,3.99909454362253
"Solar Array",2010,1,19,19,-5.58648465105443
"Solar Array",2010,1,19,20,-15.9053920416539
"Solar Array",2010,1,19,21,-26.6359920457132
"Solar Array",2010,1,19,22,-37.4653710670865
"Solar Array",2010,1,19,23,-47.9899443063087
"Solar Array",2010,1,19,24,-57.4975111585374
"Solar Array",2010,1,20,1,-64.482995344177
"Solar Array",2010,1,20,2,-66.3850673162437
"Solar Array",2010,1,20,3,-62.1064606688346
"Solar Array",2010,1,20,4,-53.8363844823971
"Solar Array",2010,1,20,5,-43.7891983950577
"Solar Array",2010,1,20,6,-33.0710930218988
"Solar Array",2010,1,20,7,-22.2290137326099
"Solar Array",2010,1,20,8,-11.6124439724252
"Solar Array",2010,1,20,9,-1.52847315592309
"Solar Array",2010,1,20,10,7.68069267279901
"Solar Array",2010,1,20,11,15.5911114988506
"Solar Array",2010,1,20,12,21.6835462073848
"Solar Array",2010,1,20,13,25.3992290460435
"Solar Array",2010,1,20,14,26.2987871480848
"Solar Array",2010,1,20,15,24.2618109408657
"Solar Array",2010,1,20,16,19.5529729631503
"Solar Array",2010,1,20,17,12.6832785072883
"Solar Array",2010,1,20,18,4.20937460030633
"Solar Array",2010,1,20,19,-5.38464581474064
"Solar Array",2010,1,20,20,-15.7100405194534
"Solar Array",2010,1,20,21,-26.4439630357962
"Solar Array",2010,1,20,22,-37.2721892672767
"Solar Array",2010,1,20,23,-47.7894504841275
"Solar Array",2010,1,20,24,-57.2825307877785
"Solar Array",2010,1,21,1,-64.2539971842515
"Solar Array",2010,1,21,2,-66.1732263273638
"Solar Array",2010,1,21,3,-61.9459385537927
"Solar Array",2010,1,21,4,-53.7179600020654
"Solar Array",2010,1,21,5,-43.6927972483195
"Solar Array",2010,1,21,6,-32.9824402134558
"Solar Array",2010,1,21,7,-22.13861286788
"Solar Array",2010,1,21,8,-11.5132768159187
"Solar Array",2010,1,21,9,-1.41468648147212
"Solar Array",2010,1,21,10,7.81427388259957
"Solar Array",2010,1,21,11,15.7486920682745
"Solar Array",2010,1,21,12,21.86716401397
"Solar Array",2010,1,21,13,25.6069249555173
"Solar Array",2010,1,21,14,26.523658791286
"Solar Array",2010,1,21,15,24.4939015191387
"Solar Array",2010,1,21,16,19.7831827380281
"Solar Array",2010,1,21,17,12.9059972229379
"Solar Array",2010,1,21,18,4.42259417060426
"Solar Array",2010,1,21,19,-5.18039026875863
"Solar Array",2010,1,21,20,-15.5125989206528
"Solar Array",2010,1,21,21,-26.2499617955751
"Solar Array",2010,1,21,22,-37.0769116788073
"Solar Array",2010,1,21,23,-47.5864257344066
"Solar Array",2010,1,21,24,-57.0641547953409
"Solar Array",2010,1,22,1,-64.0201686071073
"Solar Array",2010,1,22,2,-65.9546899692628
"Solar Array",2010,1,22,3,-61.7777919743336
"Solar Array",2010,1,22,4,-53.5921592901126
"Solar Array",2010,1,22,5,-43.5894767289185
"Solar Array",2010,1,22,6,-32.8871959826907
"Solar Array",2010,1,22,7,-22.0417971648366
"Solar Array",2010,1,22,8,-11.4077517387674
"Solar Array",2010,1,22,9,-1.29451205336343
"Solar Array",2010,1,22,10,7.95432598312989
"Solar Array",2010,1,22,11,15.9128335668424
"Solar Array",2010,1,22,12,22.0573629841253
"Solar Array",2010,1,22,13,25.8210400020845
"Solar Array",2010,1,22,14,26.7545027109718
"Solar Array",2010,1,22,15,24.7312362212251
"Solar Array",2010,1,22,16,20.0177650998848
"Solar Array",2010,1,22,17,13.1322460915372
"Solar Array",2010,1,22,18,4.63864270715506
"Solar Array",2010,1,22,19,-4.97382087823431
"Solar Array",2010,1,22,20,-15.3131602114739
"Solar Array",2010,1,22,21,-26.054070608428
"Solar Array",2010,1,22,22,-36.8796106697231
"Solar Array",2010,1,22,23,-47.3809363029405
"Solar Array",2010,1,22,24,-56.8424546828369
"Solar Array",2010,1,23,1,-63.7816094597979
"Solar Array",2010,1,23,2,-65.7295790746865
"Solar Array",2010,1,23,3,-61.6020893454449
"Solar Array",2010,1,23,4,-53.4590010341064
"Solar Array",2010,1,23,5,-43.4792390609661
"Solar Array",2010,1,23,6,-32.7853632358733
"Solar Array",2010,1,23,7,-21.9385774377335
"Solar Array",2010,1,23,8,-11.2958907048237
"Solar Array",2010,1,23,9,-1.16798448903664
"Solar Array",2010,1,23,10,8.10080126417482
"Solar Array",2010,1,23,11,16.0834756506533
"Solar Array",2010,1,23,12,22.2540711375577
"Solar Array",2010,1,23,13,26.0414911192692
"Solar Array",2010,1,23,14,26.9912242850194
"Solar Array",2010,1,23,15,24.9737092720616
"Solar Array",2010,1,23,16,20.2566068371654
"Solar Array",2010,1,23,17,13.3619105547806
"Solar Array",2010,1,23,18,4.85741002207415
"Solar Array",2010,1,23,19,-4.76503954593849
"Solar Array",2010,1,23,20,-15.1118158949151
"Solar Array",2010,1,23,21,-25.8563699114918
"Solar Array",2010,1,23,22,-36.680356509782
"Solar Array",2010,1,23,23,-47.1730462500296
"Solar Array",2010,1,23,24,-56.6174998985247
"Solar Array",2010,1,24,1,-63.5384180749705
"Solar Array",2010,1,24,2,-65.4980161276864
"Solar Array",2010,1,24,3,-61.4189052543248
"Solar Array",2010,1,24,4,-53.3185104885162
"Solar Array",2010,1,24,5,-43.3620921954821
"Solar Array",2010,1,24,6,-32.676949916264
"Solar Array",2010,1,24,7,-21.8289690570447
"Solar Array",2010,1,24,8,-11.1777198648896
"Solar Array",2010,1,24,9,-1.03514225990219
"Solar Array",2010,1,24,10,8.25364850889096
"Solar Array",2010,1,24,11,16.2605548639268
"Solar Array",2010,1,24,12,22.4572138313378
"Solar Array",2010,1,24,13,26.2681930430367
"Solar Array",2010,1,24,14,27.2337271187847
"Solar Array",2010,1,24,15,25.2212135440283
"Solar Array",2010,1,24,16,20.499593907845
"Solar Array",2010,1,24,17,13.5948758600668
"Solar Array",2010,1,24,18,5.07878639197897
"Solar Array",2010,1,24,19,-4.55414711754774
"Solar Array",2010,1,24,20,-14.9086559341024
"Solar Array",2010,1,24,21,-25.6569382435039
"Solar Array",2010,1,24,22,-36.4792173486544
"Solar Array",2010,1,24,23,-46.9628174637978
"Solar Array",2010,1,24,24,-56.389357878484
"Solar Array",2010,1,25,1,-63.2906912644301
"Solar Array",2010,1,25,2,-65.260125010129
"Solar Array",2010,1,25,3,-61.2283202232519
"Solar Array",2010,1,25,4,-53.1707194294987
"Solar Array",2010,1,25,5,-43.2380498306332
"Solar Array",2010,1,25,6,-32.5619690289378
"Solar Array",2010,1,25,7,-21.7129919620119
"Solar Array",2010,1,25,8,-11.0532695535736
"Solar Array",2010,1,25,9,-0.896027673041658
"Solar Array",2010,1,25,10,8.412813025627
"Solar Array",2010,1,25,11,16.4440046828835
"Solar Array",2010,1,25,12,22.6667138153309
"Solar Array",2010,1,25,13,26.5010583786556
"Solar Array",2010,1,25,14,27.4819131224234
"Solar Array",2010,1,25,15,25.4736406444582
"Solar Array",2010,1,25,16,20.7466115374515
"Solar Array",2010,1,25,17,13.8310271651263
"Solar Array",2010,1,25,18,5.30266266071796
"Solar Array",2010,1,25,19,-4.34124329007308
"Solar Array",2010,1,25,20,-14.7037686795674
"Solar Array",2010,1,25,21,-25.455852197138
"Solar Array",2010,1,25,22,-36.2762591989753
"Solar Array",2010,1,25,23,-46.7503096785082
"Solar Array",2010,1,25,24,-56.1580940931064
"Solar Array",2010,1,26,1,-63.038524322594
"Solar Array",2010,1,26,2,-65.0160307635399
"Solar Array",2010,1,26,3,-61.0304204597924
"Solar Array",2010,1,26,4,-53.0156660902253
"Solar Array",2010,1,26,5,-43.1071314174757
"Solar Array",2010,1,26,6,-32.4404386551921
"Solar Array",2010,1,26,7,-21.5906706654482
"Solar Array",2010,1,26,8,-10.9225742803122
"Solar Array",2010,1,26,9,-0.750686848593006
"Solar Array",2010,1,26,10,8.57823668275169
"Solar Array",2010,1,26,11,16.6337555614981
"Solar Array",2010,1,26,12,22.8824912885676
"Solar Array",2010,1,26,13,26.7399976678019
"Solar Array",2010,1,26,14,27.735682587918
"Solar Array",2010,1,26,15,25.7308810024485
"Solar Array",2010,1,26,16,20.9975443160015
"Solar Array",2010,1,26,17,14.0702496409626
"Solar Array",2010,1,26,18,5.52893033957787
"Solar Array",2010,1,26,19,-4.1264265236769
"Solar Array",2010,1,26,20,-14.4972408006418
"Solar Array",2010,1,26,21,-25.2531863759722
"Solar Array",2010,1,26,22,-36.0715459243004
"Solar Array",2010,1,26,23,-46.5355804977906
"Solar Array",2010,1,26,24,-55.9237720985674
"Solar Array",2010,1,27,1,-62.7820110390512
"Solar Array",2010,1,27,2,-64.7658593666754
"Solar Array",2010,1,27,3,-60.8252975965964
"Solar Array",2010,1,27,4,-52.8533950774982
"Solar Array",2010,1,27,5,-42.9693621512629
"Solar Array",2010,1,27,6,-32.3123819564591
"Solar Array",2010,1,27,7,-21.4620342507094
"Solar Array",2010,1,27,8,-10.785672714485
"Solar Array",2010,1,27,9,-0.599169692777394
"Solar Array",2010,1,27,10,8.74985794650868
"Solar Array",2010,1,27,11,16.829734979116
"Solar Array",2010,1,27,12,23.104463956523
"Solar Array",2010,1,27,13,26.9849194558353
"Solar Array",2010,1,27,14,27.9949342657118
"Solar Array",2010,1,27,15,25.9928239548395
"Solar Array",2010,1,27,16,21.2522762936834
