Year,Month,Day,Hour,Sector,Electricity_KW_SQFT
Consumption,1,1,11,K12_SCHOOLS,0.0007068806
Consumption,1,1,11,LODGING,0.0016214583
Consumption,1,1,11,OFFICE,0.0016849188
Consumption,1,1,11,RESIDENTIAL,0.0005551939
Consumption,1,1,11,STAND_ALONE_RETAIL,0.0014594924
Consumption,1,1,12,FOOD_SERVICE,0.010696906
Consumption,1,1,12,GROCERY,0.0042966223
Consumption,1,1,12,HEALTH_CARE,0.0029123703
Consumption,1,1,12,K12_SCHOOLS,0.0007023144
Consumption,1,1,12,LODGING,0.0015849006
Consumption,1,1,12,OFFICE,0.0013803712
Consumption,1,1,12,RESIDENTIAL,0.0005590622
Consumption,1,1,12,STAND_ALONE_RETAIL,0.0014576705
Consumption,1,1,13,FOOD_SERVICE,0.010321712
Consumption,1,1,13,GROCERY,0.004454877
Consumption,1,1,13,HEALTH_CARE,0.002935261
Consumption,1,1,13,K12_SCHOOLS,0.0006984718
Consumption,1,1,13,LODGING,0.0015791399
Consumption,1,1,13,OFFICE,0.0016319218
Consumption,1,1,13,RESIDENTIAL,0.0005526131
Consumption,1,1,13,STAND_ALONE_RETAIL,0.0018552496
Consumption,1,1,14,FOOD_SERVICE,0.0102417791
Consumption,1,1,14,GROCERY,0.0043913992
Consumption,1,1,14,HEALTH_CARE,0.0029012118
Consumption,1,1,14,K12_SCHOOLS,0.000692483
Consumption,1,1,14,LODGING,0.0015742704
Consumption,1,1,14,OFFICE,0.0013128518
Consumption,1,1,14,RESIDENTIAL,0.0005389609
Consumption,1,1,14,STAND_ALONE_RETAIL,0.0018525675
Consumption,1,1,15,FOOD_SERVICE,0.0082429201
Consumption,1,1,15,GROCERY,0.0043075512
Consumption,1,1,15,HEALTH_CARE,0.0028796626
Consumption,1,1,15,K12_SCHOOLS,0.0006932747
Consumption,1,1,15,LODGING,0.0015668703
Consumption,1,1,15,OFFICE,0.0015533716
Consumption,1,1,15,RESIDENTIAL,0.0005337516
Consumption,1,1,15,STAND_ALONE_RETAIL,0.0018489997
Consumption,1,1,16,FOOD_SERVICE,0.008237276
Consumption,1,1,16,GROCERY,0.00423132
Consumption,1,1,16,HEALTH_CARE,0.0028907138
Consumption,1,1,16,K12_SCHOOLS,0.000690115
Consumption,1,1,16,LODGING,0.001555182
Consumption,1,1,16,OFFICE,0.0012774344
Consumption,1,1,16,RESIDENTIAL,0.0005731376
Consumption,1,1,16,STAND_ALONE_RETAIL,0.001848394
Consumption,1,1,17,FOOD_SERVICE,0.0082050167
Consumption,1,1,17,GROCERY,0.0042314111
Consumption,1,1,17,HEALTH_CARE,0.0027719705
Consumption,1,1,17,K12_SCHOOLS,0.0006998857
Consumption,1,1,17,LODGING,0.0016465894
Consumption,1,1,17,OFFICE,0.0016029382
Consumption,1,1,17,RESIDENTIAL,0.0007915942
Consumption,1,1,17,STAND_ALONE_RETAIL,0.0018508814
Consumption,1,1,18,FOOD_SERVICE,0.0112181809
Consumption,1,1,18,GROCERY,0.0039007097
Consumption,1,1,18,HEALTH_CARE,0.0025972976
Consumption,1,1,18,K12_SCHOOLS,0.00080922
Consumption,1,1,18,LODGING,0.0019679343
Consumption,1,1,18,OFFICE,0.0016783602
Consumption,1,1,18,RESIDENTIAL,0.0011618585
Consumption,1,1,18,STAND_ALONE_RETAIL,0.0017612378
Consumption,1,1,19,FOOD_SERVICE,0.011218816
Consumption,1,1,19,GROCERY,0.0040464057
Consumption,1,1,19,HEALTH_CARE,0.0024511833
Consumption,1,1,19,K12_SCHOOLS,0.0008239619
Consumption,1,1,19,LODGING,0.0022197443
Consumption,1,1,19,OFFICE,0.0020514066
Consumption,1,1,19,RESIDENTIAL,0.0012258731
Consumption,1,1,19,STAND_ALONE_RETAIL,0.001362708
Consumption,1,1,20,FOOD_SERVICE,0.0112752084
Consumption,1,1,20,GROCERY,0.0035994314
Consumption,1,1,20,HEALTH_CARE,0.002434758
Consumption,1,1,20,K12_SCHOOLS,0.0008109084
Consumption,1,1,20,LODGING,0.0021727619
Consumption,1,1,20,OFFICE,0.0017429697
Consumption,1,1,20,RESIDENTIAL,0.0011973165
Consumption,1,1,20,STAND_ALONE_RETAIL,0.0004810879
Consumption,1,1,21,FOOD_SERVICE,0.0092707292
Consumption,1,1,21,GROCERY,0.0034032787
Consumption,1,1,21,HEALTH_CARE,0.002339229
Consumption,1,1,21,K12_SCHOOLS,0.0008274426
Consumption,1,1,21,LODGING,0.0022419264
Consumption,1,1,21,OFFICE,0.0020748158
Consumption,1,1,21,RESIDENTIAL,0.0011837744
Consumption,1,1,21,STAND_ALONE_RETAIL,0.0004963042
Consumption,1,1,22,FOOD_SERVICE,0.0092454762
Consumption,1,1,22,GROCERY,0.0030905729
Consumption,1,1,22,HEALTH_CARE,0.0023572106
Consumption,1,1,22,K12_SCHOOLS,0.0008153581
Consumption,1,1,22,LODGING,0.0021795537
Consumption,1,1,22,OFFICE,0.0017376113
Consumption,1,1,22,RESIDENTIAL,0.0010227617
Consumption,1,1,22,STAND_ALONE_RETAIL,0.0005052018
Consumption,1,1,23,FOOD_SERVICE,0.0092039837
Consumption,1,1,23,GROCERY,0.0017001385
Consumption,1,1,23,HEALTH_CARE,0.0023193672
Consumption,1,1,23,K12_SCHOOLS,0.0008269679
Consumption,1,1,23,LODGING,0.0017695255
Consumption,1,1,23,OFFICE,0.0020732633
Consumption,1,1,23,RESIDENTIAL,0.0008214045
Consumption,1,1,23,STAND_ALONE_RETAIL,0.0005119364
Consumption,1,1,24,FOOD_SERVICE,0.0096855779
Consumption,1,1,24,GROCERY,0.0026939769
Consumption,1,1,24,HEALTH_CARE,0.0023145471
Consumption,1,1,24,K12_SCHOOLS,0.0008243067
Consumption,1,1,24,LODGING,0.001353549
Consumption,1,1,24,OFFICE,0.0017442698
Consumption,1,1,24,RESIDENTIAL,0.0006512747
Consumption,1,1,24,STAND_ALONE_RETAIL,0.0005135494
Consumption,1,2,1,FOOD_SERVICE,0.0054955082
Consumption,1,2,1,GROCERY,0.0022393625
Consumption,1,2,1,HEALTH_CARE,0.0022608444
Consumption,1,2,1,K12_SCHOOLS,0.0008290861
Consumption,1,2,1,LODGING,0.0012393481
Consumption,1,2,1,OFFICE,0.0021557569
Consumption,1,2,1,RESIDENTIAL,0.0005471902
Consumption,1,2,1,STAND_ALONE_RETAIL,0.0005209566
Consumption,1,2,2,FOOD_SERVICE,0.0037839669
Consumption,1,2,2,GROCERY,0.0021142448
Consumption,1,2,2,HEALTH_CARE,0.0022363825
Consumption,1,2,2,K12_SCHOOLS,0.0008134629
Consumption,1,2,2,LODGING,0.0012418785
Consumption,1,2,2,OFFICE,0.0018386467
Consumption,1,2,2,RESIDENTIAL,0.0005327654
Consumption,1,2,2,STAND_ALONE_RETAIL,0.0005305548
Consumption,1,2,3,FOOD_SERVICE,0.0037911735
Consumption,1,2,3,GROCERY,0.0019857344
Consumption,1,2,3,HEALTH_CARE,0.002221837
Consumption,1,2,3,K12_SCHOOLS,0.000830307
Consumption,1,2,3,LODGING,0.0012323787
Consumption,1,2,3,OFFICE,0.0021864817
Consumption,1,2,3,RESIDENTIAL,0.0005262078
Consumption,1,2,3,STAND_ALONE_RETAIL,0.0005331812
Consumption,1,2,4,FOOD_SERVICE,0.003796203
Consumption,1,2,4,GROCERY,0.0021092071
Consumption,1,2,4,HEALTH_CARE,0.002204562
Consumption,1,2,4,K12_SCHOOLS,0.0008131714
Consumption,1,2,4,LODGING,0.001261847
Consumption,1,2,4,OFFICE,0.0018665248
Consumption,1,2,4,RESIDENTIAL,0.0005239881
Consumption,1,2,4,STAND_ALONE_RETAIL,0.0005389763
Consumption,1,2,5,FOOD_SERVICE,0.0038559176
Consumption,1,2,5,GROCERY,0.0022808516
Consumption,1,2,5,HEALTH_CARE,0.0025073429
Consumption,1,2,5,K12_SCHOOLS,0.0008348892
Consumption,1,2,5,LODGING,0.0013559103
Consumption,1,2,5,OFFICE,0.0022708921
Consumption,1,2,5,RESIDENTIAL,0.000590167
Consumption,1,2,5,STAND_ALONE_RETAIL,0.0005540968
Consumption,1,2,6,FOOD_SERVICE,0.0054737248
Consumption,1,2,6,GROCERY,0.0021551419
Consumption,1,2,6,HEALTH_CARE,0.0024774952
Consumption,1,2,6,K12_SCHOOLS,0.0008181892
Consumption,1,2,6,LODGING,0.0015475172
Consumption,1,2,6,OFFICE,0.0019966682
Consumption,1,2,6,RESIDENTIAL,0.0007255568
Consumption,1,2,6,STAND_ALONE_RETAIL,0.0005675136
Consumption,1,2,7,FOOD_SERVICE,0.0112652324
Consumption,1,2,7,GROCERY,0.0030619981
Consumption,1,2,7,HEALTH_CARE,0.0034296917
Consumption,1,2,7,K12_SCHOOLS,0.0008977574
Consumption,1,2,7,LODGING,0.002070139
Consumption,1,2,7,OFFICE,0.0060622727
Consumption,1,2,7,RESIDENTIAL,0.0008785345
Consumption,1,2,7,STAND_ALONE_RETAIL,0.0010974782
Consumption,1,2,8,FOOD_SERVICE,0.0112446969
Consumption,1,2,8,GROCERY,0.0032644627
Consumption,1,2,8,HEALTH_CARE,0.0039313953
Consumption,1,2,8,K12_SCHOOLS,0.0017723823
Consumption,1,2,8,LODGING,0.0024163436
Consumption,1,2,8,OFFICE,0.0056169844
Consumption,1,2,8,RESIDENTIAL,0.0009674328
Consumption,1,2,8,STAND_ALONE_RETAIL,0.0014063495
Consumption,1,2,9,FOOD_SERVICE,0.0082330233
Consumption,1,2,9,GROCERY,0.0046593693
Consumption,1,2,9,HEALTH_CARE,0.0040391887
Consumption,1,2,9,K12_SCHOOLS,0.0022737513
Consumption,1,2,9,LODGING,0.0021060576
Consumption,1,2,9,OFFICE,0.0053874365
Consumption,1,2,9,RESIDENTIAL,0.0008153868
Consumption,1,2,9,STAND_ALONE_RETAIL,0.0017234621
Consumption,1,2,10,FOOD_SERVICE,0.0082372033
Consumption,1,2,10,GROCERY,0.0051928331
Consumption,1,2,10,HEALTH_CARE,0.0042154301
Consumption,1,2,10,K12_SCHOOLS,0.0022519407
Consumption,1,2,10,LODGING,0.0019938019
Consumption,1,2,10,OFFICE,0.0045139225
Consumption,1,2,10,RESIDENTIAL,0.0006968256
Consumption,1,2,10,STAND_ALONE_RETAIL,0.002355717
Consumption,1,2,11,FOOD_SERVICE,0.0102353156
Consumption,1,2,11,GROCERY,0.0049749119
Consumption,1,2,11,HEALTH_CARE,0.0043117538
Consumption,1,2,11,K12_SCHOOLS,0.0023043105
Consumption,1,2,11,LODGING,0.0015840408
Consumption,1,2,11,OFFICE,0.0040187229
Consumption,1,2,11,RESIDENTIAL,0.0006002941
Consumption,1,2,11,STAND_ALONE_RETAIL,0.0023373712
Consumption,1,2,12,FOOD_SERVICE,0.0106983517
Consumption,1,2,12,GROCERY,0.0056640111
Consumption,1,2,12,HEALTH_CARE,0.0044327
Consumption,1,2,12,K12_SCHOOLS,0.0023140162
Consumption,1,2,12,LODGING,0.0015216559
Consumption,1,2,12,OFFICE,0.0038078645
Consumption,1,2,12,RESIDENTIAL,0.0005962428
Consumption,1,2,12,STAND_ALONE_RETAIL,0.0023231285
Consumption,1,2,13,FOOD_SERVICE,0.0103241191
Consumption,1,2,13,GROCERY,0.0052151355
Consumption,1,2,13,HEALTH_CARE,0.0043862363
Consumption,1,2,13,K12_SCHOOLS,0.0023032741
Consumption,1,2,13,LODGING,0.0014574613
Consumption,1,2,13,OFFICE,0.0037492401
Consumption,1,2,13,RESIDENTIAL,0.0005797649
Consumption,1,2,13,STAND_ALONE_RETAIL,0.0023148487
Consumption,1,2,14,FOOD_SERVICE,0.0102427241
Consumption,1,2,14,GROCERY,0.0051389252
Consumption,1,2,14,HEALTH_CARE,0.0046104987
Consumption,1,2,14,K12_SCHOOLS,0.0022492601
Consumption,1,2,14,LODGING,0.001418215
Consumption,1,2,14,OFFICE,0.0035095399
Consumption,1,2,14,RESIDENTIAL,0.0005670958
Consumption,1,2,14,STAND_ALONE_RETAIL,0.002311006
Consumption,1,2,15,FOOD_SERVICE,0.0082429354
Consumption,1,2,15,GROCERY,0.0050542386
Consumption,1,2,15,HEALTH_CARE,0.0046577257
Consumption,1,2,15,K12_SCHOOLS,0.0022491278
Consumption,1,2,15,LODGING,0.001390608
Consumption,1,2,15,OFFICE,0.0032744942
Consumption,1,2,15,RESIDENTIAL,0.0005593874
Consumption,1,2,15,STAND_ALONE_RETAIL,0.0023108117
Consumption,1,2,16,FOOD_SERVICE,0.0082372866
Consumption,1,2,16,GROCERY,0.0049787476
Consumption,1,2,16,HEALTH_CARE,0.0047016587
Consumption,1,2,16,K12_SCHOOLS,0.0022216943
Consumption,1,2,16,LODGING,0.0013622611
Consumption,1,2,16,OFFICE,0.0030882231
Consumption,1,2,16,RESIDENTIAL,0.0005966106
Consumption,1,2,16,STAND_ALONE_RETAIL,0.0023140028
Consumption,1,2,17,FOOD_SERVICE,0.0082051455
Consumption,1,2,17,GROCERY,0.0049792681
Consumption,1,2,17,HEALTH_CARE,0.0047528986
Consumption,1,2,17,K12_SCHOOLS,0.0022205206
Consumption,1,2,17,LODGING,0.0014435742
Consumption,1,2,17,OFFICE,0.0031167464
Consumption,1,2,17,RESIDENTIAL,0.0008157221
Consumption,1,2,17,STAND_ALONE_RETAIL,0.0023249223
Consumption,1,2,18,FOOD_SERVICE,0.0112188333
Consumption,1,2,18,GROCERY,0.0052806977
Consumption,1,2,18,HEALTH_CARE,0.0047788609
Consumption,1,2,18,K12_SCHOOLS,0.0017521152
Consumption,1,2,18,LODGING,0.0018433821
Consumption,1,2,18,OFFICE,0.0035354833
Consumption,1,2,18,RESIDENTIAL,0.0011439696
Consumption,1,2,18,STAND_ALONE_RETAIL,0.0026704526
Consumption,1,2,19,FOOD_SERVICE,0.0112199824
Consumption,1,2,19,GROCERY,0.0052693753
Consumption,1,2,19,HEALTH_CARE,0.0036515253
Consumption,1,2,19,K12_SCHOOLS,0.0017523969
Consumption,1,2,19,LODGING,0.001965676
Consumption,1,2,19,OFFICE,0.0031279483
Consumption,1,2,19,RESIDENTIAL,0.0012034663
Consumption,1,2,19,STAND_ALONE_RETAIL,0.0021688118
Consumption,1,2,20,FOOD_SERVICE,0.011276946
Consumption,1,2,20,GROCERY,0.0049096714
Consumption,1,2,20,HEALTH_CARE,0.0036212507
Consumption,1,2,20,K12_SCHOOLS,0.0017555005
Consumption,1,2,20,LODGING,0.0019965654
Consumption,1,2,20,OFFICE,0.0031749309
Consumption,1,2,20,RESIDENTIAL,0.0011758159
Consumption,1,2,20,STAND_ALONE_RETAIL,0.002172362
Consumption,1,2,21,FOOD_SERVICE,0.0092718582
Consumption,1,2,21,GROCERY,0.0043544827
Consumption,1,2,21,HEALTH_CARE,0.0030572448
Consumption,1,2,21,K12_SCHOOLS,0.0017554659
Consumption,1,2,21,LODGING,0.0021512748
Consumption,1,2,21,OFFICE,0.0030857654
Consumption,1,2,21,RESIDENTIAL,0.0011643337
Consumption,1,2,21,STAND_ALONE_RETAIL,0.001972996
Consumption,1,2,22,FOOD_SERVICE,0.0092461733
Consumption,1,2,22,GROCERY,0.0030922832
Consumption,1,2,22,HEALTH_CARE,0.0029106116
Consumption,1,2,22,K12_SCHOOLS,0.0007493161
Consumption,1,2,22,LODGING,0.002022325
Consumption,1,2,22,OFFICE,0.0031030683
Consumption,1,2,22,RESIDENTIAL,0.0010046836
Consumption,1,2,22,STAND_ALONE_RETAIL,0.0008290044
Consumption,1,2,23,FOOD_SERVICE,0.009204073
Consumption,1,2,23,GROCERY,0.0017579532
Consumption,1,2,23,HEALTH_CARE,0.0026645825
Consumption,1,2,23,K12_SCHOOLS,0.0007479605
Consumption,1,2,23,LODGING,0.0015387929
Consumption,1,2,23,OFFICE,0.0007760237
Consumption,1,2,23,RESIDENTIAL,0.0008033981
Consumption,1,2,23,STAND_ALONE_RETAIL,0.0005035527
Consumption,1,2,24,FOOD_SERVICE,0.0096856118
Consumption,1,2,24,GROCERY,0.0025569465
Consumption,1,2,24,HEALTH_CARE,0.0026419911
Consumption,1,2,24,K12_SCHOOLS,0.0007679023
Consumption,1,2,24,LODGING,0.0011718947
Consumption,1,2,24,OFFICE,0.0007785428
Consumption,1,2,24,RESIDENTIAL,0.0006339043
Consumption,1,2,24,STAND_ALONE_RETAIL,0.0005077913
Consumption,1,3,1,FOOD_SERVICE,0.0054954776
Consumption,1,3,1,GROCERY,0.002145596
Consumption,1,3,1,HEALTH_CARE,0.0025279773
Consumption,1,3,1,K12_SCHOOLS,0.0007666415
Consumption,1,3,1,LODGING,0.0011083765
Consumption,1,3,1,OFFICE,0.0008572585
Consumption,1,3,1,RESIDENTIAL,0.0005306116
Consumption,1,3,1,STAND_ALONE_RETAIL,0.0005173288
Consumption,1,3,2,FOOD_SERVICE,0.0037868013
Consumption,1,3,2,GROCERY,0.0020493318
Consumption,1,3,2,HEALTH_CARE,0.0025005617
Consumption,1,3,2,K12_SCHOOLS,0.0007712455
Consumption,1,3,2,LODGING,0.0011055771
Consumption,1,3,2,OFFICE,0.0009367083
Consumption,1,3,2,RESIDENTIAL,0.0005164818
Consumption,1,3,2,STAND_ALONE_RETAIL,0.0005245915
Consumption,1,3,3,FOOD_SERVICE,0.0037948757
Consumption,1,3,3,GROCERY,0.0020243416
Consumption,1,3,3,HEALTH_CARE,0.0024970513
Consumption,1,3,3,K12_SCHOOLS,0.0007778287
Consumption,1,3,3,LODGING,0.0010877392
Consumption,1,3,3,OFFICE,0.0009781266
Consumption,1,3,3,RESIDENTIAL,0.000509591
Consumption,1,3,3,STAND_ALONE_RETAIL,0.0005268388
Consumption,1,3,4,FOOD_SERVICE,0.0037999929
Consumption,1,3,4,GROCERY,0.0020952731
Consumption,1,3,4,HEALTH_CARE,0.0024716802
Consumption,1,3,4,K12_SCHOOLS,0.0007971322
Consumption,1,3,4,LODGING,0.0011115169
Consumption,1,3,4,OFFICE,0.0011267263
Consumption,1,3,4,RESIDENTIAL,0.0005072944
Consumption,1,3,4,STAND_ALONE_RETAIL,0.0005317087
Consumption,1,3,5,FOOD_SERVICE,0.0040669385
Consumption,1,3,5,GROCERY,0.002602289
Consumption,1,3,5,HEALTH_CARE,0.0028306656
Consumption,1,3,5,K12_SCHOOLS,0.0008105913
Consumption,1,3,5,LODGING,0.0011670091
Consumption,1,3,5,OFFICE,0.0010871083
Consumption,1,3,5,RESIDENTIAL,0.0005697616
Consumption,1,3,5,STAND_ALONE_RETAIL,0.0005328132
Consumption,1,3,6,FOOD_SERVICE,0.0056796332
Consumption,1,3,6,GROCERY,0.0025290207
Consumption,1,3,6,HEALTH_CARE,0.0028283085
Consumption,1,3,6,K12_SCHOOLS,0.0008198107
Consumption,1,3,6,LODGING,0.0013394943
Consumption,1,3,6,OFFICE,0.0013519926
Consumption,1,3,6,RESIDENTIAL,0.0007028547
Consumption,1,3,6,STAND_ALONE_RETAIL,0.000536739
Consumption,1,3,7,FOOD_SERVICE,0.0113569326
Consumption,1,3,7,GROCERY,0.0034341775
Consumption,1,3,7,HEALTH_CARE,0.0037582956
Consumption,1,3,7,K12_SCHOOLS,0.0009014513
Consumption,1,3,7,LODGING,0.0018966567
Consumption,1,3,7,OFFICE,0.0044904892
Consumption,1,3,7,RESIDENTIAL,0.0008571825
Consumption,1,3,7,STAND_ALONE_RETAIL,0.0010867627
Consumption,1,3,8,FOOD_SERVICE,0.0112462428
Consumption,1,3,8,GROCERY,0.0034715315
Consumption,1,3,8,HEALTH_CARE,0.0042632246
Consumption,1,3,8,K12_SCHOOLS,0.0017620681
Consumption,1,3,8,LODGING,0.0022503551
Consumption,1,3,8,OFFICE,0.0039737882
Consumption,1,3,8,RESIDENTIAL,0.0009440658
Consumption,1,3,8,STAND_ALONE_RETAIL,0.0013949494
Consumption,1,3,9,FOOD_SERVICE,0.0082341285
Consumption,1,3,9,GROCERY,0.0046633887
Consumption,1,3,9,HEALTH_CARE,0.0043906544
Consumption,1,3,9,K12_SCHOOLS,0.0022701404
Consumption,1,3,9,LODGING,0.0019082948
Consumption,1,3,9,OFFICE,0.0041066365
Consumption,1,3,9,RESIDENTIAL,0.0007923587
Consumption,1,3,9,STAND_ALONE_RETAIL,0.0017110857
Consumption,1,3,10,FOOD_SERVICE,0.0082385848
Consumption,1,3,10,GROCERY,0.0051973785
Consumption,1,3,10,HEALTH_CARE,0.0046170037
Consumption,1,3,10,K12_SCHOOLS,0.0022497734
Consumption,1,3,10,LODGING,0.0018047161
Consumption,1,3,10,OFFICE,0.003386968
Consumption,1,3,10,RESIDENTIAL,0.0006745094
Consumption,1,3,10,STAND_ALONE_RETAIL,0.0023439315
Consumption,1,3,11,FOOD_SERVICE,0.0102372103
Consumption,1,3,11,GROCERY,0.0049792068
Consumption,1,3,11,HEALTH_CARE,0.0047643937
Consumption,1,3,11,K12_SCHOOLS,0.0023033921
Consumption,1,3,11,LODGING,0.0014126535
Consumption,1,3,11,OFFICE,0.0030924315
Consumption,1,3,11,RESIDENTIAL,0.0005807516
Consumption,1,3,11,STAND_ALONE_RETAIL,0.0023308032
Consumption,1,3,12,FOOD_SERVICE,0.0107000579
Consumption,1,3,12,GROCERY,0.0056658568
Consumption,1,3,12,HEALTH_CARE,0.0048931667
Consumption,1,3,12,K12_SCHOOLS,0.0023135128
Consumption,1,3,12,LODGING,0.0013920958
Consumption,1,3,12,OFFICE,0.0030447267
Consumption,1,3,12,RESIDENTIAL,0.0005811116
Consumption,1,3,12,STAND_ALONE_RETAIL,0.002326748
Consumption,1,3,13,FOOD_SERVICE,0.0103253147
Consumption,1,3,13,GROCERY,0.0052177259
Consumption,1,3,13,HEALTH_CARE,0.0048507932
Consumption,1,3,13,K12_SCHOOLS,0.0023031195
Consumption,1,3,13,LODGING,0.0013725945
Consumption,1,3,13,OFFICE,0.003182769
Consumption,1,3,13,RESIDENTIAL,0.0005702193
Consumption,1,3,13,STAND_ALONE_RETAIL,0.00233134
Consumption,1,3,14,FOOD_SERVICE,0.010245443
Consumption,1,3,14,GROCERY,0.0051438444
Consumption,1,3,14,HEALTH_CARE,0.0050106941
Consumption,1,3,14,K12_SCHOOLS,0.0022493176
Consumption,1,3,14,LODGING,0.0013707955
Consumption,1,3,14,OFFICE,0.0030572382
Consumption,1,3,14,RESIDENTIAL,0.0005621998
Consumption,1,3,14,STAND_ALONE_RETAIL,0.0023353815
Consumption,1,3,15,FOOD_SERVICE,0.0082454468
Consumption,1,3,15,GROCERY,0.0050589178
Consumption,1,3,15,HEALTH_CARE,0.0050176838
Consumption,1,3,15,K12_SCHOOLS,0.0022492853
Consumption,1,3,15,LODGING,0.0013656081
Consumption,1,3,15,OFFICE,0.0029916603
Consumption,1,3,15,RESIDENTIAL,0.0005588162
Consumption,1,3,15,STAND_ALONE_RETAIL,0.00233815
Consumption,1,3,16,FOOD_SERVICE,0.0082389276
Consumption,1,3,16,GROCERY,0.0049832282
Consumption,1,3,16,HEALTH_CARE,0.0050669508
Consumption,1,3,16,K12_SCHOOLS,0.0022219365
Consumption,1,3,16,LODGING,0.0013434345
Consumption,1,3,16,OFFICE,0.0029683579
Consumption,1,3,16,RESIDENTIAL,0.0005975595
Consumption,1,3,16,STAND_ALONE_RETAIL,0.002337983
Consumption,1,3,17,FOOD_SERVICE,0.0082064902
