Date,Hour,Electricity_KW_HR
30MAR2011,5,3144
30MAR2011,6,9164
30MAR2011,7,7736
30MAR2011,8,7020
30MAR2011,9,9968
30MAR2011,10,5156
30MAR2011,11,0
30MAR2011,12,0
30MAR2011,13,0
30MAR2011,14,0
30MAR2011,15,0
30MAR2011,16,0
30MAR2011,17,7880
30MAR2011,18,11980
30MAR2011,19,13964
30MAR2011,20,9356
30MAR2011,21,8708
30MAR2011,22,9068
30MAR2011,23,13600
30MAR2011,24,17760
31MAR2011,1,21300
31MAR2011,2,17852
31MAR2011,3,21452
31MAR2011,4,20288
31MAR2011,5,19928
31MAR2011,6,18196
31MAR2011,7,18740
31MAR2011,8,19668
31MAR2011,9,19728
31MAR2011,10,3184
31MAR2011,11,0
31MAR2011,12,0
31MAR2011,13,0
31MAR2011,14,0
31MAR2011,15,0
31MAR2011,16,3896
31MAR2011,17,23292
31MAR2011,18,23852
31MAR2011,19,28912
31MAR2011,20,35920
31MAR2011,21,31080
31MAR2011,22,30572
31MAR2011,23,27768
31MAR2011,24,24460
01APR2011,1,29264
01APR2011,2,32296
01APR2011,3,34740
01APR2011,4,21688
01APR2011,5,12688
01APR2011,6,11292
01APR2011,7,15020
01APR2011,8,11324
01APR2011,9,9428
01APR2011,10,9000
01APR2011,11,8740
01APR2011,12,11396
01APR2011,13,0
01APR2011,14,0
01APR2011,15,16864
01APR2011,16,14752
01APR2011,17,7008
01APR2011,18,14212
01APR2011,19,9004
01APR2011,20,5764
01APR2011,21,7708
01APR2011,22,8972
01APR2011,23,13036
01APR2011,24,15692
02APR2011,1,13936
02APR2011,2,8256
02APR2011,3,17316
02APR2011,4,13736
02APR2011,5,24668
02APR2011,6,13320
02APR2011,7,14316
02APR2011,8,24916
02APR2011,9,36472
02APR2011,10,32888
02APR2011,11,25304
02APR2011,12,12660
02APR2011,13,13040
02APR2011,14,6428
02APR2011,15,1172
02APR2011,16,0
02APR2011,17,2140
02APR2011,18,8520
02APR2011,19,5636
02APR2011,20,1164
02APR2011,21,0
02APR2011,22,0
02APR2011,23,0
02APR2011,24,0
03APR2011,1,0
03APR2011,2,0
03APR2011,3,0
03APR2011,4,0
03APR2011,5,0
03APR2011,6,0
03APR2011,7,0
03APR2011,8,0
03APR2011,9,0
03APR2011,10,0
03APR2011,11,0
03APR2011,12,0
03APR2011,13,0
03APR2011,14,0
03APR2011,15,1764
03APR2011,16,416
03APR2011,17,1552
03APR2011,18,2448
03APR2011,19,964
03APR2011,20,1504
03APR2011,21,1068
03APR2011,22,464
03APR2011,23,8
03APR2011,24,2964
04APR2011,1,5324
04APR2011,2,6152
04APR2011,3,4968
04APR2011,4,7352
04APR2011,5,9816
04APR2011,6,8384
04APR2011,7,3664
04APR2011,8,5304
04APR2011,9,8712
04APR2011,10,3740
04APR2011,11,0
04APR2011,12,0
04APR2011,13,0
04APR2011,14,0
04APR2011,15,0
04APR2011,16,0
04APR2011,17,2648
04APR2011,18,20540
04APR2011,19,15980
04APR2011,20,15604
04APR2011,21,12132
04APR2011,22,5808
04APR2011,23,8152
04APR2011,24,13500
05APR2011,1,7016
05APR2011,2,10588
05APR2011,3,15852
05APR2011,4,18580
05APR2011,5,20612
05APR2011,6,18272
05APR2011,7,25796
05APR2011,8,25896
05APR2011,9,29436
05APR2011,10,4948
05APR2011,11,0
05APR2011,12,0
05APR2011,13,0
05APR2011,14,0
05APR2011,15,0
05APR2011,16,0
05APR2011,17,23088
05APR2011,18,17772
05APR2011,19,16476
05APR2011,20,19884
05APR2011,21,17100
05APR2011,22,4936
05APR2011,23,8868
05APR2011,24,17100
06APR2011,1,19072
06APR2011,2,25868
06APR2011,3,19896
06APR2011,4,18976
06APR2011,5,17480
06APR2011,6,20676
06APR2011,7,24008
06APR2011,8,18036
06APR2011,9,12380
06APR2011,10,10164
06APR2011,11,2076
06APR2011,12,0
06APR2011,13,0
06APR2011,14,0
06APR2011,15,216
06APR2011,16,0
06APR2011,17,0
06APR2011,18,340
06APR2011,19,2480
06APR2011,20,2836
06APR2011,21,3556
06APR2011,22,7996
06APR2011,23,12336
06APR2011,24,21756
07APR2011,1,23824
07APR2011,2,19708
07APR2011,3,30184
07APR2011,4,24460
07APR2011,5,27128
07APR2011,6,25328
07APR2011,7,19304
07APR2011,8,15376
07APR2011,9,6988
07APR2011,10,1836
07APR2011,11,0
07APR2011,12,0
07APR2011,13,1552
07APR2011,14,5692
07APR2011,15,5288
07APR2011,16,6088
07APR2011,17,6832
07APR2011,18,7368
07APR2011,19,7872
07APR2011,20,10708
07APR2011,21,14272
07APR2011,22,1900
07APR2011,23,504
07APR2011,24,156
08APR2011,1,52
08APR2011,2,64
08APR2011,3,0
08APR2011,4,0
08APR2011,5,4
08APR2011,6,0
08APR2011,7,0
08APR2011,8,12
08APR2011,9,452
08APR2011,10,400
08APR2011,11,220
08APR2011,12,872
08APR2011,13,1592
08APR2011,14,1612
08APR2011,15,3244
08APR2011,16,3048
08APR2011,17,2596
08APR2011,18,1996
08APR2011,19,2308
08APR2011,20,4948
08APR2011,21,8644
08APR2011,22,8820
08APR2011,23,10148
08APR2011,24,5556
09APR2011,1,3636
09APR2011,2,4600
09APR2011,3,3080
09APR2011,4,3228
09APR2011,5,1216
09APR2011,6,268
09APR2011,7,508
09APR2011,8,2752
09APR2011,9,6240
09APR2011,10,5184
09APR2011,11,5368
09APR2011,12,6520
09APR2011,13,7112
09APR2011,14,3496
09APR2011,15,5044
09APR2011,16,6804
09APR2011,17,7124
09APR2011,18,8688
09APR2011,19,7624
09APR2011,20,7820
09APR2011,21,11840
09APR2011,22,10500
09APR2011,23,13548
09APR2011,24,27700
10APR2011,1,30252
10APR2011,2,24196
10APR2011,3,28088
10APR2011,4,26448
10APR2011,5,11996
10APR2011,6,8732
10APR2011,7,10652
10APR2011,8,12164
10APR2011,9,7200
10APR2011,10,2104
10APR2011,11,2468
10APR2011,12,3536
10APR2011,13,4980
10APR2011,14,4304
10APR2011,15,2460
10APR2011,16,3376
10APR2011,17,3076
10APR2011,18,4024
10APR2011,19,4812
10APR2011,20,4964
10APR2011,21,6924
10APR2011,22,6536
10APR2011,23,11024
10APR2011,24,12108
11APR2011,1,19288
11APR2011,2,8064
11APR2011,3,2704
11APR2011,4,1440
11APR2011,5,4456
11APR2011,6,6792
11APR2011,7,3796
11APR2011,8,5324
11APR2011,9,6108
11APR2011,10,3860
11APR2011,11,644
11APR2011,12,544
11APR2011,13,472
11APR2011,14,1208
11APR2011,15,4864
11APR2011,16,6200
11APR2011,17,4104
11APR2011,18,10160
11APR2011,19,20148
11APR2011,20,17716
11APR2011,21,14756
11APR2011,22,23176
11APR2011,23,22476
11APR2011,24,18640
12APR2011,1,43152
12APR2011,2,12912
12APR2011,3,4768
12APR2011,4,10072
12APR2011,5,17424
12APR2011,6,17928
12APR2011,7,20232
12APR2011,8,21864
12APR2011,9,14460
12APR2011,10,13232
12APR2011,11,15560
12APR2011,12,19924
12APR2011,13,25044
12APR2011,14,21188
12APR2011,15,26468
12APR2011,16,35604
12APR2011,17,26984
12APR2011,18,22100
12APR2011,19,21952
12APR2011,20,20772
12APR2011,21,8540
12APR2011,22,4936
12APR2011,23,2348
12APR2011,24,1144
13APR2011,1,1028
13APR2011,2,5436
13APR2011,3,10224
13APR2011,4,5840
13APR2011,5,6644
13APR2011,6,5268
13APR2011,7,5044
13APR2011,8,5108
13APR2011,9,2532
13APR2011,10,1032
13APR2011,11,1204
13APR2011,12,2300
13APR2011,13,7560
13APR2011,14,8316
13APR2011,15,6596
13APR2011,16,3972
13APR2011,17,2104
13APR2011,18,1292
13APR2011,19,3684
13APR2011,20,992
13APR2011,21,0
13APR2011,22,196
13APR2011,23,0
13APR2011,24,0
14APR2011,1,0
14APR2011,2,108
14APR2011,3,1292
14APR2011,4,620
14APR2011,5,44
14APR2011,6,24
14APR2011,7,168
14APR2011,8,508
14APR2011,9,1104
14APR2011,10,404
14APR2011,11,0
14APR2011,12,0
14APR2011,13,0
14APR2011,14,0
14APR2011,15,0
14APR2011,16,0
14APR2011,17,0
14APR2011,18,436
14APR2011,19,968
14APR2011,20,800
14APR2011,21,844
14APR2011,22,492
14APR2011,23,860
14APR2011,24,1108
15APR2011,1,2472
15APR2011,2,4128
15APR2011,3,2336
15APR2011,4,1028
15APR2011,5,1436
15APR2011,6,3192
15APR2011,7,2640
15APR2011,8,3232
15APR2011,9,1232
15APR2011,10,212
15APR2011,11,724
15APR2011,12,1848
15APR2011,13,3024
15APR2011,14,2200
15APR2011,15,1544
15APR2011,16,2668
15APR2011,17,1472
15APR2011,18,1056
15APR2011,19,1216
15APR2011,20,1468
15APR2011,21,1548
15APR2011,22,3220
15APR2011,23,6636
15APR2011,24,7304
16APR2011,1,7628
16APR2011,2,6792
16APR2011,3,2288
16APR2011,4,2752
16APR2011,5,3612
16APR2011,6,1828
16APR2011,7,2900
16APR2011,8,3840
16APR2011,9,5540
16APR2011,10,1108
16APR2011,11,464
16APR2011,12,804
16APR2011,13,428
16APR2011,14,232
16APR2011,15,0
16APR2011,16,0
16APR2011,17,0
16APR2011,18,0
16APR2011,19,0
16APR2011,20,0
16APR2011,21,0
16APR2011,22,0
16APR2011,23,0
16APR2011,24,0
17APR2011,1,0
17APR2011,2,0
17APR2011,3,0
17APR2011,4,0
17APR2011,5,0
17APR2011,6,0
17APR2011,7,0
17APR2011,8,0
17APR2011,9,0
17APR2011,10,0
17APR2011,11,0
17APR2011,12,0
17APR2011,13,652
17APR2011,14,608
17APR2011,15,0
17APR2011,16,0
17APR2011,17,0
17APR2011,18,8080
17APR2011,19,9000
17APR2011,20,7176
17APR2011,21,8596
17APR2011,22,8728
17APR2011,23,8736
17APR2011,24,9116
18APR2011,1,3736
18APR2011,2,3280
18APR2011,3,6856
18APR2011,4,7500
18APR2011,5,9188
18APR2011,6,10048
18APR2011,7,9168
18APR2011,8,8548
18APR2011,9,6888
18APR2011,10,2316
18APR2011,11,3964
18APR2011,12,1864
18APR2011,13,3780
18APR2011,14,7016
18APR2011,15,6292
18APR2011,16,2720
18APR2011,17,1796
18APR2011,18,1960
18APR2011,19,1904
18APR2011,20,2728
18APR2011,21,180
18APR2011,22,0
18APR2011,23,0
18APR2011,24,564
19APR2011,1,2000
19APR2011,2,9120
19APR2011,3,18460
19APR2011,4,16660
19APR2011,5,13536
19APR2011,6,15096
19APR2011,7,19908
19APR2011,8,17260
19APR2011,9,12832
19APR2011,10,5252
19APR2011,11,1448
19APR2011,12,772
19APR2011,13,1060
19APR2011,14,1136
19APR2011,15,188
19APR2011,16,0
19APR2011,17,172
19APR2011,18,692
19APR2011,19,316
19APR2011,20,584
19APR2011,21,2888
19APR2011,22,4328
19APR2011,23,6532
19APR2011,24,8144
20APR2011,1,4568
20APR2011,2,4056
20APR2011,3,6796
20APR2011,4,5620
20APR2011,5,8548
20APR2011,6,7172
20APR2011,7,4996
20APR2011,8,3732
20APR2011,9,3768
20APR2011,10,952
20APR2011,11,80
20APR2011,12,72
20APR2011,13,1460
20APR2011,14,1200
20APR2011,15,1004
20APR2011,16,1704
20APR2011,17,788
20APR2011,18,148
20APR2011,19,40
20APR2011,20,228
20APR2011,21,448
20APR2011,22,300
20APR2011,23,1984
20APR2011,24,2544
21APR2011,1,1976
21APR2011,2,284
21APR2011,3,0
21APR2011,4,480
21APR2011,5,1436
21APR2011,6,1544
21APR2011,7,1812
21APR2011,8,2356
21APR2011,9,6628
21APR2011,10,3904
21APR2011,11,1652
21APR2011,12,1356
21APR2011,13,1452
21APR2011,14,4728
21APR2011,15,2876
21APR2011,16,2936
21APR2011,17,1972
21APR2011,18,2740
21APR2011,19,1488
21APR2011,20,644
21APR2011,21,0
21APR2011,22,0
21APR2011,23,192
21APR2011,24,3164
22APR2011,1,10172
22APR2011,2,11232
22APR2011,3,8956
22APR2011,4,11700
22APR2011,5,18048
22APR2011,6,10504
22APR2011,7,10156
22APR2011,8,9012
22APR2011,9,6772
22APR2011,10,5176
22APR2011,11,1392
22APR2011,12,436
22APR2011,13,260
22APR2011,14,1616
22APR2011,15,2004
22APR2011,16,1676
22APR2011,17,548
22APR2011,18,8140
22APR2011,19,9884
22APR2011,20,6392
22APR2011,21,9316
22APR2011,22,2932
22APR2011,23,3924
22APR2011,24,3784
23APR2011,1,9460
23APR2011,2,8656
23APR2011,3,8068
23APR2011,4,10804
23APR2011,5,2816
23APR2011,6,1340
23APR2011,7,96
23APR2011,8,28
23APR2011,9,5252
23APR2011,10,2244
23APR2011,11,308
23APR2011,12,16
23APR2011,13,88
23APR2011,14,2532
23APR2011,15,3388
23APR2011,16,3472
23APR2011,17,3752
23APR2011,18,3432
23APR2011,19,4756
23APR2011,20,41904
23APR2011,21,34536
23APR2011,22,13604
23APR2011,23,4276
23APR2011,24,24
24APR2011,1,36
24APR2011,2,804
24APR2011,3,44
24APR2011,4,4840
24APR2011,5,7136
24APR2011,6,1200
24APR2011,7,516
24APR2011,8,0
24APR2011,9,76
24APR2011,10,168
24APR2011,11,460
24APR2011,12,444
24APR2011,13,444
24APR2011,14,532
24APR2011,15,1308
24APR2011,16,1132
24APR2011,17,2020
24APR2011,18,4200
24APR2011,19,6132
24APR2011,20,5368
24APR2011,21,4976
24APR2011,22,8924
24APR2011,23,15948
24APR2011,24,10788
25APR2011,1,16132
25APR2011,2,15496
25APR2011,3,11228
25APR2011,4,8516
25APR2011,5,4500
25APR2011,6,4256
25APR2011,7,2280
25APR2011,8,2656
25APR2011,9,2224
25APR2011,10,388
25APR2011,11,412
25APR2011,12,3232
25APR2011,13,6308
25APR2011,14,7548
25APR2011,15,6124
25APR2011,16,4360
25APR2011,17,5240
25APR2011,18,7188
25APR2011,19,5644
25APR2011,20,5300
25APR2011,21,4488
25APR2011,22,10328
25APR2011,23,15432
25APR2011,24,16820
26APR2011,1,11724
26APR2011,2,10832
26APR2011,3,9224
26APR2011,4,6960
26APR2011,5,9580
26APR2011,6,9220
26APR2011,7,9252
26APR2011,8,8852
26APR2011,9,5208
26APR2011,10,688
26APR2011,11,548
26APR2011,12,2732
26APR2011,13,15088
26APR2011,14,12688
26APR2011,15,6716
26APR2011,16,6104
26APR2011,17,7188
26APR2011,18,6288
26APR2011,19,9276
26APR2011,20,8048
26APR2011,21,4280
26APR2011,22,10724
26APR2011,23,12964
26APR2011,24,12112
27APR2011,1,11904
27APR2011,2,11048
27APR2011,3,15144
27APR2011,4,15172
27APR2011,5,15568
27APR2011,6,11072
27APR2011,7,11500
27APR2011,8,8044
27APR2011,9,8888
27APR2011,10,9420
27APR2011,11,8720
27APR2011,12,9196
27APR2011,13,9852
27APR2011,14,10068
27APR2011,15,10624
27APR2011,16,14500
27APR2011,17,15684
27APR2011,18,15504
27APR2011,19,16916
27APR2011,20,14732
27APR2011,21,12872
27APR2011,22,12580
27APR2011,23,9048
27APR2011,24,9824
28APR2011,1,7696
28APR2011,2,5364
28APR2011,3,2984
28APR2011,4,2732
28APR2011,5,2132
28APR2011,6,1920
28APR2011,7,2784
28APR2011,8,2340
28APR2011,9,404
28APR2011,10,1148
28APR2011,11,920
28APR2011,12,2848
28APR2011,13,2820
28APR2011,14,1720
28APR2011,15,4132
28APR2011,16,1440
28APR2011,17,840
28APR2011,18,5068
28APR2011,19,1728
28APR2011,20,620
28APR2011,21,908
28APR2011,22,2152
28APR2011,23,2444
28APR2011,24,4300
29APR2011,1,3572
29APR2011,2,3616
29APR2011,3,7068
29APR2011,4,4504
29APR2011,5,3604
29APR2011,6,4904
29APR2011,7,9556
29APR2011,8,8848
29APR2011,9,7084
29APR2011,10,2460
29APR2011,11,2312
29APR2011,12,1856
29APR2011,13,4620
29APR2011,14,9008
29APR2011,15,10792
29APR2011,16,23988
29APR2011,17,31588
29APR2011,18,47432
29APR2011,19,27856
29APR2011,20,18688
29APR2011,21,16632
29APR2011,22,8180
29APR2011,23,10228
29APR2011,24,5392
30APR2011,1,13468
30APR2011,2,20860
30APR2011,3,23604
30APR2011,4,28724
30APR2011,5,28156
30APR2011,6,29740
30APR2011,7,30532
30APR2011,8,23064
30APR2011,9,20396
30APR2011,10,21116
30APR2011,11,13132
30APR2011,12,11180
30APR2011,13,14164
30APR2011,14,19448
30APR2011,15,20044
30APR2011,16,31472
30APR2011,17,43148
30APR2011,18,42624
30APR2011,19,35784
30APR2011,20,36312
30APR2011,21,28232
30APR2011,22,27676
30APR2011,23,34392
30APR2011,24,26488
01MAY2011,1,24652
01MAY2011,2,26592
01MAY2011,3,25576
01MAY2011,4,29356
01MAY2011,5,28464
01MAY2011,6,30428
01MAY2011,7,33024
01MAY2011,8,22096
01MAY2011,9,21532
01MAY2011,10,13876
01MAY2011,11,11000
01MAY2011,12,9660
01MAY2011,13,10388
01MAY2011,14,14820
01MAY2011,15,17140
01MAY2011,16,22172
01MAY2011,17,26828
01MAY2011,18,24520
01MAY2011,19,26420
01MAY2011,20,18008
01MAY2011,21,20560
01MAY2011,22,17648
01MAY2011,23,23680
01MAY2011,24,28932
02MAY2011,1,27932
02MAY2011,2,19924
02MAY2011,3,18884
02MAY2011,4,28160
02MAY2011,5,24216
02MAY2011,6,27020
02MAY2011,7,23296
02MAY2011,8,13496
02MAY2011,9,10432
02MAY2011,10,10156
02MAY2011,11,11412
02MAY2011,12,12984
02MAY2011,13,16332
02MAY2011,14,14296
02MAY2011,15,13688
02MAY2011,16,10176
02MAY2011,17,12044
02MAY2011,18,19436
02MAY2011,19,19932
02MAY2011,20,24896
02MAY2011,21,26300
02MAY2011,22,30360
02MAY2011,23,27108
02MAY2011,24,28104
03MAY2011,1,31604
03MAY2011,2,29448
03MAY2011,3,27576
03MAY2011,4,29720
03MAY2011,5,26408
03MAY2011,6,18860
03MAY2011,7,22892
03MAY2011,8,24304
03MAY2011,9,21004
03MAY2011,10,17248
03MAY2011,11,20588
03MAY2011,12,24652
03MAY2011,13,21408
03MAY2011,14,20948
03MAY2011,15,19080
03MAY2011,16,15540
03MAY2011,17,11408
03MAY2011,18,8632
03MAY2011,19,7828
03MAY2011,20,7732
03MAY2011,21,8528
03MAY2011,22,8316
03MAY2011,23,12448
03MAY2011,24,15196
04MAY2011,1,15180
04MAY2011,2,10300
04MAY2011,3,15816
04MAY2011,4,15736
04MAY2011,5,14560
04MAY2011,6,14948
04MAY2011,7,16060
04MAY2011,8,7296
04MAY2011,9,1860
04MAY2011,10,1192
04MAY2011,11,1528
04MAY2011,12,2220
04MAY2011,13,1268
04MAY2011,14,868
04MAY2011,15,896
04MAY2011,16,1268
04MAY2011,17,1356
04MAY2011,18,844
04MAY2011,19,412
04MAY2011,20,3588
04MAY2011,21,2648
04MAY2011,22,4508
04MAY2011,23,7360
04MAY2011,24,4388
05MAY2011,1,8328
05MAY2011,2,13120
05MAY2011,3,11696
05MAY2011,4,12904
05MAY2011,5,9612
05MAY2011,6,7812
05MAY2011,7,7664
05MAY2011,8,8464
05MAY2011,9,7972
05MAY2011,10,2052
05MAY2011,11,336
05MAY2011,12,16
05MAY2011,13,312
05MAY2011,14,1112
05MAY2011,15,612
05MAY2011,16,68
05MAY2011,17,972
05MAY2011,18,680
05MAY2011,19,1712
05MAY2011,20,912
05MAY2011,21,836
05MAY2011,22,356
05MAY2011,23,240
05MAY2011,24,0
06MAY2011,1,8
06MAY2011,2,976
06MAY2011,3,6596
06MAY2011,4,13504
06MAY2011,5,16484
06MAY2011,6,25632
06MAY2011,7,19020
06MAY2011,8,14872
06MAY2011,9,9276
06MAY2011,10,4872
06MAY2011,11,2112
06MAY2011,12,2916
06MAY2011,13,2972
06MAY2011,14,4756
06MAY2011,15,6620
06MAY2011,16,5148
06MAY2011,17,4304
06MAY2011,18,4008
06MAY2011,19,2676
06MAY2011,20,2784
06MAY2011,21,860
06MAY2011,22,184
06MAY2011,23,0
06MAY2011,24,132
07MAY2011,1,1024
07MAY2011,2,2388
07MAY2011,3,3852
07MAY2011,4,9012
07MAY2011,5,16832
07MAY2011,6,20956
07MAY2011,7,18136
07MAY2011,8,20672
07MAY2011,9,16820
07MAY2011,10,18388
07MAY2011,11,12872
07MAY2011,12,16868
07MAY2011,13,16952
07MAY2011,14,24356
07MAY2011,15,24144
07MAY2011,16,29988
07MAY2011,17,20636
07MAY2011,18,24396
07MAY2011,19,17120
07MAY2011,20,16432
07MAY2011,21,5124
07MAY2011,22,6540
07MAY2011,23,10412
07MAY2011,24,20960
08MAY2011,1,21432
08MAY2011,2,23680
08MAY2011,3,27924
08MAY2011,4,24040
08MAY2011,5,32288
08MAY2011,6,36464
08MAY2011,7,35464
08MAY2011,8,20900
08MAY2011,9,7344
08MAY2011,10,5828
08MAY2011,11,5372
08MAY2011,12,5360
08MAY2011,13,4680
08MAY2011,14,5024
08MAY2011,15,8080
08MAY2011,16,13128
08MAY2011,17,8464
08MAY2011,18,5144
08MAY2011,19,4084
08MAY2011,20,2224
08MAY2011,21,980
08MAY2011,22,304
08MAY2011,23,3088
08MAY2011,24,7880
09MAY2011,1,6092
09MAY2011,2,3924
09MAY2011,3,1224
09MAY2011,4,1368
09MAY2011,5,2628
09MAY2011,6,3376
09MAY2011,7,2332
09MAY2011,8,2296
09MAY2011,9,2212
09MAY2011,10,928
09MAY2011,11,1000
09MAY2011,12,880
09MAY2011,13,460
09MAY2011,14,164
09MAY2011,15,72
09MAY2011,16,168
09MAY2011,17,368
09MAY2011,18,292
09MAY2011,19,232
09MAY2011,20,28
09MAY2011,21,160
09MAY2011,22,1400
09MAY2011,23,6368
09MAY2011,24,10632
10MAY2011,1,5852
10MAY2011,2,2520
10MAY2011,3,1608
10MAY2011,4,1016
10MAY2011,5,2112
10MAY2011,6,244
10MAY2011,7,3392
10MAY2011,8,3656
10MAY2011,9,6208
10MAY2011,10,7020
10MAY2011,11,6160
10MAY2011,12,8904
10MAY2011,13,5704
10MAY2011,14,4788
10MAY2011,15,3752
10MAY2011,16,1280
10MAY2011,17,348
10MAY2011,18,48
10MAY2011,19,4596
10MAY2011,20,6812
10MAY2011,21,4652
10MAY2011,22,3464
10MAY2011,23,8292
10MAY2011,24,6924
11MAY2011,1,5612
11MAY2011,2,3016
11MAY2011,3,3932
11MAY2011,4,4380
11MAY2011,5,3372
11MAY2011,6,2708
11MAY2011,7,1896
11MAY2011,8,1576
11MAY2011,9,860
11MAY2011,10,276
11MAY2011,11,688
11MAY2011,12,952
11MAY2011,13,1692
11MAY2011,14,5092
11MAY2011,15,3304
11MAY2011,16,3172
11MAY2011,17,3624
11MAY2011,18,2384
11MAY2011,19,2036
11MAY2011,20,1616
11MAY2011,21,1196
11MAY2011,22,2184
11MAY2011,23,6772
11MAY2011,24,3596
12MAY2011,1,1788
12MAY2011,2,740
12MAY2011,3,1092
12MAY2011,4,404
12MAY2011,5,752
12MAY2011,6,2368
12MAY2011,7,3732
12MAY2011,8,2048
12MAY2011,9,1372
12MAY2011,10,1728
12MAY2011,11,1628
12MAY2011,12,3952
12MAY2011,13,4852
12MAY2011,14,8356
12MAY2011,15,14780
12MAY2011,16,26768
12MAY2011,17,23400
12MAY2011,18,15308
12MAY2011,19,10068
12MAY2011,20,8524
12MAY2011,21,5728
12MAY2011,22,4844
12MAY2011,23,7912
12MAY2011,24,8236
13MAY2011,1,6292
13MAY2011,2,6480
13MAY2011,3,7280
13MAY2011,4,6908
13MAY2011,5,5252
13MAY2011,6,4696
13MAY2011,7,3044
13MAY2011,8,1784
13MAY2011,9,224
13MAY2011,10,20
13MAY2011,11,500
13MAY2011,12,1724
13MAY2011,13,3016
13MAY2011,14,2716
13MAY2011,15,2644
13MAY2011,16,2944
13MAY2011,17,1472
13MAY2011,18,1604
13MAY2011,19,852
13MAY2011,20,584
13MAY2011,21,676
13MAY2011,22,1324
13MAY2011,23,992
13MAY2011,24,1748
14MAY2011,1,2368
14MAY2011,2,1624
16MAY2011,15,3208
16MAY2011,16,22208
16MAY2011,17,16084
16MAY2011,18,21280
16MAY2011,19,25084
16MAY2011,20,11132
16MAY2011,21,13524
16MAY2011,22,5568
16MAY2011,23,14224
16MAY2011,24,15484
17MAY2011,1,19652
17MAY2011,2,20796
17MAY2011,3,18548
17MAY2011,4,17456
17MAY2011,5,13892
17MAY2011,6,15008
17MAY2011,7,13752
17MAY2011,8,15028
17MAY2011,9,8672
17MAY2011,10,10912
17MAY2011,11,11120
17MAY2011,12,12724
17MAY2011,13,10600
17MAY2011,14,9324
17MAY2011,15,10236
17MAY2011,16,8028
17MAY2011,17,8552
17MAY2011,18,6148
17MAY2011,19,7444
17MAY2011,20,5128
17MAY2011,21,4924
17MAY2011,22,5024
17MAY2011,23,5252
17MAY2011,24,4220
18MAY2011,1,6140
18MAY2011,2,3460
18MAY2011,3,4620
18MAY2011,4,7288
18MAY2011,5,6812
18MAY2011,6,7000
18MAY2011,7,7076
18MAY2011,8,7412
18MAY2011,9,8248
