Year,Month,Day,Day_of_week,Weekdays,HolidayName,School_Day
Consumption,3,24,6,Fri,,1
Consumption,3,25,7,Sat,,0
Consumption,3,26,1,Sun,,0
Consumption,3,27,2,Mon,,1
Consumption,3,28,3,Tue,,1
Consumption,3,29,4,Wed,,1
Consumption,3,30,5,Thu,,1
Consumption,3,31,6,Fri,,1
Consumption,4,1,7,Sat,,0
Consumption,4,2,1,Sun,,0
Consumption,4,3,2,Mon,,1
Consumption,4,4,3,Tue,,1
Consumption,4,5,4,Wed,,1
Consumption,4,6,5,Thu,,1
Consumption,4,7,6,Fri,,1
Consumption,4,8,7,Sat,,0
Consumption,4,9,1,Sun,,0
Consumption,4,10,2,Mon,,1
Consumption,4,11,3,Tue,,1
Consumption,4,12,4,Wed,,1
Consumption,4,13,5,Thu,,1
Consumption,4,14,6,Fri,Easter,0
Consumption,4,15,7,Sat,,0
Consumption,4,16,1,Sun,,0
Consumption,4,17,2,Mon,,1
Consumption,4,18,3,Tue,,1
Consumption,4,19,4,Wed,,1
Consumption,4,20,5,Thu,,1
Consumption,4,21,6,Fri,,1
Consumption,4,22,7,Sat,,0
Consumption,4,23,1,Sun,,0
Consumption,4,24,2,Mon,,1
Consumption,4,25,3,Tue,,1
Consumption,4,26,4,Wed,,1
Consumption,4,27,5,Thu,,1
Consumption,4,28,6,Fri,,1
Consumption,4,29,7,Sat,,0
Consumption,4,30,1,Sun,,0
Consumption,5,1,2,Mon,,1
Consumption,5,2,3,Tue,,1
Consumption,5,3,4,Wed,,1
Consumption,5,4,5,Thu,,1
Consumption,5,5,6,Fri,,1
Consumption,5,6,7,Sat,,0
Consumption,5,7,1,Sun,,0
Consumption,5,8,2,Mon,,1
Consumption,5,9,3,Tue,,1
Consumption,5,10,4,Wed,,1
Consumption,5,11,5,Thu,,1
Consumption,5,12,6,Fri,,1
Consumption,5,13,7,Sat,,0
Consumption,5,14,1,Sun,,0
Consumption,5,15,2,Mon,,1
Consumption,5,16,3,Tue,,1
Consumption,5,17,4,Wed,,1
Consumption,5,18,5,Thu,,1
Consumption,5,19,6,Fri,,1
Consumption,5,20,7,Sat,,0
Consumption,5,21,1,Sun,,0
Consumption,5,22,2,Mon,,1
Consumption,5,23,3,Tue,,1
Consumption,5,24,4,Wed,,1
Consumption,5,25,5,Thu,,1
Consumption,5,26,6,Fri,,1
Consumption,5,27,7,Sat,,0
Consumption,5,28,1,Sun,,0
Consumption,5,29,2,Mon,Memorial Day,0
Consumption,5,30,3,Tue,,0
Consumption,5,31,4,Wed,,0
Consumption,6,1,5,Thu,,0
Consumption,6,2,6,Fri,,0
Consumption,6,3,7,Sat,,0
Consumption,6,4,1,Sun,,0
Consumption,6,5,2,Mon,,0
Consumption,6,6,3,Tue,,0
Consumption,6,7,4,Wed,,0
Consumption,6,8,5,Thu,,0
Consumption,6,9,6,Fri,,0
Consumption,6,10,7,Sat,,0
Consumption,6,11,1,Sun,,0
Consumption,6,12,2,Mon,,0
Consumption,6,13,3,Tue,,0
Consumption,6,14,4,Wed,,0
Consumption,6,15,5,Thu,,0
Consumption,6,16,6,Fri,,0
Consumption,6,17,7,Sat,,0
Consumption,6,18,1,Sun,,0
Consumption,6,19,2,Mon,,0
Consumption,6,20,3,Tue,,0
Consumption,6,21,4,Wed,,0
Consumption,6,22,5,Thu,,0
Consumption,6,23,6,Fri,,0
Consumption,6,24,7,Sat,,0
Consumption,6,25,1,Sun,,0
Consumption,6,26,2,Mon,,0
Consumption,6,27,3,Tue,,0
Consumption,6,28,4,Wed,,0
Consumption,6,29,5,Thu,,0
Consumption,6,30,6,Fri,,0
Consumption,7,1,7,Sat,,0
Consumption,7,2,1,Sun,,0
Consumption,7,3,2,Mon,,0
Consumption,7,4,3,Tue,Independence Day,0
Consumption,7,5,4,Wed,,0
Consumption,7,6,5,Thu,,0
Consumption,7,7,6,Fri,,0
Consumption,7,8,7,Sat,,0
Consumption,7,9,1,Sun,,0
Consumption,7,10,2,Mon,,0
Consumption,7,11,3,Tue,,0
Consumption,7,12,4,Wed,,0
Consumption,7,13,5,Thu,,0
Consumption,7,14,6,Fri,,0
Consumption,7,15,7,Sat,,0
Consumption,7,16,1,Sun,,0
Consumption,7,17,2,Mon,,0
Consumption,7,18,3,Tue,,0
Consumption,7,19,4,Wed,,0
Consumption,7,20,5,Thu,,0
Consumption,7,21,6,Fri,,0
Consumption,7,22,7,Sat,,0
Consumption,7,23,1,Sun,,0
Consumption,7,24,2,Mon,,0
Consumption,7,25,3,Tue,,0
Consumption,7,26,4,Wed,,0
Consumption,7,27,5,Thu,,0
Consumption,7,28,6,Fri,,0
Consumption,7,29,7,Sat,,0
Consumption,7,30,1,Sun,,0
Consumption,7,31,2,Mon,,0
Consumption,8,1,3,Tue,,0
Consumption,8,2,4,Wed,,0
Consumption,8,3,5,Thu,,0
Consumption,8,4,6,Fri,,0
Consumption,8,5,7,Sat,,0
Consumption,8,6,1,Sun,,0
Consumption,8,7,2,Mon,,0
Consumption,8,8,3,Tue,,0
Consumption,8,9,4,Wed,,0
Consumption,8,10,5,Thu,,0
Consumption,8,11,6,Fri,,0
Consumption,8,12,7,Sat,,0
Consumption,8,13,1,Sun,,0
Consumption,8,14,2,Mon,,0
Consumption,8,15,3,Tue,,0
Consumption,8,16,4,Wed,,0
Consumption,8,17,5,Thu,,0
Consumption,8,18,6,Fri,,0
Consumption,8,19,7,Sat,,0
Consumption,8,20,1,Sun,,0
Consumption,8,21,2,Mon,,0
Consumption,8,22,3,Tue,,0
Consumption,8,23,4,Wed,,0
Consumption,8,24,5,Thu,,0
Consumption,8,25,6,Fri,,0
Consumption,8,26,7,Sat,,0
Consumption,8,27,1,Sun,,0
Consumption,8,28,2,Mon,,0
Consumption,8,29,3,Tue,,0
Consumption,8,30,4,Wed,,0
Consumption,8,31,5,Thu,,0
Consumption,9,1,6,Fri,,0
Consumption,9,2,7,Sat,,0
Consumption,9,3,1,Sun,,0
Consumption,9,4,2,Mon,Labor Day,1
Consumption,9,5,3,Tue,,1
Consumption,9,6,4,Wed,,1
Consumption,9,7,5,Thu,,1
Consumption,9,8,6,Fri,,1
Consumption,9,9,7,Sat,,0
Consumption,9,10,1,Sun,,0
Consumption,9,11,2,Mon,,1
Consumption,9,12,3,Tue,,1
Consumption,9,13,4,Wed,,1
Consumption,9,14,5,Thu,,1
Consumption,9,15,6,Fri,,1
Consumption,9,16,7,Sat,,0
Consumption,9,17,1,Sun,,0
Consumption,9,18,2,Mon,,1
Consumption,9,19,3,Tue,,1
Consumption,9,20,4,Wed,,1
Consumption,9,21,5,Thu,,1
Consumption,9,22,6,Fri,,1
Consumption,9,23,7,Sat,,0
Consumption,9,24,1,Sun,,0
Consumption,9,25,2,Mon,,1
Consumption,9,26,3,Tue,,1
Consumption,9,27,4,Wed,,1
Consumption,9,28,5,Thu,,1
Consumption,9,29,6,Fri,,1
Consumption,9,30,7,Sat,,0
Consumption,10,1,1,Sun,,0
Consumption,10,2,2,Mon,,1
Consumption,10,3,3,Tue,,1
Consumption,10,4,4,Wed,,1
Consumption,10,5,5,Thu,,1
Consumption,10,6,6,Fri,,1
Consumption,10,7,7,Sat,,0
Consumption,10,8,1,Sun,,0
Consumption,10,9,2,Mon,Columbus Day,0
Consumption,10,10,3,Tue,,1
Consumption,10,11,4,Wed,,1
Consumption,10,12,5,Thu,,1
Consumption,10,13,6,Fri,,1
Consumption,10,14,7,Sat,,0
Consumption,10,15,1,Sun,,0
Consumption,10,16,2,Mon,,1
Consumption,10,17,3,Tue,,1
Consumption,10,18,4,Wed,,1
Consumption,10,19,5,Thu,,1
Consumption,10,20,6,Fri,,1
Consumption,10,21,7,Sat,,0
Consumption,10,22,1,Sun,,0
Consumption,10,23,2,Mon,,1
Consumption,10,24,3,Tue,,1
Consumption,10,25,4,Wed,,1
Consumption,10,26,5,Thu,,1
Consumption,10,27,6,Fri,,1
Consumption,10,28,7,Sat,,0
Consumption,10,29,1,Sun,,0
Consumption,10,30,2,Mon,,1
Consumption,10,31,3,Tue,,1
Consumption,11,1,4,Wed,,1
Consumption,11,2,5,Thu,,1
Consumption,11,3,6,Fri,,1
Consumption,11,4,7,Sat,,0
Consumption,11,5,1,Sun,,0
Consumption,11,6,2,Mon,,1
Consumption,11,7,3,Tue,,1
Consumption,11,8,4,Wed,,1
Consumption,11,9,5,Thu,,1
Consumption,11,10,6,Fri,Veterans Day,0
Consumption,11,11,7,Sat,,0
Consumption,11,12,1,Sun,,0
Consumption,11,13,2,Mon,,1
Consumption,11,14,3,Tue,,1
Consumption,11,15,4,Wed,,1
Consumption,11,16,5,Thu,,1
Consumption,11,17,6,Fri,,1
Consumption,11,18,7,Sat,,0
Consumption,11,19,1,Sun,,0
Consumption,11,20,2,Mon,,0
Consumption,11,21,3,Tue,,0
Consumption,11,22,4,Wed,,0
Consumption,11,23,5,Thu,Thanksgiving Day,0
Consumption,11,24,6,Fri,,0
Consumption,11,25,7,Sat,,0
Consumption,11,26,1,Sun,,0
Consumption,11,27,2,Mon,,1
Consumption,11,28,3,Tue,,1
Consumption,11,29,4,Wed,,1
Consumption,11,30,5,Thu,,1
Consumption,12,1,6,Fri,,1
Consumption,12,2,7,Sat,,0
Consumption,12,3,1,Sun,,0
Consumption,12,4,2,Mon,,1
Consumption,12,5,3,Tue,,1
Consumption,12,6,4,Wed,,1
Consumption,12,7,5,Thu,,1
Consumption,12,8,6,Fri,,1
Consumption,12,9,7,Sat,,0
Consumption,12,10,1,Sun,,0
Consumption,12,11,2,Mon,,1
Consumption,12,12,3,Tue,,1
Consumption,12,13,4,Wed,,1
Consumption,12,14,5,Thu,,1
Consumption,12,15,6,Fri,,1
Consumption,12,16,7,Sat,,0
Consumption,12,17,1,Sun,,0
Consumption,12,18,2,Mon,,1
Consumption,12,19,3,Tue,,1
Consumption,12,20,4,Wed,,1
Consumption,12,21,5,Thu,,1
Consumption,12,22,6,Fri,,1
Consumption,12,23,7,Sat,,0
Consumption,12,24,1,Sun,,0
Consumption,12,25,2,Mon,Christmas,0
Consumption,12,26,3,Tue,,0
Consumption,12,27,4,Wed,,0
Consumption,12,28,5,Thu,,0
Consumption,12,29,6,Fri,,0
Consumption,12,30,7,Sat,,0
Consumption,12,31,1,Sun,,0
